model_name,Input_Name,status,rag_top1,rag_candidates,error_message,gt_standard_name,is_correct
qwen3.5:9b,(11)육각렌치,error,와이어스트리퍼,"와이어스트리퍼, 편구스패너, 볼렌치세트, 라쳇렌치세트, 전동타카",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,(12)검전기,error,전기인두,"전기인두, 배터리팩, 충전임팩트드라이버, 충전드릴, 철공용드릴비트",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,(13)망치,error,T렌치세트,"T렌치세트, 소켓렌치세트, 기어렌치세트, 스패너세트, 볼렌치세트",Expecting value: line 1 column 1 (char 0),망치,False
qwen3.5:9b,(14)커터칼,error,냉동라쳇렌치,"냉동라쳇렌치, 바이스그립플라이어, 버니어캘리퍼스, 앤드컷팅니퍼, 다이아고날플라이어",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,(15)펜치,error,T렌치세트,"T렌치세트, 기어렌치세트, 스패너세트, 소켓렌치세트, 납볼망치",Expecting value: line 1 column 1 (char 0),펜치,False
qwen3.5:9b,(16)롱노우즈 플라이어(라디오펜치),error,소켓렌치세트,"소켓렌치세트, 전동공구세트, 볼렌치세트, 편구스패너, 와이어스트리퍼",Expecting value: line 1 column 1 (char 0),롱노즈플라이어,False
qwen3.5:9b,(17)스패너,error,와이어스트리퍼,"와이어스트리퍼, 편구스패너, 타일컷터, 양용드라이버, 전선릴",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,(18)손전등,error,전동공구세트,"전동공구세트, 기어렌치세트, 공구세트, T렌치세트, 소켓렌치세트",Expecting value: line 1 column 1 (char 0),LED손전등,False
qwen3.5:9b,(19)소켓렌치 세트,error,기어렌치세트,"기어렌치세트, 육각렌치세트, 조합렌치세트, T렌치세트, 공구함세트",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,(20)유선 전동드릴,error,전동공구세트,"전동공구세트, 드릴비트세트, 만능렌치, 스패너세트, 소켓렌치세트",Expecting value: line 1 column 1 (char 0),전동드릴,False
qwen3.5:9b,"(20, 55)드릴비트세트",error,공구함세트,"공구함세트, 드릴비트세트, 철공용드릴비트세트, 공구세트, 전동공구세트",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,(22)수평계,error,조합렌치세트,"조합렌치세트, 직소기, T렌치세트, 기어렌치세트, 수평기",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,(23)그라인더,error,라쳇렌치세트,"라쳇렌치세트, 볼렌치세트, 편구스패너, 소켓렌치세트, 와이어스트리퍼",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,"(24, 25)스패너(200mm)",error,클램프미터,"클램프미터, 드릴비트세트, 전동공구세트, 공구세트, 고속절단기",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,"(26, 27)스패너(300mm)",error,클램프미터,"클램프미터, 고속절단기, 전동공구세트, 스패너세트, 공구세트",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,(28)납볼망치,error,납볼망치,"납볼망치, 소켓렌치세트, 만능렌치, 전지가위, 스패너세트",Expecting value: line 1 column 1 (char 0),납볼망치,False
qwen3.5:9b,(29)전지가위(소형),error,육각렌치세트,"육각렌치세트, 전동공구세트, 기어렌치세트, T렌치세트, 소켓렌치세트",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,(3)만능렌치,error,만능렌치,"만능렌치, 조합렌치세트, T렌치세트, 스패너세트, 전동압착기",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,(30)펀칭기,error,납볼망치,"납볼망치, 소켓렌치세트, 스패너세트, 만능렌치, 볼렌치세트",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,(31)손타카 소형,error,소켓렌치세트,"소켓렌치세트, 스패너세트, 볼렌치세트, 기어렌치세트, T렌치세트",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,(32)장도리,error,와이어스트리퍼,"와이어스트리퍼, 편구스패너, 전선릴, 타일컷터, 볼렌치세트",Expecting value: line 1 column 1 (char 0),장도리,False
qwen3.5:9b,(33)실리콘건,error,전동공구세트,"전동공구세트, 소켓렌치세트, 공구세트, 납볼망치, T렌치세트",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,(34)글루건(소형),error,T렌치세트,"T렌치세트, 기어렌치세트, 소켓렌치세트, 비트세트, 공구함세트",Expecting value: line 1 column 1 (char 0),글루건,False
qwen3.5:9b,(35)정밀드라이버세트,error,정밀드라이버세트,"정밀드라이버세트, 전동공구세트, 공구함세트, 공구세트, 기어렌치세트",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,(36) 유선햄머전동드릴(콘크리트용),error,철공용드릴비트,"철공용드릴비트, 목공용드릴비트, 콘크리트용드릴비트, 철공용드릴비트세트, 콘크리트드릴비트세트",Expecting value: line 1 column 1 (char 0),해머드릴,False
qwen3.5:9b,(37)드릴날 세트(콘크리트용),error,콘크리트드릴비트세트,"콘크리트드릴비트세트, 드릴비트세트, 전동공구세트, 공구세트, 철공용드릴비트",Expecting value: line 1 column 1 (char 0),콘크리트드릴비트세트,False
qwen3.5:9b,(39)마그네틱 줄자,error,소켓렌치세트,"소켓렌치세트, 볼렌치세트, 스패너세트, 타일컷터, 편구스패너",Expecting value: line 1 column 1 (char 0),줄자,False
qwen3.5:9b,(4)락킹 플라이어(바이스그립),error,볼렌치세트,"볼렌치세트, 소켓렌치세트, 편구스패너, 라쳇렌치세트, 와이어스트리퍼",Expecting value: line 1 column 1 (char 0),바이스그립플라이어,False
qwen3.5:9b,(40)철기리 세트,error,철공용드릴비트세트,"철공용드릴비트세트, 철공용드릴비트, 공구함세트, 공구세트, 철판가위",Expecting value: line 1 column 1 (char 0),철공용드릴비트세트,False
qwen3.5:9b,(41)조합렌치 세트,error,조합렌치세트,"조합렌치세트, 공구함세트, 기어렌치세트, T렌치세트, 육각렌치세트",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,(42)양용드라이버,error,드라이버세트,"드라이버세트, 전동공구세트, 전동압착기, 전지가위, 만능렌치",Expecting value: line 1 column 1 (char 0),양용드라이버,False
qwen3.5:9b,(43)검전기,error,배터리팩,"배터리팩, 전기인두, 충전임팩트드라이버, 충전드릴, 고속절단기",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,(44)육각렌치세트,error,육각렌치세트,"육각렌치세트, 기어렌치세트, 공구함세트, T렌치세트, 조합렌치세트",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,(45)에어펌프(자전거 공기주입기),error,자전거펌프,"자전거펌프, 에어펌프, 철공용드릴비트, 목공용드릴비트, 고속절단기",Expecting value: line 1 column 1 (char 0),자전거펌프,False
qwen3.5:9b,(46)플라이어,error,볼렌치세트,"볼렌치세트, 편구스패너, 와이어스트리퍼, 전선릴, 다이스세트",Expecting value: line 1 column 1 (char 0),플라이어,False
qwen3.5:9b,(47)쇠톱,error,원형톱,"원형톱, 쇠톱, 목공줄, 스패너세트, 납볼망치",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,(48)정밀드라이버세트,error,정밀드라이버세트,"정밀드라이버세트, 전동공구세트, 공구세트, 공구함세트, 기어렌치세트",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,(49)유선전동드릴(상자),error,철공용드릴비트,"철공용드릴비트, 충전임팩트드라이버, 철공용드릴비트세트, 목공용드릴비트, 케이블컷터",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,(5)니퍼,error,니퍼,"니퍼, 다이스세트, 글루건, 줄자, 장도리",Expecting value: line 1 column 1 (char 0),니퍼,False
qwen3.5:9b,(50)에어콤프레셔,error,옵셋렌치,"옵셋렌치, 충전해머드릴, 굽은노즈플라이어, 다이아고날플라이어, 앤드컷팅니퍼",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,(51)에어타카,error,앤드컷팅니퍼,"앤드컷팅니퍼, 와이어스트리퍼, 옵셋렌치, 라쳇렌치세트, 전선릴",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,(52)에어타카,error,전동타카,"전동타카, 토크렌치, 볼렌치세트, 편구스패너, 와이어스트리퍼",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,(53)에어타카,error,전동타카,"전동타카, 토크렌치, 볼렌치세트, 건타카, 편구스패너",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,(54)미니충전전동드릴,error,전동공구세트,"전동공구세트, 고속절단기, 충전드릴, 드릴비트세트, 만능렌치",Expecting value: line 1 column 1 (char 0),충전드릴,False
qwen3.5:9b,(56)바이스플라이어(5인치),error,소켓렌치세트,"소켓렌치세트, 스패너세트, 기어렌치세트, 만능렌치, 전동공구세트",Expecting value: line 1 column 1 (char 0),바이스그립플라이어,False
qwen3.5:9b,(57)레이저거리측정기,error,라돈측정기,"라돈측정기, 고속절단기, 육각렌치세트, SDS드릴비트, 별렌치세트",Expecting value: line 1 column 1 (char 0),레이저거리측정기,False
qwen3.5:9b,(58)해머 드릴비트세트,error,소켓렌치세트,"소켓렌치세트, 전동공구세트, 기어렌치세트, 스패너세트, T렌치세트",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,(59)접톱 2,error,육각렌치세트,"육각렌치세트, 기어렌치세트, T렌치세트, 조합렌치세트, 육각렌치",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,(6)줄자,error,소켓렌치세트,"소켓렌치세트, 기어렌치세트, 스패너세트, T렌치세트, 조합렌치세트",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,(7)쇠톱,error,원형톱,"원형톱, 쇠톱, 목공줄, 스패너세트, 기어렌치세트",Expecting value: line 1 column 1 (char 0),쇠톱,False
qwen3.5:9b,(8)전선릴,error,볼렌치세트,"볼렌치세트, 편구스패너, 소켓렌치세트, 라쳇렌치세트, 와이어스트리퍼",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,(9)핸드톱,error,원형톱,"원형톱, 목공줄, 기어렌치세트, T렌치세트, 손타카",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,(불가),error,망치,"망치, 고무망치, 에어건, 그립망치, 빠루망치",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,(불가)다카핀,error,고무망치,"고무망치, 그립망치, 빠루망치, 줄자, 돌망치",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,(불가)소켓렌치세트,error,스패너세트,"스패너세트, 소켓렌치세트, 드릴비트세트, 그립망치, 기어렌치세트",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,(불가)스크류 드라이버 비트세트,error,정밀드라이버세트,"정밀드라이버세트, 전동공구세트, 드릴비트세트, 공구세트, SDS드릴비트",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,(불가)육각 기리세트,error,절단석,"절단석, 그립망치, 스패너세트, 목공줄, 드릴비트세트",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,(불가)일자드라이버,error,그립망치,"그립망치, 임팩트드릴, 고무망치, 전동드릴, 빠루망치",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,.몽키스패너200mm,error,클램프미터,"클램프미터, 소켓렌치세트, 전동공구세트, 스패너세트, 드릴비트세트",Expecting value: line 1 column 1 (char 0),몽키렌치,False
qwen3.5:9b,.몽키스패너300mm,error,클램프미터,"클램프미터, 고속절단기, 전동공구세트, 스패너세트, 소켓렌치세트",Expecting value: line 1 column 1 (char 0),몽키렌치,False
qwen3.5:9b,12P 3종 기리세트(육각씽크),error,전동공구세트,"전동공구세트, 정밀드라이버세트, 철공용드릴비트세트, 드릴비트세트, 공구세트",Expecting value: line 1 column 1 (char 0),드릴비트세트,False
qwen3.5:9b,12인치 몽키스패너,error,냉동라쳇렌치,"냉동라쳇렌치, 앤드컷팅니퍼, 다이아고날플라이어, 옵셋렌치, 스냅링플라이어",Expecting value: line 1 column 1 (char 0),몽키렌치,False
qwen3.5:9b,13RE,error,타카,"타카, 장도리, 공구함, 끌세트, 스패너",Expecting value: line 1 column 1 (char 0),해머드릴,False
qwen3.5:9b,18V 밧데리(디월트),error,전동공구세트,"전동공구세트, 정밀드라이버세트, 드릴비트세트, 공구세트, 고속절단기",Expecting value: line 1 column 1 (char 0),배터리팩,False
qwen3.5:9b,1단 사다리,error,사다리,"사다리, A형사다리, 편구스패너, 끌세트, 타일컷터",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,250 세신 파이프렌치,error,드릴비트세트,"드릴비트세트, 전동공구세트, 기어렌치세트, 스패너세트, T렌치세트",Expecting value: line 1 column 1 (char 0),파이프렌치,False
qwen3.5:9b,2단 사다리,error,사다리,"사다리, A형사다리, 끌세트, 편구스패너, 다림추",Expecting value: line 1 column 1 (char 0),사다리,False
qwen3.5:9b,2단 스크래퍼,error,스패너세트,"스패너세트, 전동공구세트, 소켓렌치세트, 직각자, 임팩트드릴",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,2단 양손가위(K-5100),error,전동공구세트,"전동공구세트, 정밀드라이버세트, 공구세트, 고속절단기, 강력니퍼",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,2단사다리,error,A형사다리,"A형사다리, 사다리, 다림추, 수평기, 손타카",Expecting value: line 1 column 1 (char 0),사다리,False
qwen3.5:9b,3.6v 전동드라이버,error,정밀드라이버세트,"정밀드라이버세트, 전동공구세트, 드라이버세트, 고속절단기, 공구세트",Expecting value: line 1 column 1 (char 0),전동드라이버,False
qwen3.5:9b,300mm첼라,error,소켓렌치세트,"소켓렌치세트, 볼렌치세트, 편구스패너, 와이어스트리퍼, 스패너세트",Expecting value: line 1 column 1 (char 0),워터펌프플라이어,False
qwen3.5:9b,30M 작업닐선,error,클램프미터,"클램프미터, 고속절단기, 전동공구세트, 철공용드릴비트, 목공용드릴비트",Expecting value: line 1 column 1 (char 0),전선릴,False
qwen3.5:9b,30m 줄자,error,클램프미터,"클램프미터, 고속절단기, 전동공구세트, 스패너세트, 공구세트",Expecting value: line 1 column 1 (char 0),줄자,False
qwen3.5:9b,30m작업닐선,error,고속절단기,"고속절단기, 만능렌치, 전지가위, 임팩트드릴, 빠루망치",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,3M줄자,error,소켓렌치세트,"소켓렌치세트, 전동공구세트, T렌치세트, 스패너세트, 기어렌치세트",Expecting value: line 1 column 1 (char 0),줄자,False
qwen3.5:9b,3공펀치,error,T렌치세트,"T렌치세트, 기어렌치세트, 스패너세트, 소켓렌치세트, 조합렌치세트",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,3단 사다리,error,사다리,"사다리, A형사다리, 끌세트, 편구스패너, 다림추",Expecting value: line 1 column 1 (char 0),사다리,False
qwen3.5:9b,3단 사다리(접이식),error,사다리,"사다리, A형사다리, 끌세트, 편구스패너, 다림추",Expecting value: line 1 column 1 (char 0),사다리,False
qwen3.5:9b,3단매트,error,T렌치세트,"T렌치세트, 스패너세트, 기어렌치세트, 공구세트, 다림추",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,3단사다리,error,A형사다리,"A형사다리, 사다리, 다림추, 수평기, 끌세트",Expecting value: line 1 column 1 (char 0),사다리,False
qwen3.5:9b,3단핸드카트,error,핸드카트,"핸드카트, 정밀드라이버세트, 드라이버세트, T핸드드라이버, 전동공구세트",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,4구 코드릴,error,라쳇렌치세트,"라쳇렌치세트, 편구스패너, 전선릴, 와이어스트리퍼, 볼렌치세트",Expecting value: line 1 column 1 (char 0),전선릴,False
qwen3.5:9b,4단 A형사다리,error,A형사다리,"A형사다리, 사다리, 다림추, 수평기, 철판가위",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,4단 사다리,error,사다리,"사다리, A형사다리, 끌세트, 편구스패너, 타일컷터",Expecting value: line 1 column 1 (char 0),사다리,False
qwen3.5:9b,4단 접이식 사다리,error,A형사다리,"A형사다리, 다림추, 끌세트, 수평기, 전동공구세트",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,4단사다리,error,A형사다리,"A형사다리, 사다리, 다림추, 수평기, 끌세트",Expecting value: line 1 column 1 (char 0),사다리,False
qwen3.5:9b,4단접이식사다리(다목적용),error,A형사다리,"A형사다리, 다림추, 육각렌치세트, 조합렌치세트, 철판가위",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,4방항 냉동라쳇,error,냉동라쳇렌치,"냉동라쳇렌치, 다이아고날플라이어, 옵셋렌치, 플라이어렌치, 앤드컷팅니퍼",Expecting value: line 1 column 1 (char 0),냉동라쳇렌치,False
qwen3.5:9b,4방향 냉동라쳇,error,냉동라쳇렌치,"냉동라쳇렌치, 옵셋렌치, 다이아고날플라이어, 플라이어렌치, 굽은노즈플라이어",Expecting value: line 1 column 1 (char 0),냉동라쳇렌치,False
qwen3.5:9b,4인용파라솔세트,error,소켓렌치세트,"소켓렌치세트, 기어렌치세트, 전동공구세트, T렌치세트, 스패너세트",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,4인치 그라인더,error,바이스그립플라이어,"바이스그립플라이어, 냉동라쳇렌치, 다이아고날플라이어, 앵글그라인더, 버니어캘리퍼스",Expecting value: line 1 column 1 (char 0),앵글그라인더,False
qwen3.5:9b,4인치 절단석(A형),error,라쳇렌치세트,"라쳇렌치세트, 굽은노즈플라이어, 플라이어렌치, 옵셋렌치, 편구스패너",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,50m 줄자,error,클램프미터,"클램프미터, 고속절단기, 전동공구세트, 수평기, 공구세트",Expecting value: line 1 column 1 (char 0),줄자,False
qwen3.5:9b,50m릴선(작업선),error,고속절단기,"고속절단기, 클램프미터, 전동압착기, 전동공구세트, 정밀드라이버세트",Expecting value: line 1 column 1 (char 0),전선릴,False
qwen3.5:9b,5단 사다리,error,사다리,"사다리, A형사다리, 다림추, 끌세트, 편구스패너",Expecting value: line 1 column 1 (char 0),사다리,False
qwen3.5:9b,6각 렌치,error,기어렌치세트,"기어렌치세트, 스패너세트, T렌치세트, 소켓렌치세트, 납볼망치",Expecting value: line 1 column 1 (char 0),육각렌치,False
qwen3.5:9b,6각 링고리 세트,error,기어렌치세트,"기어렌치세트, 육각렌치세트, T렌치세트, 공구함세트, 조합렌치세트",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,6각렌치세트 1개,error,기어렌치세트,"기어렌치세트, 조합렌치세트, T렌치세트, 육각렌치세트, 전동공구세트",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,6각렌치세트 9개,error,기어렌치세트,"기어렌치세트, 조합렌치세트, 소켓렌치세트, T렌치세트, 스패너세트",Expecting value: line 1 column 1 (char 0),육각렌치세트,False
qwen3.5:9b,6단 사다리,error,사다리,"사다리, A형사다리, 끌세트, 편구스패너, 다림추",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,8인치 펜치,error,기어렌치세트,"기어렌치세트, 스패너세트, 공구세트, 전동공구세트, 소켓렌치세트",Expecting value: line 1 column 1 (char 0),펜치,False
qwen3.5:9b,8피스 플라이어세트,error,기어렌치세트,"기어렌치세트, 소켓렌치세트, 전동공구세트, 스패너세트, T렌치세트",Expecting value: line 1 column 1 (char 0),플라이어세트,False
qwen3.5:9b,?드펌프,error,에어펌프,"에어펌프, 고속절단기, 목공용드릴비트, 드릴비트세트, 철공용드릴비트",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,?치,error,고무망치,"고무망치, 렌치, 에어건, 해머드릴, 전동드릴",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,A형 4단 사다리,error,A형사다리,"A형사다리, 사다리, 다림추, 수평기, 전동공구세트",Expecting value: line 1 column 1 (char 0),A형사다리,False
qwen3.5:9b,A형 6단 사다리,error,A형사다리,"A형사다리, 사다리, 다림추, 수평기, 전동공구세트",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,A형 사다리,error,A형사다리,"A형사다리, 사다리, 다림추, 수평기, 끌세트",Expecting value: line 1 column 1 (char 0),A형사다리,False
qwen3.5:9b,A형사다리(1.45M),error,클램프미터,"클램프미터, 고속절단기, 전동공구세트, A형사다리, 수평기",Expecting value: line 1 column 1 (char 0),A형사다리,False
qwen3.5:9b,BOMANN 전동드릴,error,전동드릴,"전동드릴, 양용드라이버, 와이어스트리퍼, 편구스패너, 타일컷터",Expecting value: line 1 column 1 (char 0),전동드릴,False
qwen3.5:9b,BOSCH GSB18V-21,error,SDS드릴비트,"SDS드릴비트, 전동공구세트, 정밀드라이버세트, 고속절단기, 별렌치세트",Expecting value: line 1 column 1 (char 0),충전해머드릴,False
qwen3.5:9b,BOSCH Professional 전동드라이브,error,바이스그립플라이어,"바이스그립플라이어, 버니어캘리퍼스, 앤드컷팅니퍼, 냉동라쳇렌치, 다이아고날플라이어",Expecting value: line 1 column 1 (char 0),전동드라이버,False
qwen3.5:9b,BOSCH 엑세서리 드릴 세트,error,전동공구세트,"전동공구세트, 공구세트, 드릴비트세트, 공구함세트, 목공용드릴비트",Expecting value: line 1 column 1 (char 0),드릴비트세트,False
qwen3.5:9b,BOSCH 전동드릴,error,전동드릴,"전동드릴, 편구스패너, 타일컷터, 와이어스트리퍼, 양용드라이버",Expecting value: line 1 column 1 (char 0),전동드릴,False
qwen3.5:9b,F 클램프,error,F클램프,"F클램프, 스패너세트, 스패너, 그립망치, 드릴비트",Expecting value: line 1 column 1 (char 0),F클램프,False
qwen3.5:9b,HSS쇠톱날,error,만능렌치,"만능렌치, 빠루망치, 그립망치, 돌망치, 납볼망치",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,Kamaki 전지가위(굵은 가지용),error,강력니퍼,"강력니퍼, 건타카, 카운터싱크, 원형톱, 전동타카",Expecting value: line 1 column 1 (char 0),전지가위,False
qwen3.5:9b,Kamaki 전지가위(잔 가지용),error,건타카,"건타카, 에어타카, 전동타카, 카운터싱크, 전지가위",Expecting value: line 1 column 1 (char 0),전지가위,False
qwen3.5:9b,LCD전자 현미경,error,라돈측정기,"라돈측정기, LED작업등, LED손전등, 클램프미터, 육각렌치세트",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,LED 랜턴,error,LED작업등,"LED작업등, LED손전등, LED투광기, 라돈측정기, 직각자",Expecting value: line 1 column 1 (char 0),LED손전등,False
qwen3.5:9b,LED 작업등,error,LED작업등,"LED작업등, LED손전등, LED투광기, 전기인두, 라돈측정기",Expecting value: line 1 column 1 (char 0),LED작업등,False
qwen3.5:9b,LED 투광기,error,LED투광기,"LED투광기, LED손전등, LED작업등, 레이저수평기, 적외선온도계",Expecting value: line 1 column 1 (char 0),LED투광기,False
qwen3.5:9b,LED 포토박스,error,LED투광기,"LED투광기, LED손전등, LED작업등, 라돈측정기, 레이저수평기",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,LED등,error,LED손전등,"LED손전등, LED작업등, LED투광기, 라돈측정기, 전기인두",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,LED랜턴,error,손타카,"손타카, 직각자, 글루건, 니퍼, 전지가위",Expecting value: line 1 column 1 (char 0),LED손전등,False
qwen3.5:9b,LED램프,error,LED투광기,"LED투광기, LED손전등, LED작업등, 레이저수평기, 라돈측정기",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,LED작업등,error,LED작업등,"LED작업등, LED손전등, LED투광기, 라돈측정기, 육각렌치세트",Expecting value: line 1 column 1 (char 0),LED작업등,False
qwen3.5:9b,LED작업등(충전용),error,LED작업등,"LED작업등, LED손전등, LED투광기, 목공용드릴비트, 철공용드릴비트",Expecting value: line 1 column 1 (char 0),LED작업등,False
qwen3.5:9b,LED충전작업등,error,LED작업등,"LED작업등, LED손전등, 목공용드릴비트, 전동공구세트, 육각렌치세트",Expecting value: line 1 column 1 (char 0),LED작업등,False
qwen3.5:9b,LED후레쉬,error,LED작업등,"LED작업등, LED손전등, 직각자, 육각렌치, 만능렌치",Expecting value: line 1 column 1 (char 0),LED손전등,False
qwen3.5:9b,LS 사다리 3단,error,사다리,"사다리, 편구스패너, 라쳇렌치세트, 끌세트, 전동드라이버",Expecting value: line 1 column 1 (char 0),사다리,False
qwen3.5:9b,LS사다리,error,끌세트,"끌세트, 육각렌치, 편구스패너, 소켓렌치세트, 장도리",Expecting value: line 1 column 1 (char 0),사다리,False
qwen3.5:9b,LS사다리(1),error,소켓렌치세트,"소켓렌치세트, 끌세트, 볼렌치세트, 편구스패너, 스패너세트",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,LS사다리(3단),error,끌세트,"끌세트, 소켓렌치세트, 스패너세트, 전동공구세트, 기어렌치세트",Expecting value: line 1 column 1 (char 0),사다리,False
qwen3.5:9b,L렌지세트,error,볼렌치세트,"볼렌치세트, 소켓렌치세트, 스패너세트, T렌치세트, 다이스세트",Expecting value: line 1 column 1 (char 0),육각렌치세트,False
qwen3.5:9b,L렌지셋트,error,와이어스트리퍼,"와이어스트리퍼, 편구스패너, 전선릴, 볼렌치세트, 타일컷터",Expecting value: line 1 column 1 (char 0),육각렌치세트,False
