input_name,standard_name_gt,dirty_type,llm_output,llm_raw,exact_match,nearest_name,nearest_sim,nearest_correct
보쉬해머드릴,해머드릴,브랜드 혼입,해머드릴,해머드릴,True,해머드릴,1.0,True
보쉬 해머드릴(유선),해머드릴,브랜드 혼입,유선 해머드릴,유선 해머드릴,False,해머드릴,0.727,True
해머드릴(보쉬),해머드릴,브랜드 혼입,해머드릴,해머드릴,True,해머드릴,1.0,True
보쉬 충전해머드릴,충전해머드릴,브랜드 혼입,충전해머드릴,충전해머드릴,True,충전해머드릴,1.0,True
보쉬 충전해머드릴(무선),충전해머드릴,브랜드 혼입,충전해머드릴,충전해머드릴,True,충전해머드릴,1.0,True
충전해머드릴(보쉬),충전해머드릴,브랜드 혼입,충전해머드릴,충전해머드릴,True,충전해머드릴,1.0,True
보쉬 13RE,해머드릴,브랜드 혼입,,,False,A형사다리,0.0,False
13RE,해머드릴,기타,드릴 비트,드릴 비트,False,드릴비트,0.889,False
겸용해머드릴(GBH5-38X),해머드릴,영문/약어,해머드릴,해머드릴,True,해머드릴,1.0,True
(36) 유선햄머전동드릴(콘크리트용),해머드릴,메타데이터,유선 해머 전동 드릴,유선 해머 전동 드릴,False,해머드릴,0.533,True
충전해머드릴(계양),충전해머드릴,브랜드 혼입,충전해머드릴,충전해머드릴,True,충전해머드릴,1.0,True
마끼다 충전해머드릴(무선),충전해머드릴,브랜드 혼입,충전 해머드릴,충전 해머드릴,False,충전해머드릴,0.923,True
마끼다 해머드릴(유선),해머드릴,브랜드 혼입,유선 해머드릴,유선 해머드릴,False,해머드릴,0.727,True
충전함마드릴(디월트),충전해머드릴,일본어 잔재,충전함마드릴,충전함마드릴,False,충전드릴,0.8,False
밀워키 충전해머드릴 M12V CPD,충전해머드릴,브랜드 혼입,충전해머드릴,충전해머드릴,True,충전해머드릴,1.0,True
계양임팩드릴,임팩트드릴,브랜드 혼입,임팩트 드릴,임팩트 드릴,False,임팩트드릴,0.909,True
전동드라이버,전동드라이버,동력원 명시,전동 드라이버,전동 드라이버,False,전동드라이버,0.923,True
전동 드라이버,전동드라이버,동력원 명시,전동 드라이버,전동 드라이버,False,전동드라이버,0.923,True
충전드라이버,전동드라이버,동력원 명시,전동 드라이버,전동 드라이버,False,전동드라이버,0.923,True
충전 임팩드라이버,충전임팩트드라이버,동력원 명시,임팩트 드라이버,임팩트 드라이버,False,임팩트드라이버,0.933,False
충전임팩드라이버,충전임팩트드라이버,동력원 명시,임팩트 드라이버,임팩트 드라이버,False,임팩트드라이버,0.933,False
스크류 전동 드라이버,전동드라이버,동력원 명시,전동 드라이버,전동 드라이버,False,전동드라이버,0.923,True
미니전동드라이버드릴,전동드라이버,동력원 명시,소형 전동 드라이버 드릴,소형 전동 드라이버 드릴,False,전동드라이버,0.632,True
3.6v 전동드라이버,전동드라이버,동력원 명시,전동 드라이버,전동 드라이버,False,전동드라이버,0.923,True
usb 충전식 드라이버,전동드라이버,동력원 명시,충전식 드라이버,충전식 드라이버,False,전동드라이버,0.714,True
보쉬 전동 드라이버,전동드라이버,브랜드 혼입,전동 드라이버,전동 드라이버,False,전동드라이버,0.923,True
전동드라이버(보쉬),전동드라이버,브랜드 혼입,전동 드라이버,전동 드라이버,False,전동드라이버,0.923,True
BOSCH Professional 전동드라이브,전동드라이버,브랜드 혼입,전동 드라이버,전동 드라이버,False,전동드라이버,0.923,True
보쉬 pushdrive,전동드라이버,브랜드 혼입,푸시 드라이버,푸시 드라이버,False,드라이버,0.727,False
아임삭 충전 임팩 드라이버,충전임팩트드라이버,브랜드 혼입,충전 임팩트 드라이버,충전 임팩트 드라이버,False,충전임팩트드라이버,0.9,True
밀워키 M12 BID,충전임팩트드라이버,브랜드 혼입,,,False,A형사다리,0.0,False
보쉬 충전 임팩트 드릴/드라이버,충전임팩트드라이버,브랜드 혼입,충전 임팩트 드릴/드라이버,충전 임팩트 드릴/드라이버,False,충전임팩트드라이버,0.783,True
니퍼,니퍼,기타,니퍼,니퍼,True,니퍼,1.0,True
니퍼 6인치,니퍼,속성 기입,니퍼,니퍼,True,니퍼,1.0,True
니퍼(6인치),니퍼,속성 기입,니퍼,니퍼,True,니퍼,1.0,True
니퍼(7인치),니퍼,속성 기입,니퍼,니퍼,True,니퍼,1.0,True
니퍼(8인치),니퍼,속성 기입,니퍼,니퍼,True,니퍼,1.0,True
니퍼 (150mm),니퍼,영문/약어,니퍼,니퍼,True,니퍼,1.0,True
강력니퍼,강력니퍼,오탈자,니퍼,니퍼,False,니퍼,1.0,False
(5)니퍼,니퍼,메타데이터,니퍼,니퍼,True,니퍼,1.0,True
펜치,펜치,기타,펜치,펜치,True,펜치,1.0,True
8인치 펜치,펜치,속성 기입,펜치,펜치,True,펜치,1.0,True
펜치(8인치),펜치,속성 기입,펜치,펜치,True,펜치,1.0,True
(15)펜치,펜치,메타데이터,펜치,펜치,True,펜치,1.0,True
뺀찌,펜치,기타,플라이어,플라이어,False,플라이어,1.0,False
ttc 펜치(6인치),펜치,영문/약어,펜치,펜치,True,펜치,1.0,True
플라이어,플라이어,오탈자,펜치,펜치,False,펜치,1.0,False
(46)플라이어,플라이어,메타데이터,플라이어,플라이어,True,플라이어,1.0,True
8피스 플라이어세트,플라이어세트,세트/구성품,플라이어 세트,플라이어 세트,False,플라이어세트,0.923,True
바이스그립,바이스그립플라이어,오탈자,바이스그립,바이스그립,False,바이스그립플라이어,0.714,True
바이스플라이어,바이스그립플라이어,오탈자,바이스 플라이어,바이스 플라이어,False,바이스그립플라이어,0.824,True
바이스 플라이어,바이스그립플라이어,오탈자,플라이어,플라이어,False,플라이어,1.0,False
바이스플라이어(10인치),바이스그립플라이어,속성 기입,바이스 플라이어,바이스 플라이어,False,바이스그립플라이어,0.824,True
(56)바이스플라이어(5인치),바이스그립플라이어,메타데이터,바이스 플라이어,바이스 플라이어,False,바이스그립플라이어,0.824,True
(4)락킹 플라이어(바이스그립),바이스그립플라이어,메타데이터,바이스그립 플라이어,바이스그립 플라이어,False,바이스그립플라이어,0.947,True
락킹 플라이어,바이스그립플라이어,오탈자,와이어 스트리퍼 플라이어,와이어 스트리퍼 플라이어,False,와이어스트리퍼,0.7,False
롱노즈,롱노즈플라이어,오탈자,롱노즈 플라이어,롱노즈 플라이어,False,롱노즈플라이어,0.933,True
롱로우즈,롱노즈플라이어,오탈자,,,False,A형사다리,0.0,False
롱로즈,롱노즈플라이어,오탈자,,,False,A형사다리,0.0,False
(16)롱노우즈 플라이어(라디오펜치),롱노즈플라이어,메타데이터,롱노우즈 플라이어,롱노우즈 플라이어,False,롱노즈플라이어,0.875,True
굽은 노즈 플라이어,굽은노즈플라이어,오탈자,곡면 코 플라이어,곡면 코 플라이어,False,플라이어,0.615,False
다이아타입 플라이어,다이아고날플라이어,오탈자,와이어 커터 플라이어,와이어 커터 플라이어,False,플라이어,0.533,False
몽키스패너,몽키렌치,오탈자,몽키스패너,몽키스패너,False,스패너,0.75,False
몽키,몽키렌치,기타,몽키 스패너,몽키 스패너,False,스패너,0.667,False
몽키렌치,몽키렌치,오탈자,몽키스패너,몽키스패너,False,스패너,0.75,False
경량 몽키렌치,몽키렌치,오탈자,몽키렌치,몽키렌치,True,몽키렌치,1.0,True
경량몽키,몽키렌치,오탈자,몽키 스패너,몽키 스패너,False,스패너,0.667,False
경랑몽키(8인치),몽키렌치,속성 기입,,,False,A형사다리,0.0,False
몽키 8인치,몽키렌치,속성 기입,몽키 스패너,몽키 스패너,False,스패너,0.667,False
몽키 10인치,몽키렌치,속성 기입,몽키 스패너,몽키 스패너,False,스패너,0.667,False
몽키 12인치,몽키렌치,속성 기입,몽키 스패너,몽키 스패너,False,스패너,0.667,False
12인치 몽키스패너,몽키렌치,속성 기입,몽키 스패너,몽키 스패너,False,스패너,0.667,False
.몽키스패너200mm,몽키렌치,영문/약어,몽키 스패너,몽키 스패너,False,스패너,0.667,False
.몽키스패너300mm,몽키렌치,영문/약어,몽키 스패너,몽키 스패너,False,스패너,0.667,False
몽키스패너(250mm 세신),몽키렌치,브랜드 혼입,몽키 스패너,몽키 스패너,False,스패너,0.667,False
세신몽키,몽키렌치,브랜드 혼입,,,False,A형사다리,0.0,False
세신 몽키 스패너 8,몽키렌치,브랜드 혼입,몽키 스패너 8,몽키 스패너 8,False,스패너,0.545,False
세신 몽키 스패너 10,몽키렌치,브랜드 혼입,몽키 스패너 10,몽키 스패너 10,False,스패너,0.5,False
세신 몽키 스패너 12,몽키렌치,브랜드 혼입,몽키 스패너,몽키 스패너,False,스패너,0.667,False
파이프렌치,파이프렌치,오탈자,파이프 렌치,파이프 렌치,False,파이프렌치,0.909,True
파이프렌치(14인치),파이프렌치,속성 기입,파이프 렌치,파이프 렌치,False,파이프렌치,0.909,True
암파이프렌치 18인치,파이프렌치,속성 기입,파이프 렌치,파이프 렌치,False,파이프렌치,0.909,True
세신파이프렌치,파이프렌치,브랜드 혼입,파이프 렌치,파이프 렌치,False,파이프렌치,0.909,True
250 세신 파이프렌치,파이프렌치,브랜드 혼입,파이프렌치,파이프렌치,True,파이프렌치,1.0,True
PIPE렌치,파이프렌치,영문/약어,파이프 렌치,파이프 렌치,False,파이프렌치,0.909,True
스패너,스패너,오탈자,몽키스패너,몽키스패너,False,스패너,0.75,True
스패너세트,스패너세트,세트/구성품,스패너 세트,스패너 세트,False,스패너세트,0.909,True
스패너(200mm),스패너,영문/약어,파이프 렌치,파이프 렌치,False,파이프렌치,0.909,False
스패너(300mm),스패너,영문/약어,파이프 렌치,파이프 렌치,False,파이프렌치,0.909,False
보쉬 스패너 세트,스패너세트,브랜드 혼입,스패너 세트,스패너 세트,False,스패너세트,0.909,True
만능렌치,만능렌치,오탈자,조절 스패너,조절 스패너,False,스패너,0.667,False
매직렌치,만능렌치,오탈자,,,False,A형사다리,0.0,False
육각렌치,육각렌치,오탈자,육각렌치,육각렌치,True,육각렌치,1.0,True
육각렌치세트,육각렌치세트,세트/구성품,육각렌치세트,육각렌치세트,True,육각렌치세트,1.0,True
6각 렌치,육각렌치,기타,육각 렌치,육각 렌치,False,육각렌치,0.889,True
6각렌치세트 9개,육각렌치세트,세트/구성품,육각렌치 세트,육각렌치 세트,False,육각렌치세트,0.923,True
L렌치 세트,육각렌치세트,영문/약어,렌치 세트,렌치 세트,False,볼렌치세트,0.8,False
L렌치세트,육각렌치세트,영문/약어,렌치세트,렌치세트,False,볼렌치세트,0.889,False
L렌치세트(9pcs),육각렌치세트,영문/약어,렌치 세트,렌치 세트,False,볼렌치세트,0.8,False
L형 렌치세트,육각렌치세트,세트/구성품,L형 렌치 세트,L형 렌치 세트,False,볼렌치세트,0.615,False
L렌지세트,육각렌치세트,세트/구성품,L자 렌치 세트,L자 렌치 세트,False,볼렌치세트,0.615,False
L렌지셋트,육각렌치세트,오탈자,,,False,A형사다리,0.0,False
L형 렌치센트,육각렌치세트,오탈자,L형 렌치,L형 렌치,False,렌치,0.571,False
접이식 육각렌치세트,육각렌치세트,세트/구성품,육각렌치세트,육각렌치세트,True,육각렌치세트,1.0,True
볼렌치세트,볼렌치세트,세트/구성품,볼렌치세트,볼렌치세트,True,볼렌치세트,1.0,True
볼렌치,볼렌치,오탈자,,,False,A형사다리,0.0,False
별렌치세트,별렌치세트,세트/구성품,별렌치 세트,별렌치 세트,False,별렌치세트,0.909,True
소켓렌치세트,소켓렌치세트,세트/구성품,소켓렌치세트,소켓렌치세트,True,소켓렌치세트,1.0,True
복스세트,소켓렌치세트,세트/구성품,소켓렌치세트,소켓렌치세트,True,소켓렌치세트,1.0,True
소켓렌치세트(SMATO),소켓렌치세트,영문/약어,소켓렌치세트,소켓렌치세트,True,소켓렌치세트,1.0,True
밀워키 래치 렌치세트,라쳇렌치세트,브랜드 혼입,래치 렌치 세트,래치 렌치 세트,False,볼렌치세트,0.615,False
기어렌치세트,기어렌치세트,세트/구성품,기어 렌치 세트,기어 렌치 세트,False,기어렌치세트,0.857,True
4방향 냉동라쳇,냉동라쳇렌치,오탈자,,,False,A형사다리,0.0,False
4방항 냉동라쳇,냉동라쳇렌치,오탈자,,,False,A형사다리,0.0,False
첼라,워터펌프플라이어,기타,첼라,첼라,False,드라이버,0.333,False
첼라 300,워터펌프플라이어,기타,,,False,A형사다리,0.0,False
300mm첼라,워터펌프플라이어,영문/약어,첼라,첼라,False,드라이버,0.333,False
T렌치 세트,T렌치세트,영문/약어,T렌치 세트,T렌치 세트,False,T렌치세트,0.909,True
조합렌치 세트,조합렌치세트,세트/구성품,조합렌치 세트,조합렌치 세트,False,조합렌치세트,0.923,True
줄자,줄자,기타,줄자,줄자,True,줄자,1.0,True
30m 줄자,줄자,속성 기입,줄자,줄자,True,줄자,1.0,True
50m 줄자,줄자,속성 기입,줄자,줄자,True,줄자,1.0,True
줄자(7.5m),줄자,특수기호,줄자,줄자,True,줄자,1.0,True
줄자(5m),줄자,속성 기입,줄자,줄자,True,줄자,1.0,True
3M줄자,줄자,속성 기입,줄자,줄자,True,줄자,1.0,True
코메론 줄자,줄자,오탈자,줄자,줄자,True,줄자,1.0,True
타지마줄자,줄자,오탈자,줄자,줄자,True,줄자,1.0,True
타지마 줄자 7.5m,줄자,특수기호,줄자,줄자,True,줄자,1.0,True
타지마줄자(3m),줄자,속성 기입,줄자,줄자,True,줄자,1.0,True
고무피복줄자,줄자,오탈자,줄자,줄자,True,줄자,1.0,True
고무피복줄자(5.5M),줄자,특수기호,줄자,줄자,True,줄자,1.0,True
(39)마그네틱 줄자,줄자,메타데이터,마그네틱 줄자,마그네틱 줄자,False,줄자,0.444,True
수평기,수평기,오탈자,수평계,수평계,False,수평기,0.667,True
수평계,수평기,오탈자,수평계,수평계,False,수평기,0.667,True
수평자,수평기,오탈자,수평계,수평계,False,수평기,0.667,True
수평대,수평기,오탈자,수평자,수평자,False,수평기,0.667,True
수평대(450mm),수평기,영문/약어,수평자,수평자,False,수평기,0.667,True
수평대(디월트),수평기,브랜드 혼입,수평자,수평자,False,수평기,0.667,True
자석수평,수평기,오탈자,자석 수평계,자석 수평계,False,수평기,0.444,True
SB 수평,수평기,기타,수평계,수평계,False,수평기,0.667,True
거리측정기,레이저거리측정기,오탈자,줄자,줄자,False,줄자,1.0,False
(57)레이저거리측정기,레이저거리측정기,메타데이터,레이저 거리 측정기,레이저 거리 측정기,False,레이저거리측정기,0.889,True
보쉬 GLM 40 거리측정기,레이저거리측정기,브랜드 혼입,레이저 거리측정기,레이저 거리측정기,False,레이저거리측정기,0.941,True
보쉬 거리측정기,레이저거리측정기,브랜드 혼입,레이저 거리 측정기,레이저 거리 측정기,False,레이저거리측정기,0.889,True
검전기,검전기,오탈자,검전기,검전기,True,검전기,1.0,True
검전드라이버,검전기,오탈자,검전기,검전기,True,검전기,1.0,True
라돈측정기,라돈측정기,오탈자,,,False,A형사다리,0.0,False
노기스,버니어캘리퍼스,오탈자,,,False,A형사다리,0.0,False
그라인더,앵글그라인더,오탈자,그라인더,그라인더,False,앵글그라인더,0.8,True
그라인다,앵글그라인더,오탈자,그라인더,그라인더,False,앵글그라인더,0.8,True
4인치 그라인더,앵글그라인더,속성 기입,그라인더,그라인더,False,앵글그라인더,0.8,True
그라인더(유선),앵글그라인더,동력원 명시,그라인더,그라인더,False,앵글그라인더,0.8,True
디스크 그라인더,앵글그라인더,오탈자,그라인더,그라인더,False,앵글그라인더,0.8,True
그라인더(보쉬),앵글그라인더,브랜드 혼입,그라인더,그라인더,False,앵글그라인더,0.8,True
보쉬 전동그라인더,앵글그라인더,브랜드 혼입,전동 그라인더,전동 그라인더,False,앵글그라인더,0.615,True
보쉬 무선그라인더,앵글그라인더,브랜드 혼입,무선 그라인더,무선 그라인더,False,앵글그라인더,0.615,True
충전 그라인더,앵글그라인더,동력원 명시,그라인더,그라인더,False,앵글그라인더,0.8,True
나리온 무선 충전 그라인더,앵글그라인더,동력원 명시,무선 그라인더,무선 그라인더,False,앵글그라인더,0.615,True
샌더기,샌더,오탈자,샌더,샌더,True,샌더,1.0,True
180mm 샌더,샌더,영문/약어,샌더,샌더,True,샌더,1.0,True
톱,톱,기타,톱,톱,True,톱,1.0,True
쇠톱,쇠톱,기타,쇠톱,쇠톱,True,쇠톱,1.0,True
쇠톱대,쇠톱,오탈자,쇠톱대,쇠톱대,False,쇠톱,0.8,True
(7)쇠톱,쇠톱,메타데이터,쇠톱,쇠톱,True,쇠톱,1.0,True
접톱,접톱,기타,직소,직소,False,직소기,0.8,False
집톱,접톱,기타,톱,톱,False,톱,1.0,False
(1)접톱,접톱,메타데이터,직쏘,직쏘,False,직소기,0.4,False
접이식 톱,접톱,오탈자,접이식 톱,접이식 톱,False,접톱,0.571,True
톱(접이식),접톱,오탈자,접이식 톱,접이식 톱,False,접톱,0.571,True
목공용 접톱,목공용접톱,오탈자,직소,직소,False,직소기,0.8,False
나무톱,목공톱,오탈자,톱,톱,False,톱,1.0,False
전정톱,전정톱,오탈자,와이어 커터,와이어 커터,False,커터,0.5,False
직소기,직소기,오탈자,직소기,직소기,True,직소기,1.0,True
직소,직소기,기타,직소,직소,False,직소기,0.8,True
전동일자톱,왕복톱(레시프로쏘),동력원 명시,전동톱,전동톱,False,전정톱,0.667,False
고속절단기,고속절단기,오탈자,,,False,A형사다리,0.0,False
[보쉬]테이블쏘(10인치),테이블톱,브랜드 혼입,테이블쏘,테이블쏘,False,테이블톱,0.75,True
원형톱마끼다,원형톱,브랜드 혼입,원형톱날,원형톱날,False,원형톱,0.857,True
망치,망치,기타,망치,망치,True,망치,1.0,True
(13)망치,망치,메타데이터,망치,망치,True,망치,1.0,True
빠루망치,빠루망치,일본어 잔재,,,False,A형사다리,0.0,False
돌망치,돌망치,오탈자,망치,망치,False,망치,1.0,False
고무망치,고무망치,오탈자,고무망치,고무망치,True,고무망치,1.0,True
(28)납볼망치,납볼망치,메타데이터,납볼망치,납볼망치,True,납볼망치,1.0,True
장도리,장도리,오탈자,,,False,A형사다리,0.0,False
(32)장도리,장도리,메타데이터,장도리,장도리,True,장도리,1.0,True
그립망치,그립망치,오탈자,망치,망치,False,망치,1.0,False
망치/함마/장도리,망치,일본어 잔재,망치,망치,True,망치,1.0,True
다목적가위,다목적가위,오탈자,가위,가위,False,철판가위,0.667,False
다목적 가위,다목적가위,오탈자,가위,가위,False,철판가위,0.667,False
전지가위,전지가위,오탈자,전기 가위,전기 가위,False,전지가위,0.667,True
전정가위,전지가위,오탈자,가위,가위,False,철판가위,0.667,False
조경가위,전지가위,오탈자,전정가위,전정가위,False,전지가위,0.75,True
Kamaki 전지가위(굵은 가지용),전지가위,영문/약어,전기 가위,전기 가위,False,전지가위,0.667,True
Kamaki 전지가위(잔 가지용),전지가위,영문/약어,전지가위,전지가위,True,전지가위,1.0,True
고지가위,고지가위,오탈자,가위,가위,False,철판가위,0.667,False
고지가위(5m),고지가위,속성 기입,,,False,A형사다리,0.0,False
볼트컷터,볼트컷터,오탈자,,,False,A형사다리,0.0,False
볼트커터,볼트컷터,오탈자,,,False,A형사다리,0.0,False
볼트카타,볼트컷터,오탈자,볼트커터,볼트커터,False,볼트컷터,0.75,True
강력절단기,볼트컷터,오탈자,절단기,절단기,False,고속절단기,0.75,False
강력절단기(45cm),볼트컷터,영문/약어,절단기,절단기,False,고속절단기,0.75,False
커터칼,커터칼,오탈자,커터칼,커터칼,True,커터칼,1.0,True
PVC카타,PVC컷터,영문/약어,PVC 커터,PVC 커터,False,PVC컷터,0.727,True
PVC커타,PVC컷터,영문/약어,PVC 커터,PVC 커터,False,PVC컷터,0.727,True
pvc파이프커터,PVC컷터,영문/약어,PVC 파이프 커터,PVC 파이프 커터,False,PVC컷터,0.533,True
함석가위,철판가위,오탈자,가위,가위,False,철판가위,0.667,True
글루건,글루건,오탈자,글루건,글루건,True,글루건,1.0,True
글로건,글루건,오탈자,,,False,A형사다리,0.0,False
글루건(80W),글루건,속성 기입,글루건,글루건,True,글루건,1.0,True
글루건(20W)(RG-20),글루건,속성 기입,글루건,글루건,True,글루건,1.0,True
(34)글루건(소형),글루건,메타데이터,글루건,글루건,True,글루건,1.0,True
글루건&글루스틱,글루건,특수기호,글루건과 글루스틱,글루건과 글루스틱,False,글루스틱,0.615,False
글루건(&심),글루건,특수기호,글루건,글루건,True,글루건,1.0,True
글루건심,글루스틱,오탈자,글루건 심,글루건 심,False,글루건,0.75,False
글루스틱,글루스틱,오탈자,,,False,A형사다리,0.0,False
실리콘건,실리콘건,오탈자,실리콘건,실리콘건,True,실리콘건,1.0,True
실리콘 건,실리콘건,오탈자,실리콘 건,실리콘 건,False,실리콘건,0.889,True
타카,타카,기타,타카못,타카못,False,타카,0.8,True
손타카,손타카,오탈자,,,False,A형사다리,0.0,False
건타카,건타카,오탈자,,,False,A형사다리,0.0,False
디월트 타카,건타카,브랜드 혼입,콘크리트 타카,콘크리트 타카,False,콘크리트니퍼,0.615,False
에어타카,에어타카,동력원 명시,타카,타카,False,타카,1.0,False
전동타카,전동타카,동력원 명시,타카건,타카건,False,타카,0.8,False
타카핀,타카핀,오탈자,타카핀,타카핀,True,타카핀,1.0,True
ㄷ형 타카핀,타카핀,오탈자,ㄷ형 타카핀,ㄷ형 타카핀,False,타카핀,0.667,True
