original_name,standard_name,brand,power_source,specification,usage_note
그라인더(보쉬),앵글그라인더,보쉬(BOSCH),유선,,
보쉬 전동그라인더,앵글그라인더,보쉬(BOSCH),유선,,
보쉬 무선그라인더,앵글그라인더,보쉬(BOSCH),충전식(무선),,
충전 그라인더,앵글그라인더,,충전식(무선),,
나리온 무선 충전 그라인더,앵글그라인더,나리온,충전식(무선),,
샌더기,샌더,,유선,,
180mm 샌더,샌더,,유선,180mm,
톱,톱,,수동,,
쇠톱,쇠톱,,수동,,
쇠톱대,쇠톱,,수동,,
(7)쇠톱,쇠톱,,수동,,
접톱,접톱,,수동,,
집톱,접톱,,수동,,
(1)접톱,접톱,,수동,,
접이식 톱,접톱,,수동,,접이식
톱(접이식),접톱,,수동,,접이식
목공용 접톱,목공용접톱,,수동,,목공용
나무톱,목공톱,,수동,,
전정톱,전정톱,,수동,,
직소기,직소기,,유선,,
직소,직소기,,유선,,
전동일자톱,왕복톱(레시프로쏘),,유선,,
고속절단기,고속절단기,,유선,,
[보쉬]테이블쏘(10인치),테이블톱,보쉬(BOSCH),유선,10인치,
원형톱마끼다,원형톱,마끼다(Makita),유선,,
망치,망치,,수동,,
(13)망치,망치,,수동,,
빠루망치,빠루망치,,수동,,
돌망치,돌망치,,수동,,
고무망치,고무망치,,수동,,
(28)납볼망치,납볼망치,,수동,,
장도리,장도리,,수동,,
(32)장도리,장도리,,수동,,
그립망치,그립망치,,수동,,
망치/함마/장도리,망치,,수동,,
다목적가위,다목적가위,,수동,,
다목적 가위,다목적가위,,수동,,
전지가위,전지가위,,수동,,
전정가위,전지가위,,수동,,
조경가위,전지가위,,수동,,조경용
Kamaki 전지가위(굵은 가지용),전지가위,카마키(Kamaki),수동,,굵은가지용
Kamaki 전지가위(잔 가지용),전지가위,카마키(Kamaki),수동,,잔가지용
고지가위,고지가위,,수동,,
고지가위(5m),고지가위,,수동,5m,
볼트컷터,볼트컷터,,수동,,
볼트커터,볼트컷터,,수동,,
볼트카타,볼트컷터,,수동,,
강력절단기,볼트컷터,,수동,,
강력절단기(45cm),볼트컷터,,수동,45cm,
커터칼,커터칼,,수동,,
PVC카타,PVC컷터,,수동,,
PVC커타,PVC컷터,,수동,,
pvc파이프커터,PVC컷터,,수동,,
함석가위,철판가위,,수동,,
글루건,글루건,,유선,,
글로건,글루건,,유선,,
글루건(80W),글루건,,유선,80W,
글루건(20W)(RG-20),글루건,,유선,20W,
(34)글루건(소형),글루건,,유선,,소형
글루건&글루스틱,글루건,,유선,,글루스틱포함
글루건(&심),글루건,,유선,,글루스틱포함
글루건심,글루스틱,,,,소모품
글루스틱,글루스틱,,,,소모품
실리콘건,실리콘건,,수동,,
실리콘 건,실리콘건,,수동,,
타카,타카,,수동,,
손타카,손타카,,수동,,
건타카,건타카,,수동,,
디월트 타카,건타카,디월트(DeWalt),수동,,
에어타카,에어타카,,에어,,
전동타카,전동타카,,유선/충전식,,
타카핀,타카핀,,,,소모품
ㄷ형 타카핀,타카핀,,,,"소모품,ㄷ형"
드릴비트세트,드릴비트세트,,,,세트
드릴비트 세트,드릴비트세트,,,,세트
비트세트,비트세트,,,,세트
기리세트,드릴비트세트,,,,세트
기리셋트,드릴비트세트,,,,세트
기리세트(10p),드릴비트세트,,,10PCS,세트
12P 3종 기리세트(육각씽크),드릴비트세트,,,12PCS/3종,"육각싱크용,세트"
(40)철기리 세트,철공용드릴비트세트,,,,세트
철판드릴비트,철공용드릴비트,,,,
(37)드릴날 세트(콘크리트용),콘크리트드릴비트세트,,,,"콘크리트용,세트"
SDS 기리,SDS드릴비트,,,,
SDS기리 (14×160),SDS드릴비트,,,14×160mm,
보쉬 비트세트(100PCS),비트세트,보쉬(BOSCH),,100PCS,세트
보쉬멀티기리세트,드릴비트세트,보쉬(BOSCH),,,"멀티,세트"
BOSCH 엑세서리 드릴 세트,드릴비트세트,보쉬(BOSCH),,,"액세서리,세트"
아임삭 비트세트,비트세트,아임삭,,,세트
피스제거용비트,피스제거용비트,,,,
마모된 피스제거용 비트,피스제거용비트,,,,마모피스용
18V 밧데리(디월트),배터리팩,디월트(DeWalt),,18V,
사다리,사다리,,,,
2단 사다리,사다리,,,,2단
2단사다리,사다리,,,,2단
3단 사다리,사다리,,,,3단
3단사다리,사다리,,,,3단
3단 사다리(접이식),사다리,,,,"3단,접이식"
4단 사다리,사다리,,,,4단
4단사다리,사다리,,,,4단
5단 사다리,사다리,,,,5단
A형 사다리,A형사다리,,,,
A형 4단 사다리,A형사다리,,,,4단
LS 사다리 3단,사다리,LS,,,3단
LS사다리,사다리,LS,,,
LS사다리(3단),사다리,LS,,,3단
가정용 사다리,사다리,,,,가정용
A형사다리(1.45M),A형사다리,,,1.45m,
공구세트,공구세트,,,,
공구셋트,공구세트,,,,
가정용 공구세트,공구세트,,,,가정용
가정용공구세트(18pcs),공구세트,,,18PCS,가정용
가정용공구세트(25pcs),공구세트,,,25PCS,가정용
공구세트(대)-139pcs,공구세트,,,139PCS,대형
공구세트(JAYA JTS80),공구세트,자야(JAYA),,JTS80,
공구세트(대)-HARDEN,공구세트,하든(HARDEN),,,대형
공구셋트SMATO(16),공구세트,스마토(SMATO),,16PCS,
공구셋트SMATO(25),공구세트,스마토(SMATO),,25PCS,
VIP 공구세트 (20PCS),공구세트,,,20PCS,
보쉬 수공구세트,공구세트,보쉬(BOSCH),,,수공구
세신 가정용 공구 세트,공구세트,세신버팔로,,,가정용
세신공구세트,공구세트,세신버팔로,,,
디월트 공구함세트,공구함세트,디월트(DeWalt),,,세트
공구함키트박스(디월트),공구함,디월트(DeWalt),,,
보쉬 전동공구세트,전동공구세트,보쉬(BOSCH),충전식(무선),,세트
LED 작업등,LED작업등,,유선/충전식,,
LED작업등,LED작업등,,유선/충전식,,
led 작업등,LED작업등,,유선/충전식,,
LED작업등(충전용),LED작업등,,충전식,,
LED충전작업등,LED작업등,,충전식,,
LED 랜턴,LED손전등,,배터리,,
LED랜턴,LED손전등,,배터리,,
LED 손전등,LED손전등,,배터리,,
led손전등,LED손전등,,배터리,,
LED후레쉬,LED손전등,,배터리,,
(18)손전등,LED손전등,,배터리,,
랜턴,LED손전등,,배터리,,
LED 투광기,LED투광기,,유선/충전식,,
에어콤프레셔,에어컴프레서,,유선,,
콤프레셔,에어컴프레서,,유선,,
에어건,에어건,,에어,,
에어펌프,에어펌프,,수동,,
(45)에어펌프(자전거 공기주입기),자전거펌프,,수동,,
자전거펌프,자전거펌프,,수동,,
자전거 펌프,자전거펌프,,수동,,
전선릴,전선릴,,,,
전기릴선,전선릴,,,,
50m릴선(작업선),전선릴,,,50m,
30M 작업닐선,전선릴,,,30m,
4구 코드릴,전선릴,,,,4구
스트리퍼,와이어스트리퍼,,수동,,
백터스트리퍼,와이어스트리퍼,,수동,,
스프링청소기,스프링배관청소기,,수동,,
점프선,점프케이블,,,,
점프선(3M),점프케이블,,,3m,
드라이버,드라이버,,수동,,
겸용드라이버,양용드라이버,,수동,,십자/일자겸용
(42)양용드라이버,양용드라이버,,수동,,십자/일자겸용
겸용드라이버(6*200),양용드라이버,,수동,6×200mm,
정밀드라이버세트,정밀드라이버세트,,수동,,세트
드라이버세트,드라이버세트,,수동,,세트
T핸드 드라이버,T핸드드라이버,,수동,,
T핸드드라이버,T핸드드라이버,,수동,,
인두기,전기인두,,유선,,
전기인두,전기인두,,유선,,
권총인두(60W),전기인두,,유선,60W,권총형
열풍기,열풍기,,유선,,
가열총(열풍기),열풍기,,유선,,
보쉬 열풍기,열풍기,보쉬(BOSCH),유선,,
고압세척기,고압세척기,,유선,,
고압 세척기,고압세척기,,유선,,
송풍기,송풍기,,유선/충전식,,
충전송풍기,송풍기,,충전식(무선),,
스크래퍼,스크레퍼,,수동,,
헤라 3인치,스크레퍼,,수동,3인치,
헤라 5인치,스크레퍼,,수동,5인치,
보안경,보안경,,,,
고글,보안경,,,,
안전모,안전모,,,,
핸드카트,핸드카트,,,,
접이식 카트,핸드카트,,,,접이식
가스토치,가스토치,,가스,,
목공줄,목공줄,,수동,,
끌세트,끌세트,,수동,,세트
F 클램프,F클램프,,수동,,
앤드컷팅니퍼,앤드컷팅니퍼,,수동,,
콘크리트니퍼,콘크리트니퍼,,수동,,콘크리트용
전자산업용니퍼,전자산업용니퍼,,수동,,전자산업용
스냅링플라이어,스냅링플라이어,,수동,,
워터펌프플라이어,워터펌프플라이어,,수동,,
플라이어렌치,플라이어렌치,,수동,,
토크렌치,토크렌치,,수동,,
옵셋렌치,옵셋렌치,,수동,,
편구스패너,편구스패너,,수동,,
센터펀치,센터펀치,,수동,,
핀펀치,핀펀치,,수동,,
철공용드릴비트,철공용드릴비트,,,,
목공용드릴비트,목공용드릴비트,,,,
콘크리트용드릴비트,콘크리트용드릴비트,,,,
탭세트,탭세트,,수동,,세트
다이스세트,다이스세트,,수동,,세트
카운터싱크,카운터싱크,,,,면취
레이저수평기,레이저수평기,,배터리,,
디지털수평기,디지털수평기,,배터리,,
적외선온도계,적외선온도계,,배터리,,비접촉식
열화상카메라,열화상카메라,,배터리,,
멀티테스터,멀티테스터,,배터리,,
클램프미터,클램프미터,,배터리,,
로터리해머드릴,로터리해머드릴,,유선,,
앵글그라인더,앵글그라인더,,유선/충전식,,
임팩트드라이버,임팩트드라이버,,충전식(무선),,
원형톱,원형톱,,유선/충전식,,
왕복톱(레시프로쏘),왕복톱(레시프로쏘),,유선/충전식,,
전동압착기,전동압착기,,충전식(무선),,
와이어스트리퍼,와이어스트리퍼,,수동,,
케이블컷터,케이블컷터,,수동,,
PVC컷터,PVC컷터,,수동,,
타일컷터,타일컷터,,수동,,
모종삽,모종삽,,수동,,
도끼,도끼,,수동,,
안전장갑,안전장갑,,,,
방진마스크,방진마스크,,,,
안전로프,안전로프,,,,
대패,대패,,수동,,
석고대패,석고대패,,수동,,
먹통,먹통,,수동,,
연마석,연마석,,,,소모품
절단석,절단석,,,,소모품
기리,드릴비트,,,,
철기리,철공용드릴비트,,,,
목기리,목공용드릴비트,,,,
뺀치,펜치,,수동,,
빤치,펜치,,수동,,
함마,망치,,수동,,
빠루,쇠지렛대,,수동,,
구루마,핸드카트,,,,
사게후리,다림추,,수동,,
사시가네,직각자,,수동,,
갓다,커터,,수동,,
셋트,세트,,,,
렌지,렌치,,수동,,
센트,세트,,,,
