GT: 457건, 표준명 종류: 160개
=== gemma4:e4b | 잔여 387건 ===
    10/387 | exact=False | '전동 드라이버' | ETA 1.4분
   387/387 | exact=False | '' | ETA 0.0분
[gemma4:e4b] exact=27.35%  nearest=63.24%  (457건)
=== exaone3.5:7.8b | 잔여 457건 ===
    10/457 | exact=False | '드릴' | ETA 4.2분
    20/457 | exact=False | '충전식 전동드릴' | ETA 2.4분
    30/457 | exact=False | '전동드릴 GSR14.4-2 ' | ETA 1.8분
    40/457 | exact=False | '계양 전동 드릴' | ETA 1.5분
    50/457 | exact=False | '드릴햄머' | ETA 1.3분
    60/457 | exact=False | '충전 드릴 비트' | ETA 1.2분
    70/457 | exact=False | '13인치 리벳렌치' | ETA 1.1분
    80/457 | exact=False | '전동 드라이버 → 전동렌치' | ETA 1.0분
    90/457 | exact=False | '전동드라이버 (BOSCH P' | ETA 0.9분
   100/457 | exact=False | '절단용 니퍼 (150mm)' | ETA 0.9분
   110/457 | exact=True  | '플라이어' | ETA 0.8분
   120/457 | exact=False | '긴 렌치' | ETA 0.8분
   130/457 | exact=False | '경량몽키렌치 (8인치)' | ETA 0.7분
   140/457 | exact=False | '10인치 오픈 엔드 스패너' | ETA 0.7분
   150/457 | exact=False | '200mm 오픈 엔드 스패너' | ETA 0.7분
   160/457 | exact=False | '렌치 세트' | ETA 0.7분
   170/457 | exact=False | '소켓 렌치 세트' | ETA 0.6분
   180/457 | exact=False | '토크 렌치 세트' | ETA 0.6분
   190/457 | exact=False | '7.5미터 줄자' | ETA 0.6분
   200/457 | exact=False | '수평계' | ETA 0.5분
   210/457 | exact=False | '버니어 캘리퍼스' | ETA 0.5분
   220/457 | exact=False | '무선 충전 핸드그라인더' | ETA 0.5분
   230/457 | exact=False | '접이식 톱 → **접이식 핸' | ETA 0.5분
   240/457 | exact=False | '원형톱마끼' | ETA 0.4분
   250/457 | exact=True  | '망치' | ETA 0.4분
   260/457 | exact=False | '볼트절단기' | ETA 0.4분
   270/457 | exact=False | '글루건 → **핫글루건**' | ETA 0.4분
   280/457 | exact=False | '실리콘 접착제 건' | ETA 0.4분
   290/457 | exact=False | '드릴 비트 세트' | ETA 0.3분
   300/457 | exact=False | '14×160 밀리미터 슬롯 ' | ETA 0.3분
   310/457 | exact=False | '이중사다리' | ETA 0.3분
   320/457 | exact=True  | '사다리' | ETA 0.3분
   330/457 | exact=False | 'JAYA JTS80 다기능 ' | ETA 0.2분
   340/457 | exact=False | '보쉬 전동 공구 세트  → ' | ETA 0.2분
   350/457 | exact=False | 'LED 손전등' | ETA 0.2분
   360/457 | exact=False | '자전거 공기펌프' | ETA 0.2분
   370/457 | exact=False | '점프 케이블 (3M)' | ETA 0.2분
   380/457 | exact=False | '전기용접기' | ETA 0.1분
   390/457 | exact=False | '측정용 헤라 3인치' | ETA 0.1분
   400/457 | exact=False | '고정 클램프' | ETA 0.1분
   410/457 | exact=False | '센터 펀치' | ETA 0.1분
   420/457 | exact=False | '적외선 온도계' | ETA 0.1분
   430/457 | exact=False | '와이어 스트리퍼' | ETA 0.1분
   440/457 | exact=False | '석고다듬이' | ETA 0.0분
   450/457 | exact=False | '망치' | ETA 0.0분
   457/457 | exact=False | '센터 드릴 (Center D' | ETA 0.0분
[exaone3.5:7.8b] exact=9.41%  nearest=60.39%  (457건)
=== gemma3:4b | 잔여 457건 ===
    10/457 | exact=False | '드릴' | ETA 3.8분
    20/457 | exact=False | '전동드릴' | ETA 2.5분
    30/457 | exact=False | '전동드릴' | ETA 2.2분
    40/457 | exact=True  | '전동드릴' | ETA 1.9분
    50/457 | exact=True  | '해머드릴' | ETA 1.8분
    60/457 | exact=False | '전동 햄머드릴' | ETA 1.7분
    70/457 | exact=False | '레벨 13' | ETA 1.6분
    80/457 | exact=False | '전동 드라이버' | ETA 1.5분
    90/457 | exact=False | 'BOSCH 전동드라이브' | ETA 1.5분
   100/457 | exact=True  | '니퍼' | ETA 1.4분
   110/457 | exact=True  | '플라이어' | ETA 1.3분
   120/457 | exact=False | '롱로우' | ETA 1.3분
   130/457 | exact=False | '8인치 몽키 클램프' | ETA 1.2분
   140/457 | exact=False | '세신 몽키 스패너' | ETA 1.2분
   150/457 | exact=True  | '스패너' | ETA 1.2분
   160/457 | exact=False | '렌치세트' | ETA 1.1분
   170/457 | exact=True  | '소켓렌치세트' | ETA 1.1분
   180/457 | exact=False | '트렌치' | ETA 1.0분
   190/457 | exact=False | '타지마 줄자' | ETA 1.0분
   200/457 | exact=False | '수평대' | ETA 0.9분
   210/457 | exact=False | '노기스' | ETA 0.9분
   220/457 | exact=False | '무선 충전 그라인더' | ETA 0.9분
   230/457 | exact=False | '접이식톱' | ETA 0.8분
   240/457 | exact=False | '원형톱마끼다' | ETA 0.8분
   250/457 | exact=True  | '망치' | ETA 0.7분
   260/457 | exact=False | '볼 Cutter' | ETA 0.7분
   270/457 | exact=False | '핫멜트기계' | ETA 0.7분
   280/457 | exact=False | '실리콘 펌프' | ETA 0.6분
   290/457 | exact=False | '드릴비트 세트' | ETA 0.6분
   300/457 | exact=False | 'SDS 드릴 (14×160)' | ETA 0.6분
   310/457 | exact=True  | '사다리' | ETA 0.5분
   320/457 | exact=True  | '사다리' | ETA 0.5분
   330/457 | exact=True  | '공구세트' | ETA 0.5분
   340/457 | exact=False | '보쉬 전동공구세트' | ETA 0.4분
   350/457 | exact=False | 'LED 손전등' | ETA 0.4분
   360/457 | exact=False | '공기 펌프' | ETA 0.3분
   370/457 | exact=False | '점프선' | ETA 0.3분
   380/457 | exact=True  | '전기인두' | ETA 0.3분
   390/457 | exact=False | '헤라' | ETA 0.2분
   400/457 | exact=True  | 'F클램프' | ETA 0.2분
   410/457 | exact=True  | '센터펀치' | ETA 0.2분
   420/457 | exact=False | '적외선 온도계' | ETA 0.1분
   430/457 | exact=False | '와이어 스트리퍼' | ETA 0.1분
   440/457 | exact=False | '석고돌판' | ETA 0.1분
   450/457 | exact=False | '채찍' | ETA 0.0분
   457/457 | exact=False | '센트' | ETA 0.0분
[gemma3:4b] exact=22.98%  nearest=60.83%  (457건)
=== deepseek-r1:1.5b | 잔여 457건 ===
    10/457 | exact=False | '' | ETA 2.6분
    20/457 | exact=False | '' | ETA 1.9분
    30/457 | exact=False | '' | ETA 1.7분
    40/457 | exact=False | '' | ETA 1.5분
    50/457 | exact=False | '' | ETA 1.4분
    60/457 | exact=False | '' | ETA 1.4분
    70/457 | exact=False | '' | ETA 1.3분
    80/457 | exact=False | '' | ETA 1.3분
    90/457 | exact=False | '' | ETA 1.2분
   100/457 | exact=False | '' | ETA 1.2분
   110/457 | exact=False | '' | ETA 1.1분
   120/457 | exact=False | '' | ETA 1.1분
   130/457 | exact=False | '' | ETA 1.1분
   140/457 | exact=False | '' | ETA 1.0분
   150/457 | exact=False | '' | ETA 1.0분
   160/457 | exact=False | '' | ETA 0.9분
   170/457 | exact=False | '' | ETA 0.9분
   180/457 | exact=False | '' | ETA 0.9분
   190/457 | exact=False | '' | ETA 0.8분
   200/457 | exact=False | '' | ETA 0.8분
   210/457 | exact=False | '' | ETA 0.8분
   220/457 | exact=False | '' | ETA 0.7분
   230/457 | exact=False | '' | ETA 0.7분
   240/457 | exact=False | '' | ETA 0.7분
   250/457 | exact=False | '' | ETA 0.6분
   260/457 | exact=False | '' | ETA 0.6분
   270/457 | exact=False | '' | ETA 0.6분
   280/457 | exact=False | '' | ETA 0.5분
   290/457 | exact=False | '' | ETA 0.5분
   300/457 | exact=False | '' | ETA 0.5분
   310/457 | exact=False | '' | ETA 0.5분
   320/457 | exact=False | '' | ETA 0.4분
   330/457 | exact=False | '' | ETA 0.4분
   340/457 | exact=False | '' | ETA 0.4분
   350/457 | exact=False | '' | ETA 0.3분
   360/457 | exact=False | '' | ETA 0.3분
   370/457 | exact=False | '' | ETA 0.3분
   380/457 | exact=False | '' | ETA 0.2분
   390/457 | exact=False | '' | ETA 0.2분
   400/457 | exact=False | '' | ETA 0.2분
   410/457 | exact=False | '' | ETA 0.1분
   420/457 | exact=False | '' | ETA 0.1분
   430/457 | exact=False | '' | ETA 0.1분
   440/457 | exact=False | '' | ETA 0.1분
   450/457 | exact=False | '' | ETA 0.0분
   457/457 | exact=False | '' | ETA 0.0분
[deepseek-r1:1.5b] exact=0.00%  nearest=0.66%  (457건)
=== 전체 완료 ===
