model_name,Input_Name,status,rag_top1,rag_candidates,standard_name,brand,power_source,specification,fallback_used,gt_standard_name,is_correct
granite4.1:8b,(16)롱노우즈 플라이어(라디오펜치),success,롱노즈플라이어,"롱노즈플라이어, 굽은노즈플라이어, 플라이어, 플라이어렌치, 펜치, 플라이어세트, 스냅링플라이어, 다이아고날플라이어, 워터펌프플라이어, 바이스그립플라이어, 냉동라쳇렌치, 라쳇렌치세트, 드라이버, 렌치, 양용드라이버",롱노즈플라이어,,,,False,롱노즈플라이어,True
granite4.1:8b,(17)스패너,success,스패너,"스패너, 스패너세트, 편구스패너, 대패, 스크레퍼, 석고대패, 스냅링플라이어, 샌더, 멀티테스터, 와이어스트리퍼, 버니어캘리퍼스, 스프링배관청소기, 가스토치, 플라이어, 글루스틱",스패너,,,,False,,
granite4.1:8b,(18)손전등,success,LED손전등,"LED손전등, 손타카, LED작업등, 전정톱, 검전기, 안전장갑, 전선릴, 안전모, 전지가위, 전기인두, 전동드릴, 전동타카, 충전드릴, 안전로프, 전동공구세트",LED손전등,,,,False,LED손전등,True
granite4.1:8b,(19)소켓렌치 세트,success,소켓렌치세트,"소켓렌치세트, 별렌치세트, 라쳇렌치세트, 조합렌치세트, 육각렌치세트, 볼렌치세트, 기어렌치세트, T렌치세트, 렌치, 옵셋렌치, 세트, 육각렌치, 몽키렌치, 토크렌치, 만능렌치",소켓렌치세트,,,,False,,
granite4.1:8b,(20)유선 전동드릴,success,전동드릴,"전동드릴, 전동드라이버, 전선릴, 충전드릴, 전동타카, 전동압착기, 임팩트드릴, 충전해머드릴, 전동공구세트, 해머드릴, 드릴비트, 목공용드릴비트, SDS드릴비트, 로터리해머드릴, 철공용드릴비트",전동드릴,,유선,,False,전동드릴,True
granite4.1:8b,"(20, 55)드릴비트세트",success,드릴비트세트,"드릴비트세트, 드릴비트, 철공용드릴비트세트, 콘크리트드릴비트세트, 비트세트, SDS드릴비트, 목공용드릴비트, 철공용드릴비트, 콘크리트용드릴비트, 세트, 끌세트, 드라이버세트, 임팩트드릴, 탭세트, 다이스세트",드릴비트세트,,,"(20, 55)",False,,
granite4.1:8b,(22)수평계,success,수평기,"수평기, 레이저수평기, 디지털수평기, 적외선온도계, 사다리, 클램프미터, 스냅링플라이어, 레이저거리측정기, 직각자, 워터펌프플라이어, 목공줄, 에어컴프레서, 대패, 세트, 석고대패",디지털수평기,,,,False,,
granite4.1:8b,(23)그라인더,success,앵글그라인더,"앵글그라인더, 샌더, 그립망치, 플라이어, 바이스그립플라이어, 드라이버, 플라이어렌치, 스크레퍼, 전기인두, 냉동라쳇렌치, 임팩트드라이버, 플라이어세트, 굽은노즈플라이어, 스냅링플라이어, 글루건",앵글그라인더,,,,False,,
granite4.1:8b,"(24, 25)스패너(200mm)",success,스패너,"스패너, 스패너세트, 편구스패너, 대패, 스크레퍼, 와이어스트리퍼, 스프링배관청소기, 석고대패, 스냅링플라이어, 샌더, 버니어캘리퍼스, 멀티테스터, 육각렌치, 방진마스크, 바이스그립플라이어",스패너,,,"24, 25 크기, 길이 200mm",False,,
granite4.1:8b,"(26, 27)스패너(300mm)",success,스패너,"스패너, 스패너세트, 편구스패너, 스크레퍼, 대패, 스프링배관청소기, 와이어스트리퍼, 스냅링플라이어, 석고대패, 버니어캘리퍼스, 멀티테스터, 샌더, 직소기, 육각렌치, 직각자",스패너,,,길이 300mm,False,,
granite4.1:8b,(28)납볼망치,success,납볼망치,"납볼망치, 망치, 돌망치, 그립망치, 고무망치, 빠루망치, 볼렌치, 볼렌치세트, 볼트컷터, 렌치, 핀펀치, 별렌치세트, 옵셋렌치, 육각렌치, 펜치",납볼망치,,,,False,납볼망치,True
granite4.1:8b,(29)전지가위(소형),success,전지가위,"전지가위, 고지가위, 다목적가위, 철판가위, 전정톱, 원형톱, 직소기, 전동압착기, 쇠지렛대, A형사다리, 소켓렌치세트, 충전드릴, 검전기, LED손전등, 충전해머드릴",전지가위,,,소형,False,,
granite4.1:8b,(3)만능렌치,success,만능렌치,"만능렌치, 렌치, 옵셋렌치, 육각렌치, 라쳇렌치세트, 몽키렌치, 별렌치세트, 냉동라쳇렌치, 조합렌치세트, 토크렌치, 볼렌치, 플라이어렌치, 소켓렌치세트, 육각렌치세트, 볼렌치세트",만능렌치,,,,False,,
granite4.1:8b,(30)펀칭기,success,핀펀치,"핀펀치, 센터펀치, 직소기, 수평기, 송풍기, 열풍기, 검전기, 전동압착기, LED투광기, 고속절단기, 라돈측정기, 스프링배관청소기, 레이저수평기, 전기인두, 고압세척기",핀펀치,,,,False,,
granite4.1:8b,(31)손타카 소형,success,손타카,"손타카, 타카, 건타카, 전동타카, 에어타카, 타카핀, 원형톱, LED손전등, 핸드카트, 직소기, 소켓렌치세트, A형사다리, 카운터싱크, 타일컷터, 스프링배관청소기",손타카,,,,False,,
granite4.1:8b,(32)장도리,success,장도리,"장도리, 도끼, 안전장갑, 사다리, 배터리팩, 적외선온도계, 쇠톱, 로터리해머드릴, A형사다리, 와이어스트리퍼, 가스토치, 실리콘건, 망치, 드라이버, 세트",장도리,,,,False,장도리,True
granite4.1:8b,(33)실리콘건,success,실리콘건,"실리콘건, 글루건, 에어건, 콘크리트니퍼, 콘크리트용드릴비트, 콘크리트드릴비트세트, 건타카, 배터리팩, 사다리, 버니어캘리퍼스, 와이어스트리퍼, 세트, 절단석, 카운터싱크, 글루스틱",실리콘건,,,,False,,
granite4.1:8b,(34)글루건(소형),success,글루건,"글루건, 글루스틱, 에어건, 실리콘건, 직소기, 원형톱, 앵글그라인더, A형사다리, 빠루망치, 소켓렌치세트, 건타카, 스프링배관청소기, 그립망치, 줄자, 고속절단기",글루건,,,(34) 글루건(소형),False,글루건,True
granite4.1:8b,(35)정밀드라이버세트,success,정밀드라이버세트,"정밀드라이버세트, 드라이버세트, 드라이버, 임팩트드라이버, 전동드라이버, 양용드라이버, T핸드드라이버, 충전임팩트드라이버, 플라이어세트, 세트, 다이스세트, 드릴비트세트, 탭세트, 공구세트, 비트세트",정밀드라이버세트,,,,False,,
granite4.1:8b,(36) 유선햄머전동드릴(콘크리트용),success,콘크리트용드릴비트,"콘크리트용드릴비트, 전동드릴, 콘크리트드릴비트세트, 콘크리트니퍼, 해머드릴, 충전해머드릴, 로터리해머드릴, 전동드라이버, 충전드릴, 전선릴, 임팩트드릴, 철공용드릴비트, 목공용드릴비트, 철공용드릴비트세트, 전동압착기",해머드릴,,유선,(36) 유선햄머전동드릴(콘크리트용),False,해머드릴,True
granite4.1:8b,(37)드릴날 세트(콘크리트용),success,콘크리트용드릴비트,"콘크리트용드릴비트, 콘크리트드릴비트세트, 콘크리트니퍼, 드릴비트세트, 철공용드릴비트세트, 철공용드릴비트, 목공용드릴비트, 세트, 드릴비트, 임팩트드릴, 전동드릴, 끌세트, SDS드릴비트, 드라이버세트, 충전드릴",콘크리트드릴비트세트,,,,False,콘크리트드릴비트세트,True
granite4.1:8b,(39)마그네틱 줄자,success,줄자,"줄자, 목공줄, 글루스틱, 직각자, 연마석, 앵글그라인더, 그립망치, 방진마스크, 바이스그립플라이어, 자전거펌프, 전자산업용니퍼, 임팩트드릴, 목공톱, 사다리, 실리콘건",줄자,,,,False,줄자,True
granite4.1:8b,(4)락킹 플라이어(바이스그립),success,바이스그립플라이어,"바이스그립플라이어, 플라이어, 스냅링플라이어, 플라이어세트, 롱노즈플라이어, 플라이어렌치, 굽은노즈플라이어, 다이아고날플라이어, 워터펌프플라이어, 그립망치, 와이어스트리퍼, 다이스세트, 앵글그라인더, 드라이버, 전동드라이버",바이스그립플라이어,,,,False,바이스그립플라이어,True
granite4.1:8b,(40)철기리 세트,success,세트,"세트, 기어렌치세트, 철공용드릴비트세트, 공구세트, 탭세트, 비트세트, 끌세트, 콘크리트드릴비트세트, 스패너세트, 공구함세트, 별렌치세트, T렌치세트, 드릴비트세트, 다이스세트, 육각렌치세트",비트세트,,,,False,철공용드릴비트세트,False
granite4.1:8b,(41)조합렌치 세트,success,조합렌치세트,"조합렌치세트, 별렌치세트, 소켓렌치세트, 육각렌치세트, 라쳇렌치세트, 기어렌치세트, 볼렌치세트, T렌치세트, 렌치, 옵셋렌치, 육각렌치, 세트, 만능렌치, 몽키렌치, 냉동라쳇렌치",조합렌치세트,,,,False,,
granite4.1:8b,(42)양용드라이버,success,양용드라이버,"양용드라이버, 드라이버, 전동드라이버, 드라이버세트, 임팩트드라이버, T핸드드라이버, 충전임팩트드라이버, 정밀드라이버세트, 철공용드릴비트, 목공용드릴비트, 플라이어, 콘크리트용드릴비트, 철공용드릴비트세트, 롱노즈플라이어, 다이아고날플라이어",양용드라이버,,,,False,양용드라이버,True
granite4.1:8b,(43)검전기,success,검전기,"검전기, 전기인두, 전동압착기, 직소기, 전정톱, 열풍기, 전지가위, 수평기, 고속절단기, 송풍기, LED투광기, 라돈측정기, 레이저수평기, 고압세척기, 레이저거리측정기",검전기,,,,False,,
granite4.1:8b,(44)육각렌치세트,success,육각렌치세트,"육각렌치세트, 육각렌치, 별렌치세트, 소켓렌치세트, 조합렌치세트, 라쳇렌치세트, T렌치세트, 볼렌치세트, 기어렌치세트, 렌치, 옵셋렌치, 만능렌치, 몽키렌치, 세트, 토크렌치",육각렌치세트,,,,False,,
granite4.1:8b,(45)에어펌프(자전거 공기주입기),success,자전거펌프,"자전거펌프, 에어펌프, 에어컴프레서, 워터펌프플라이어, 에어건, 에어타카, 열풍기, 송풍기, 검전기, 전동압착기, 전기인두, 레이저거리측정기, 수평기, 스프링배관청소기, 고압세척기",에어펌프,,,,False,자전거펌프,False
granite4.1:8b,(46)플라이어,success,플라이어,"플라이어, 플라이어세트, 플라이어렌치, 스냅링플라이어, 롱노즈플라이어, 굽은노즈플라이어, 워터펌프플라이어, 다이아고날플라이어, 바이스그립플라이어, 드라이버, 와이어스트리퍼, 전동드라이버, 양용드라이버, 임팩트드라이버, 드라이버세트",플라이어,,,,False,플라이어,True
granite4.1:8b,(47)쇠톱,success,쇠톱,"쇠톱, 쇠지렛대, 접톱, 톱, 테이블톱, 전정톱, 원형톱, 목공톱, 왕복톱(레시프로쏘), 목공용접톱, 사다리, 도끼, 안전로프, 철판가위, 안전장갑",쇠톱,,,,False,,
granite4.1:8b,(48)정밀드라이버세트,success,정밀드라이버세트,"정밀드라이버세트, 드라이버세트, 드라이버, 전동드라이버, 임팩트드라이버, 양용드라이버, T핸드드라이버, 충전임팩트드라이버, 플라이어세트, 세트, 드릴비트세트, 다이스세트, 비트세트, 공구세트, 탭세트",정밀드라이버세트,,,,False,,
granite4.1:8b,(49)유선전동드릴(상자),success,전동드릴,"전동드릴, 전동드라이버, 충전드릴, 전선릴, 전동압착기, 전동타카, 전동공구세트, 충전해머드릴, 임팩트드릴, 해머드릴, 목공용드릴비트, 철공용드릴비트, 로터리해머드릴, 철공용드릴비트세트, 드릴비트",전동드릴,,유선,,False,,
granite4.1:8b,(5)니퍼,success,니퍼,"니퍼, 강력니퍼, 전자산업용니퍼, 콘크리트니퍼, 앤드컷팅니퍼, 버니어캘리퍼스, 스크레퍼, 와이어스트리퍼, 스패너, 스패너세트, 플라이어, 톱, 커터, 드라이버, 카운터싱크",니퍼,,,,False,니퍼,True
granite4.1:8b,(50)에어콤프레셔,success,에어컴프레서,"에어컴프레서, 에어펌프, 에어건, 에어타카, 워터펌프플라이어, 왕복톱(레시프로쏘), 플라이어, 스크레퍼, 클램프미터, 레이저수평기, 파이프렌치, 스냅링플라이어, F클램프, 플라이어세트, 플라이어렌치",에어컴프레서,,,,False,,
granite4.1:8b,(51)에어타카,success,에어타카,"에어타카, 건타카, 손타카, 타카, 에어건, 전동타카, 에어펌프, 에어컴프레서, 타카핀, 카운터싱크, 플라이어, 핸드카트, 플라이어세트, 열화상카메라, 타일컷터",에어타카,,,,False,,
granite4.1:8b,(52)에어타카,success,에어타카,"에어타카, 건타카, 손타카, 타카, 에어건, 전동타카, 에어펌프, 에어컴프레서, 타카핀, 카운터싱크, 핸드카트, 플라이어, 열화상카메라, 플라이어세트, 타일컷터",에어타카,,,,False,,
granite4.1:8b,(53)에어타카,success,에어타카,"에어타카, 건타카, 손타카, 타카, 에어건, 전동타카, 에어펌프, 에어컴프레서, 타카핀, 카운터싱크, 플라이어, 핸드카트, 플라이어세트, 열화상카메라, 플라이어렌치",에어타카,,,,False,,
granite4.1:8b,(54)미니충전전동드릴,success,전동드릴,"전동드릴, 충전드릴, 충전해머드릴, 전동드라이버, 전동압착기, 전동타카, 충전임팩트드라이버, 전동공구세트, 임팩트드릴, 해머드릴, 철공용드릴비트, 전선릴, 드릴비트, 목공용드릴비트, 로터리해머드릴",충전드릴,,충전식(무선),,False,충전드릴,True
granite4.1:8b,(56)바이스플라이어(5인치),success,바이스그립플라이어,"바이스그립플라이어, 플라이어, 스냅링플라이어, 워터펌프플라이어, 플라이어렌치, 롱노즈플라이어, 플라이어세트, 다이아고날플라이어, 굽은노즈플라이어, 와이어스트리퍼, 다이스세트, 드라이버, 충전임팩트드라이버, 전동드라이버, 양용드라이버",바이스그립플라이어,,,5인치,False,바이스그립플라이어,True
granite4.1:8b,(57)레이저거리측정기,success,레이저거리측정기,"레이저거리측정기, 라돈측정기, 레이저수평기, 정밀드라이버세트, 육각렌치, 플라이어렌치, 육각렌치세트, 와이어스트리퍼, 검전기, 수평기, 직소기, 전동압착기, 사다리, 기어렌치세트, 플라이어",레이저거리측정기,,,,False,레이저거리측정기,True
granite4.1:8b,(58)해머 드릴비트세트,success,드릴비트세트,"드릴비트세트, 드릴비트, 철공용드릴비트세트, 해머드릴, 콘크리트드릴비트세트, 비트세트, 충전해머드릴, SDS드릴비트, 목공용드릴비트, 로터리해머드릴, 철공용드릴비트, 콘크리트용드릴비트, 세트, 드라이버세트, 임팩트드릴",드릴비트세트,,,,True,,
granite4.1:8b,(59)접톱 2,success,접톱,"접톱, 목공용접톱, 톱, 쇠톱, 원형톱, 테이블톱, 전정톱, 목공톱, 왕복톱(레시프로쏘), 공구함, 직각자, 끌세트, 에어펌프, 안전장갑, 핀펀치",목공용접톱,,,,False,,
granite4.1:8b,(6)줄자,success,줄자,"줄자, 목공줄, 직각자, 사다리, 자전거펌프, 전자산업용니퍼, 절단석, A형사다리, 임팩트드릴, 전선릴, 커터칼, 충전드릴, 드라이버, 전동드릴, 도끼",줄자,,,,False,,
granite4.1:8b,(7)쇠톱,success,쇠톱,"쇠톱, 쇠지렛대, 접톱, 톱, 테이블톱, 전정톱, 원형톱, 목공톱, 왕복톱(레시프로쏘), 목공용접톱, 사다리, 도끼, 망치, 핸드카트, 고무망치",쇠톱,,,,False,쇠톱,True
granite4.1:8b,(8)전선릴,success,전선릴,"전선릴, 전동드릴, 충전드릴, 전정톱, 충전해머드릴, 임팩트드릴, 적외선온도계, 전지가위, 전동압착기, 전동타카, 전동공구세트, 해머드릴, 전동드라이버, 로터리해머드릴, LED손전등",전선릴,,,,False,,
granite4.1:8b,(9)핸드톱,success,핸드카트,"핸드카트, T핸드드라이버, 톱, 접톱, 테이블톱, 쇠톱, 원형톱, 목공톱, 전정톱, 목공용접톱, 왕복톱(레시프로쏘), 해머드릴, 전동드릴, 임팩트드릴, 드라이버",톱,,,,False,,
granite4.1:8b,(불가),success,전지가위,"전지가위, 고지가위, 철판가위, 가스토치, 다목적가위, 대패, 줄자, 사다리, 에어컴프레서, 타카, 세트, 렌치, 직각자, 드라이버, 석고대패",전지가위,,,,True,,
granite4.1:8b,(불가)다카핀,success,타카핀,"타카핀, 다목적가위, 타카, 핀펀치, 다림추, 사다리, 철판가위, 전동타카, 다이스세트, 에어타카, 건타카, 손타카, A형사다리, 핸드카트, 가스토치",타카핀,,,,False,,
granite4.1:8b,(불가)소켓렌치세트,success,소켓렌치세트,"소켓렌치세트, 별렌치세트, 라쳇렌치세트, 육각렌치세트, 조합렌치세트, 볼렌치세트, 기어렌치세트, T렌치세트, 렌치, 옵셋렌치, 육각렌치, 몽키렌치, 세트, 토크렌치, 만능렌치",소켓렌치세트,,,,False,,
granite4.1:8b,(불가)스크류 드라이버 비트세트,success,드라이버세트,"드라이버세트, 비트세트, 정밀드라이버세트, 드라이버, 드릴비트세트, 임팩트드라이버, 콘크리트드릴비트세트, 전동드라이버, 철공용드릴비트세트, 양용드라이버, 충전임팩트드라이버, T핸드드라이버, 플라이어세트, 스크레퍼, 다이스세트",비트세트,,,,False,,
granite4.1:8b,(불가)육각 기리세트,success,육각렌치세트,"육각렌치세트, 육각렌치, 세트, 기어렌치세트, 공구세트, 비트세트, 끌세트, 다이스세트, 탭세트, 스패너세트, 콘크리트드릴비트세트, 플라이어세트, 드릴비트세트, 직각자, 공구함세트",육각렌치세트,,,,False,,
granite4.1:8b,(불가)일자드라이버,success,드라이버,"드라이버, 양용드라이버, 전동드라이버, 임팩트드라이버, 드라이버세트, T핸드드라이버, 충전임팩트드라이버, 정밀드라이버세트, 플라이어, 줄자, 타일컷터, 직각자, 다이아고날플라이어, 플라이어렌치, 롱노즈플라이어",양용드라이버,,,,False,,
granite4.1:8b,.몽키스패너200mm,success,스패너,"스패너, 편구스패너, 몽키렌치, 스패너세트, 대패, 버니어캘리퍼스, 석고대패, 스크레퍼, 스냅링플라이어, 롱노즈플라이어, 멀티테스터, 방진마스크, 와이어스트리퍼, 스프링배관청소기, 바이스그립플라이어",편구스패너,,,200mm,False,몽키렌치,False
granite4.1:8b,.몽키스패너300mm,success,스패너,"스패너, 편구스패너, 몽키렌치, 스패너세트, 대패, 스크레퍼, 롱노즈플라이어, 버니어캘리퍼스, 멀티테스터, 스냅링플라이어, 바이스그립플라이어, 석고대패, 와이어스트리퍼, 방진마스크, 스프링배관청소기",편구스패너,,,크기: 300mm,False,몽키렌치,False
granite4.1:8b,12P 3종 기리세트(육각씽크),success,육각렌치세트,"육각렌치세트, 육각렌치, 세트, 콘크리트드릴비트세트, 기어렌치세트, 공구세트, 비트세트, 플라이어세트, 탭세트, 드릴비트세트, 스패너세트, 다이스세트, 공구함세트, 전동공구세트, 끌세트",육각렌치세트,,,,False,드릴비트세트,False
granite4.1:8b,12인치 몽키스패너,success,스패너,"스패너, 몽키렌치, 편구스패너, 스패너세트, 대패, 앵글그라인더, 센터펀치, 망치, 석고대패, 핀펀치, 스크레퍼, 가스토치, 펜치, 고무망치, 버니어캘리퍼스",스패너,,,12인치,True,몽키렌치,False
granite4.1:8b,13RE,success,LED투광기,"LED투광기, LED손전등, LED작업등, 렌치, 망치, 라쳇렌치세트, 대패, 레이저수평기, 조합렌치세트, 레이저거리측정기, 기어렌치세트, 세트, 플라이어렌치, 냉동라쳇렌치, 소켓렌치세트",망치,,,,False,해머드릴,False
granite4.1:8b,18V 밧데리(디월트),success,PVC컷터,"PVC컷터, 디지털수평기, 콘크리트드릴비트세트, 콘크리트용드릴비트, 배터리팩, 콘크리트니퍼, 사다리, 장도리, 와이어스트리퍼, 실리콘건, A형사다리, 드릴비트세트, 비트세트, 로터리해머드릴, 레이저거리측정기",배터리팩,디월트,배터리,,False,배터리팩,True
granite4.1:8b,1단 사다리,success,사다리,"사다리, A형사다리, 절단석, 고속절단기, 다목적가위, 실리콘건, 다림추, 배터리팩, 점프케이블, 로터리해머드릴, 다이아고날플라이어, 와이어스트리퍼, 다이스세트, 원형톱, 콘크리트니퍼",사다리,,,,False,,
granite4.1:8b,250 세신 파이프렌치,success,파이프렌치,"파이프렌치, 렌치, 플라이어렌치, 볼렌치세트, 소켓렌치세트, 육각렌치, 별렌치세트, 육각렌치세트, 볼렌치, 옵셋렌치, 기어렌치세트, 조합렌치세트, 만능렌치, 라쳇렌치세트, 토크렌치",파이프렌치,세신,,,False,파이프렌치,True
granite4.1:8b,2단 사다리,success,사다리,"사다리, A형사다리, 절단석, 고속절단기, 다목적가위, 실리콘건, 다림추, 다이아고날플라이어, 배터리팩, 점프케이블, 와이어스트리퍼, 로터리해머드릴, 타일컷터, 다이스세트, 콘크리트니퍼",사다리,,,,False,사다리,True
granite4.1:8b,2단 스크래퍼,success,스크레퍼,"스크레퍼, 방진마스크, 콘크리트니퍼, 와이어스트리퍼, 절단석, 버니어캘리퍼스, 고속절단기, 니퍼, 스냅링플라이어, 강력니퍼, 스패너, 토크렌치, 스패너세트, 앤드컷팅니퍼, 편구스패너",스크레퍼,,,,False,,
granite4.1:8b,2단 양손가위(K-5100),success,철판가위,"철판가위, 다목적가위, 고지가위, 전지가위, 양용드라이버, 손타카, LED손전등, 절단석, 고속절단기, 가스토치, 목공톱, T핸드드라이버, 테이블톱, 커터칼, 핸드카트",다목적가위,,,,False,,
granite4.1:8b,2단사다리,success,사다리,"사다리, A형사다리, 절단석, 고속절단기, 다목적가위, 실리콘건, 다이아고날플라이어, 다림추, 배터리팩, 로터리해머드릴, 타일컷터, 다이스세트, 점프케이블, 와이어스트리퍼, 목공줄",A형사다리,,,,False,사다리,False
granite4.1:8b,3.6v 전동드라이버,success,전동드라이버,"전동드라이버, 드라이버, 전동드릴, 양용드라이버, 임팩트드라이버, 드라이버세트, 충전임팩트드라이버, T핸드드라이버, 정밀드라이버세트, 전동타카, 전동압착기, 전동공구세트, 플라이어, 충전드릴, 플라이어렌치",전동드라이버,,배터리,,False,전동드라이버,True
granite4.1:8b,300mm첼라,success,플라이어,"플라이어, 드라이버, 열화상카메라, 라돈측정기, 플라이어렌치, 라쳇렌치세트, 냉동라쳇렌치, 플라이어세트, 앵글그라인더, 드라이버세트, 전동드라이버, 롱노즈플라이어, 양용드라이버, 스냅링플라이어, 정밀드라이버세트",앵글그라인더,,,300mm,False,워터펌프플라이어,False
