model,input_name,predicted,ground_truth,rag_top1,gt_in_candidates,gt_rank_in_candidates,fallback_used,input_dirty_types,system_failure_type,error_detail_type
deepseek-r1:1.5b,밀워키 M12 BID,몽키렌치,충전임팩트드라이버,몽키렌치,False,-1,True,브랜드명_혼입,RAG_후보_누락,RAG_검색_실패
deepseek-r1:1.5b,밀워키 래치 렌치세트,별렌치세트,라쳇렌치세트,별렌치세트,True,2,True,브랜드명_혼입 | 세트_복합,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,보쉬 13RE,보안경,해머드릴,보안경,False,-1,True,브랜드명_혼입 | 모델번호_포함,RAG_후보_누락,RAG_검색_실패
deepseek-r1:1.5b,보쉬멀티기리세트,멀티테스터,드릴비트세트,멀티테스터,False,-1,True,브랜드명_혼입 | 세트_복합 | 일본어_잔재,RAG_후보_누락,RAG_검색_실패
deepseek-r1:1.5b,복스세트,다이스세트,소켓렌치세트,다이스세트,False,-1,True,세트_복합,RAG_후보_누락,RAG_검색_실패
deepseek-r1:1.5b,빠루,빠루망치,쇠지렛대,빠루망치,False,-1,True,일본어_잔재,RAG_후보_누락,RAG_검색_실패
deepseek-r1:1.5b,뺀찌,핀펀치,펜치,핀펀치,True,15,True,단순명사형,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,뺀치,고무망치,펜치,망치,True,2,False,일본어_잔재,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,세신 가정용 공구 세트,공구함세트,공구세트,공구세트,True,1,False,브랜드명_혼입 | 세트_복합,LLM_유사공구_오선택,동일계열_공구_혼동
deepseek-r1:1.5b,세신 몽키 스패너 10,스패너,몽키렌치,스패너,True,4,True,브랜드명_혼입,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,세신 몽키 스패너 12,스패너,몽키렌치,스패너,True,4,True,브랜드명_혼입,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,세신 몽키 스패너 8,스패너,몽키렌치,스패너,True,4,True,브랜드명_혼입,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,세신공구세트,공구함,공구세트,공구세트,True,1,False,브랜드명_혼입 | 세트_복합,LLM_유사공구_오선택,동일계열_공구_혼동
deepseek-r1:1.5b,아임삭 콤보드릴,임팩트드릴,충전드릴,임팩트드릴,True,4,True,브랜드명_혼입,LLM_유사공구_오선택,동력원_분류_오류
deepseek-r1:1.5b,전기헤머드릴,전기인두,해머드릴,해머드릴,True,1,False,동력원_명시,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,전동 무선드릴,전동드릴,충전드릴,전동드릴,True,3,True,동력원_명시,LLM_유사공구_오선택,동력원_분류_오류
deepseek-r1:1.5b,전동드릴(무선),전동드릴,충전드릴,전동드릴,True,4,True,동력원_명시,LLM_유사공구_오선택,동력원_분류_오류
deepseek-r1:1.5b,전동드릴(보쉬 GSR14.4-2),전동드릴,충전드릴,전동드릴,True,3,True,브랜드명_혼입 | 규격_속성_혼입 | 모델번호_포함,LLM_유사공구_오선택,동력원_분류_오류
deepseek-r1:1.5b,전동드릴(충전식),전동드릴,충전드릴,전동드릴,True,2,True,동력원_명시,LLM_유사공구_오선택,동력원_분류_오류
deepseek-r1:1.5b,전동일자톱,전동타카,왕복톱(레시프로쏘),전동타카,False,-1,True,동력원_명시,RAG_후보_누락,RAG_검색_실패
deepseek-r1:1.5b,전동일자톱,전동타카,왕복톱(레시프로쏘),전동타카,False,-1,True,동력원_명시,RAG_후보_누락,RAG_검색_실패
deepseek-r1:1.5b,조경가위,철판가위,전지가위,철판가위,True,4,True,단순명사형,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,집톱,톱,접톱,톱,True,2,True,단순명사형,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,철기리,철판가위,철공용드릴비트,철판가위,True,3,True,일본어_잔재,LLM_후보내_오선택,본체_부속품_혼동
deepseek-r1:1.5b,첼라,드라이버,워터펌프플라이어,드라이버,False,-1,True,단순명사형,RAG_후보_누락,RAG_검색_실패
deepseek-r1:1.5b,첼라,드라이버,워터펌프플라이어,드라이버,False,-1,True,단순명사형,RAG_후보_누락,RAG_검색_실패
deepseek-r1:1.5b,첼라,드라이버,워터펌프플라이어,드라이버,False,-1,True,단순명사형,RAG_후보_누락,RAG_검색_실패
deepseek-r1:1.5b,첼라 300,플라이어,워터펌프플라이어,플라이어,False,-1,True,단순명사형,RAG_후보_누락,RAG_검색_실패
deepseek-r1:1.5b,충전드라이버,충전임팩트드라이버,전동드라이버,충전임팩트드라이버,True,4,True,동력원_명시,LLM_유사공구_오선택,동력원_분류_오류
deepseek-r1:1.5b,충전송풍기,nan,송풍기,송풍기,True,1,,동력원_명시,LLM_비후보_출력,완전_다른_공구_선택
deepseek-r1:1.5b,충전함마드릴(디월트),충전드릴,충전해머드릴,충전드릴,True,2,True,브랜드명_혼입 | 동력원_명시 | 일본어_잔재,LLM_유사공구_오선택,드릴_드라이버_계열_혼동
deepseek-r1:1.5b,타지마 줄자 7.5m,고지가위,줄자,줄자,True,1,False,브랜드명_혼입 | 규격_속성_혼입,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,타지마줄자,고지가위,줄자,줄자,True,1,False,브랜드명_혼입,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,타지마줄자(3m),고지가위,줄자,줄자,True,1,False,브랜드명_혼입 | 규격_속성_혼입,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,함마,연마석,망치,연마석,False,-1,True,일본어_잔재,RAG_후보_누락,RAG_검색_실패
deepseek-r1:1.5b,함석가위,고지가위,철판가위,철판가위,True,1,False,단순명사형,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,헤라 3인치,앵글그라인더,스크레퍼,앵글그라인더,False,-1,True,규격_속성_혼입,RAG_후보_누락,RAG_검색_실패
deepseek-r1:1.5b,헤라 5인치,앵글그라인더,스크레퍼,앵글그라인더,False,-1,True,규격_속성_혼입,RAG_후보_누락,RAG_검색_실패
deepseek-r1:8b,바이스플라이어,플라이어,바이스그립플라이어,바이스그립플라이어,True,1,False,일본어_잔재 | 오탈자_의심,LLM_유사공구_오선택,동일계열_공구_혼동
deepseek-r1:8b,보쉬 pushdrive,충전임팩트드라이버,전동드라이버,보안경,False,-1,False,브랜드명_혼입,RAG_후보_누락,RAG_검색_실패
deepseek-r1:8b,"전동드릴(무선, 보쉬)",전동드릴,충전드릴,전동드릴,True,3,False,브랜드명_혼입 | 동력원_명시,LLM_유사공구_오선택,동력원_분류_오류
deepseek-r1:8b,(40)철기리 세트,기어렌치세트,철공용드릴비트세트,세트,True,3,False,세트_복합 | 일본어_잔재,LLM_후보내_오선택,본체_부속품_혼동
deepseek-r1:8b,(45)에어펌프(자전거 공기주입기),에어펌프,자전거펌프,자전거펌프,True,1,False,동력원_명시,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:8b,(56)바이스플라이어(5인치),스냅링플라이어,바이스그립플라이어,바이스그립플라이어,True,1,False,규격_속성_혼입 | 일본어_잔재 | 오탈자_의심,LLM_유사공구_오선택,동일계열_공구_혼동
deepseek-r1:8b,.몽키스패너200mm,스패너,몽키렌치,스패너,True,3,False,규격_속성_혼입 | 모델번호_포함,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:8b,.몽키스패너300mm,스패너,몽키렌치,스패너,True,3,False,규격_속성_혼입 | 모델번호_포함,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:8b,12P 3종 기리세트(육각씽크),기어렌치세트,드릴비트세트,육각렌치세트,True,10,False,세트_복합 | 일본어_잔재 | 모델번호_포함,LLM_후보내_오선택,본체_부속품_혼동
deepseek-r1:8b,13RE,세트,해머드릴,LED투광기,False,-1,False,모델번호_포함,RAG_후보_누락,RAG_검색_실패
deepseek-r1:8b,300mm첼라,앵글그라인더,워터펌프플라이어,플라이어,False,-1,False,모델번호_포함,RAG_후보_누락,RAG_검색_실패
deepseek-r1:8b,3단 사다리(접이식),A형사다리,사다리,사다리,True,1,False,단순명사형,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:8b,A형 4단 사다리,사다리,A형사다리,A형사다리,True,1,False,단순명사형,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:8b,A형 사다리,사다리,A형사다리,A형사다리,True,1,False,단순명사형,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:8b,BOSCH GSB18V-21,LED손전등,충전해머드릴,SDS드릴비트,False,-1,False,브랜드명_혼입 | 규격_속성_혼입 | 모델번호_포함,RAG_후보_누락,RAG_검색_실패
deepseek-r1:8b,BOSCH Professional 전동드라이브,전동드릴,전동드라이버,전동드라이버,True,1,False,브랜드명_혼입,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:8b,LED 랜턴,LED작업등,LED손전등,LED손전등,True,1,False,단순명사형,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:8b,LED 작업등,LED손전등,LED작업등,LED작업등,True,1,False,단순명사형,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:8b,LED랜턴,LED투광기,LED손전등,LED손전등,True,1,False,단순명사형,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:8b,LED후레쉬,LED투광기,LED손전등,LED손전등,True,1,False,단순명사형,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:8b,L렌지세트,조합렌치세트,육각렌치세트,T렌치세트,True,5,False,세트_복합,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:8b,L렌지셋트,조합렌치세트,육각렌치세트,옵셋렌치,True,6,False,세트_복합,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:8b,L렌치 세트,조합렌치세트,육각렌치세트,T렌치세트,True,5,False,세트_복합,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:8b,L렌치세트,조합렌치세트,육각렌치세트,T렌치세트,True,7,False,세트_복합,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:8b,L렌치세트(9pcs),조합렌치세트,육각렌치세트,T렌치세트,True,7,False,규격_속성_혼입 | 세트_복합,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:8b,L형 렌치세트,T렌치세트,육각렌치세트,별렌치세트,True,5,False,세트_복합,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:8b,L형 렌치세트,T렌치세트,육각렌치세트,별렌치세트,True,5,False,세트_복합,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:8b,L형 렌치센트,T렌치세트,육각렌치세트,렌치,True,6,False,단순명사형,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:8b,PIPE렌치,볼렌치,파이프렌치,렌치,True,2,False,단순명사형,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:8b,SDS 기리,기어렌치세트,SDS드릴비트,SDS드릴비트,True,1,False,일본어_잔재,LLM_후보내_오선택,세트_단품_혼동
deepseek-r1:8b,bosch2(무선전동드릴),전동드릴,충전드릴,전동드릴,True,2,False,브랜드명_혼입 | 동력원_명시,LLM_유사공구_오선택,동력원_분류_오류
deepseek-r1:8b,bosch3(무선전동드릴),전동드릴,충전드릴,전동드릴,True,2,False,브랜드명_혼입 | 동력원_명시,LLM_유사공구_오선택,동력원_분류_오류
deepseek-r1:8b,갓다,가스토치,커터,사다리,False,-1,False,단순명사형,RAG_후보_누락,RAG_검색_실패
deepseek-r1:8b,강력절단기,고속절단기,볼트컷터,고속절단기,True,15,False,단순명사형,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:8b,강력절단기(45cm),고속절단기,볼트컷터,고속절단기,False,-1,False,규격_속성_혼입 | 모델번호_포함,RAG_후보_누락,RAG_검색_실패
deepseek-r1:8b,검전드라이버,전동드라이버,검전기,드라이버,True,3,False,단순명사형,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:8b,고글,고무망치,보안경,글루건,False,-1,False,단순명사형,RAG_후보_누락,RAG_검색_실패
deepseek-r1:8b,공구함키트박스(디월트),공구함세트,공구함,공구함,True,1,False,브랜드명_혼입 | 세트_복합,LLM_유사공구_오선택,동일계열_공구_혼동
deepseek-r1:8b,기리세트,기어렌치세트,드릴비트세트,세트,True,9,False,세트_복합 | 일본어_잔재,LLM_후보내_오선택,본체_부속품_혼동
deepseek-r1:8b,기리세트(10p),기어렌치세트,드릴비트세트,세트,True,8,False,세트_복합 | 일본어_잔재 | 모델번호_포함,LLM_후보내_오선택,본체_부속품_혼동
deepseek-r1:8b,기리셋트,기어렌치세트,드릴비트세트,옵셋렌치,False,-1,False,세트_복합 | 일본어_잔재,RAG_후보_누락,RAG_검색_실패
deepseek-r1:8b,노기스,스패너,버니어캘리퍼스,롱노즈플라이어,False,-1,False,일본어_잔재,RAG_후보_누락,RAG_검색_실패
deepseek-r1:8b,다이아타입 플라이어,스냅링플라이어,다이아고날플라이어,다이아고날플라이어,True,1,False,단순명사형,LLM_유사공구_오선택,동일계열_공구_혼동
deepseek-r1:8b,디월트 DCD709L2,드릴비트,충전드릴,LED작업등,False,-1,False,브랜드명_혼입 | 모델번호_포함,RAG_후보_누락,RAG_검색_실패
deepseek-r1:8b,디월트 타카,전동타카,건타카,타카,True,4,False,브랜드명_혼입,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:8b,락킹 플라이어,플라이어,바이스그립플라이어,플라이어,True,8,False,단순명사형,LLM_유사공구_오선택,동일계열_공구_혼동
deepseek-r1:8b,랜턴,렌치,LED손전등,렌치,False,-1,False,단순명사형,RAG_후보_누락,RAG_검색_실패
deepseek-r1:8b,매직렌치,볼렌치,만능렌치,렌치,True,2,False,단순명사형,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:8b,목공용 접톱,접톱,목공용접톱,목공용접톱,True,1,False,단순명사형,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:8b,몽키 12인치,볼렌치,몽키렌치,몽키렌치,True,1,False,규격_속성_혼입,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:8b,몽키 8인치,볼렌치,몽키렌치,몽키렌치,True,1,False,규격_속성_혼입,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:8b,무선드릴,전동드릴,충전드릴,전동드릴,True,2,False,동력원_명시,LLM_유사공구_오선택,동력원_분류_오류
deepseek-r1:8b,밀워키 M12 BID,드릴비트,충전임팩트드라이버,몽키렌치,False,-1,False,브랜드명_혼입,RAG_후보_누락,RAG_검색_실패
deepseek-r1:8b,밀워키 래치 렌치세트,조합렌치세트,라쳇렌치세트,별렌치세트,True,2,False,브랜드명_혼입 | 세트_복합,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:8b,바이스플라이어,플라이어,바이스그립플라이어,바이스그립플라이어,True,1,False,일본어_잔재 | 오탈자_의심,LLM_유사공구_오선택,동일계열_공구_혼동
deepseek-r1:8b,바이스플라이어,플라이어,바이스그립플라이어,바이스그립플라이어,True,1,False,일본어_잔재 | 오탈자_의심,LLM_유사공구_오선택,동일계열_공구_혼동
deepseek-r1:8b,바이스플라이어(10인치),플라이어,바이스그립플라이어,바이스그립플라이어,True,1,False,규격_속성_혼입 | 일본어_잔재 | 오탈자_의심,LLM_유사공구_오선택,동일계열_공구_혼동
deepseek-r1:8b,별렌치세트,볼렌치세트,별렌치세트,별렌치세트,True,1,False,세트_복합,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:8b,보쉬 13RE,볼렌치세트,해머드릴,보안경,False,-1,False,브랜드명_혼입 | 모델번호_포함,RAG_후보_누락,RAG_검색_실패
deepseek-r1:8b,보쉬멀티기리세트,공구세트,드릴비트세트,멀티테스터,False,-1,False,브랜드명_혼입 | 세트_복합 | 일본어_잔재,RAG_후보_누락,RAG_검색_실패
deepseek-r1:8b,복스세트,공구세트,소켓렌치세트,다이스세트,False,-1,False,세트_복합,RAG_후보_누락,RAG_검색_실패
deepseek-r1:8b,볼트카타,볼렌치세트,볼트컷터,볼트컷터,True,1,False,단순명사형,LLM_후보내_오선택,세트_단품_혼동
deepseek-r1:8b,빠루,빠루망치,쇠지렛대,빠루망치,False,-1,False,일본어_잔재,RAG_후보_누락,RAG_검색_실패
deepseek-r1:8b,빠루망치,망치,빠루망치,빠루망치,True,1,False,일본어_잔재,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:8b,빠루망치,망치,빠루망치,빠루망치,True,1,False,일본어_잔재,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:8b,뺀찌,렌치,펜치,핀펀치,True,15,False,단순명사형,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:8b,세신 몽키 스패너 10,스패너,몽키렌치,스패너,True,4,False,브랜드명_혼입,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:8b,세신몽키,볼렌치세트,몽키렌치,몽키렌치,True,1,False,브랜드명_혼입,LLM_후보내_오선택,세트_단품_혼동
deepseek-r1:8b,세신몽키,볼렌치세트,몽키렌치,몽키렌치,True,1,False,브랜드명_혼입,LLM_후보내_오선택,세트_단품_혼동
deepseek-r1:8b,쇠톱대,쇠지렛대,쇠톱,쇠톱,True,1,False,단순명사형,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:8b,수평대(디월트),레이저수평기,수평기,수평기,True,1,False,브랜드명_혼입,LLM_유사공구_오선택,동일계열_공구_혼동
deepseek-r1:8b,암파이프렌치 18인치,볼렌치,파이프렌치,파이프렌치,True,1,False,규격_속성_혼입,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:8b,열화상카메라,열풍기,열화상카메라,열화상카메라,True,1,False,단순명사형,LLM_후보내_오선택,완전_다른_공구_선택
