Input_Name,status,rag_top1,rag_candidates,standard_name,brand,power_source,specification,fallback_used,gt_standard_name,is_correct
"(20, 55)드릴비트세트",success,공구함세트,"공구함세트, 드릴비트세트, 철공용드릴비트세트, 공구세트, 전동공구세트",드릴비트세트,,,"(20, 55)",False,,
(22)수평계,success,조합렌치세트,"조합렌치세트, 직소기, T렌치세트, 기어렌치세트, 수평기",수평기,,,,False,,
(23)그라인더,success,라쳇렌치세트,"라쳇렌치세트, 볼렌치세트, 편구스패너, 소켓렌치세트, 와이어스트리퍼",라쳇렌치세트,,,,True,,
"(24, 25)스패너(200mm)",success,클램프미터,"클램프미터, 드릴비트세트, 전동공구세트, 공구세트, 고속절단기",클램프미터,,,"(24, 25)스패너(200mm)",False,,
"(26, 27)스패너(300mm)",success,클램프미터,"클램프미터, 고속절단기, 전동공구세트, 스패너세트, 공구세트",스패너세트,,,"(26, 27) 크기의 스패너, 길이 300mm",False,,
(28)납볼망치,success,납볼망치,"납볼망치, 소켓렌치세트, 만능렌치, 전지가위, 스패너세트",납볼망치,,,,False,납볼망치,True
(29)전지가위(소형),success,육각렌치세트,"육각렌치세트, 전동공구세트, 기어렌치세트, T렌치세트, 소켓렌치세트",소켓렌치세트,,,,False,,
(3)만능렌치,success,만능렌치,"만능렌치, 조합렌치세트, T렌치세트, 스패너세트, 전동압착기",만능렌치,,,,False,,
(30)펀칭기,success,납볼망치,"납볼망치, 소켓렌치세트, 스패너세트, 만능렌치, 볼렌치세트",납볼망치,,,(30),False,,
(31)손타카 소형,success,소켓렌치세트,"소켓렌치세트, 스패너세트, 볼렌치세트, 기어렌치세트, T렌치세트",소켓렌치세트,,,,False,,
(32)장도리,success,와이어스트리퍼,"와이어스트리퍼, 편구스패너, 전선릴, 타일컷터, 볼렌치세트",볼렌치세트,,,(32)장,False,장도리,False
(33)실리콘건,success,전동공구세트,"전동공구세트, 소켓렌치세트, 공구세트, 납볼망치, T렌치세트",납볼망치,,,,False,,
(34)글루건(소형),success,T렌치세트,"T렌치세트, 기어렌치세트, 소켓렌치세트, 비트세트, 공구함세트",비트세트,,,,False,글루건,False
(35)정밀드라이버세트,success,정밀드라이버세트,"정밀드라이버세트, 전동공구세트, 공구함세트, 공구세트, 기어렌치세트",정밀드라이버세트,,,,False,,
(36) 유선햄머전동드릴(콘크리트용),success,철공용드릴비트,"철공용드릴비트, 목공용드릴비트, 콘크리트용드릴비트, 철공용드릴비트세트, 콘크리트드릴비트세트",철공용드릴비트,,유선,(36),True,해머드릴,False
(37)드릴날 세트(콘크리트용),success,콘크리트드릴비트세트,"콘크리트드릴비트세트, 드릴비트세트, 전동공구세트, 공구세트, 철공용드릴비트",콘크리트드릴비트세트,,,,False,콘크리트드릴비트세트,True
(39)마그네틱 줄자,success,소켓렌치세트,"소켓렌치세트, 볼렌치세트, 스패너세트, 타일컷터, 편구스패너",편구스패너,,,,False,줄자,False
(4)락킹 플라이어(바이스그립),success,볼렌치세트,"볼렌치세트, 소켓렌치세트, 편구스패너, 라쳇렌치세트, 와이어스트리퍼",편구스패너,,,,False,바이스그립플라이어,False
(40)철기리 세트,success,철공용드릴비트세트,"철공용드릴비트세트, 철공용드릴비트, 공구함세트, 공구세트, 철판가위",공구세트,,,,False,철공용드릴비트세트,False
(41)조합렌치 세트,success,조합렌치세트,"조합렌치세트, 공구함세트, 기어렌치세트, T렌치세트, 육각렌치세트",조합렌치세트,,,,False,,
(42)양용드라이버,success,드라이버세트,"드라이버세트, 전동공구세트, 전동압착기, 전지가위, 만능렌치",드라이버세트,,,,False,양용드라이버,False
(43)검전기,success,배터리팩,"배터리팩, 전기인두, 충전임팩트드라이버, 충전드릴, 고속절단기",배터리팩,,,,True,,
(44)육각렌치세트,success,육각렌치세트,"육각렌치세트, 기어렌치세트, 공구함세트, T렌치세트, 조합렌치세트",육각렌치세트,,,,False,,
(45)에어펌프(자전거 공기주입기),success,자전거펌프,"자전거펌프, 에어펌프, 철공용드릴비트, 목공용드릴비트, 고속절단기",에어펌프,,,,False,자전거펌프,False
(46)플라이어,success,볼렌치세트,"볼렌치세트, 편구스패너, 와이어스트리퍼, 전선릴, 다이스세트",다이스세트,,,,False,플라이어,False
(47)쇠톱,success,원형톱,"원형톱, 쇠톱, 목공줄, 스패너세트, 납볼망치",쇠톱,,,,False,,
(48)정밀드라이버세트,success,정밀드라이버세트,"정밀드라이버세트, 전동공구세트, 공구세트, 공구함세트, 기어렌치세트",정밀드라이버세트,,,,False,,
(49)유선전동드릴(상자),success,철공용드릴비트,"철공용드릴비트, 충전임팩트드라이버, 철공용드릴비트세트, 목공용드릴비트, 케이블컷터",철공용드릴비트,,유선,(49),False,,
(5)니퍼,success,니퍼,"니퍼, 다이스세트, 글루건, 줄자, 장도리",니퍼,,,(5),False,니퍼,True
(50)에어콤프레셔,success,옵셋렌치,"옵셋렌치, 충전해머드릴, 굽은노즈플라이어, 다이아고날플라이어, 앤드컷팅니퍼",옵셋렌치,,,(50),True,,
(51)에어타카,success,앤드컷팅니퍼,"앤드컷팅니퍼, 와이어스트리퍼, 옵셋렌치, 라쳇렌치세트, 전선릴",앤드컷팅니퍼,,에어,,False,,
(52)에어타카,success,전동타카,"전동타카, 토크렌치, 볼렌치세트, 편구스패너, 와이어스트리퍼",전동타카,,에어,,False,,
(53)에어타카,success,전동타카,"전동타카, 토크렌치, 볼렌치세트, 건타카, 편구스패너",전동타카,,에어,,False,,
(54)미니충전전동드릴,success,전동공구세트,"전동공구세트, 고속절단기, 충전드릴, 드릴비트세트, 만능렌치",충전드릴,,충전식,,False,충전드릴,True
(56)바이스플라이어(5인치),success,소켓렌치세트,"소켓렌치세트, 스패너세트, 기어렌치세트, 만능렌치, 전동공구세트",소켓렌치세트,,,,False,바이스그립플라이어,False
(57)레이저거리측정기,success,라돈측정기,"라돈측정기, 고속절단기, 육각렌치세트, SDS드릴비트, 별렌치세트",라돈측정기,,,,False,레이저거리측정기,False
(58)해머 드릴비트세트,success,소켓렌치세트,"소켓렌치세트, 전동공구세트, 기어렌치세트, 스패너세트, T렌치세트",전동공구세트,,,,False,,
(59)접톱 2,success,육각렌치세트,"육각렌치세트, 기어렌치세트, T렌치세트, 조합렌치세트, 육각렌치",육각렌치세트,,,,True,,
(6)줄자,success,소켓렌치세트,"소켓렌치세트, 기어렌치세트, 스패너세트, T렌치세트, 조합렌치세트",조합렌치세트,,,,False,,
(7)쇠톱,success,원형톱,"원형톱, 쇠톱, 목공줄, 스패너세트, 기어렌치세트",쇠톱,,,,False,쇠톱,True
(8)전선릴,success,볼렌치세트,"볼렌치세트, 편구스패너, 소켓렌치세트, 라쳇렌치세트, 와이어스트리퍼",와이어스트리퍼,,,,False,,
(9)핸드톱,success,원형톱,"원형톱, 목공줄, 기어렌치세트, T렌치세트, 손타카",원형톱,,,,False,,
(불가),success,망치,"망치, 고무망치, 에어건, 그립망치, 빠루망치",망치,,,,True,,
(불가)다카핀,success,고무망치,"고무망치, 그립망치, 빠루망치, 줄자, 돌망치",돌망치,,,,False,,
(불가)소켓렌치세트,success,스패너세트,"스패너세트, 소켓렌치세트, 드릴비트세트, 그립망치, 기어렌치세트",소켓렌치세트,,,,False,,
(불가)스크류 드라이버 비트세트,success,정밀드라이버세트,"정밀드라이버세트, 전동공구세트, 드릴비트세트, 공구세트, SDS드릴비트",드릴비트세트,,,,False,,
(불가)육각 기리세트,success,절단석,"절단석, 그립망치, 스패너세트, 목공줄, 드릴비트세트",드릴비트세트,,,,False,,
(불가)일자드라이버,success,그립망치,"그립망치, 임팩트드릴, 고무망치, 전동드릴, 빠루망치",임팩트드릴,,,,False,,
.몽키스패너200mm,success,클램프미터,"클램프미터, 소켓렌치세트, 전동공구세트, 스패너세트, 드릴비트세트",클램프미터,,,200mm,True,몽키렌치,False
.몽키스패너300mm,success,클램프미터,"클램프미터, 고속절단기, 전동공구세트, 스패너세트, 소켓렌치세트",스패너세트,,,300mm,False,몽키렌치,False
12P 3종 기리세트(육각씽크),success,전동공구세트,"전동공구세트, 정밀드라이버세트, 철공용드릴비트세트, 드릴비트세트, 공구세트",드릴비트세트,,,,False,드릴비트세트,True
12인치 몽키스패너,success,냉동라쳇렌치,"냉동라쳇렌치, 앤드컷팅니퍼, 다이아고날플라이어, 옵셋렌치, 스냅링플라이어",냉동라쳇렌치,,,12인치,True,몽키렌치,False
13RE,success,타카,"타카, 장도리, 공구함, 끌세트, 스패너",타카,,,,True,해머드릴,False
18V 밧데리(디월트),success,전동공구세트,"전동공구세트, 정밀드라이버세트, 드릴비트세트, 공구세트, 고속절단기",전동공구세트,디월트,배터리,,True,배터리팩,False
1단 사다리,success,사다리,"사다리, A형사다리, 편구스패너, 끌세트, 타일컷터",사다리,,,,False,,
250 세신 파이프렌치,success,드릴비트세트,"드릴비트세트, 전동공구세트, 기어렌치세트, 스패너세트, T렌치세트",드릴비트세트,,,,False,파이프렌치,False
2단 사다리,success,사다리,"사다리, A형사다리, 끌세트, 편구스패너, 다림추",사다리,,,,False,사다리,True
2단 스크래퍼,success,스패너세트,"스패너세트, 전동공구세트, 소켓렌치세트, 직각자, 임팩트드릴",스패너세트,,,,True,,
2단 양손가위(K-5100),success,전동공구세트,"전동공구세트, 정밀드라이버세트, 공구세트, 고속절단기, 강력니퍼",고속절단기,,,,False,,
2단사다리,success,A형사다리,"A형사다리, 사다리, 다림추, 수평기, 손타카",사다리,,,,False,사다리,True
3.6v 전동드라이버,success,정밀드라이버세트,"정밀드라이버세트, 전동공구세트, 드라이버세트, 고속절단기, 공구세트",전동공구세트,,배터리,,False,전동드라이버,False
300mm첼라,success,소켓렌치세트,"소켓렌치세트, 볼렌치세트, 편구스패너, 와이어스트리퍼, 스패너세트",소켓렌치세트,,,300mm,True,워터펌프플라이어,False
30M 작업닐선,success,클램프미터,"클램프미터, 고속절단기, 전동공구세트, 철공용드릴비트, 목공용드릴비트",전동공구세트,,,,False,전선릴,False
30m 줄자,success,클램프미터,"클램프미터, 고속절단기, 전동공구세트, 스패너세트, 공구세트",공구세트,,,,False,줄자,False
30m작업닐선,success,고속절단기,"고속절단기, 만능렌치, 전지가위, 임팩트드릴, 빠루망치",전지가위,,,,False,,
3M줄자,success,소켓렌치세트,"소켓렌치세트, 전동공구세트, T렌치세트, 스패너세트, 기어렌치세트",소켓렌치세트,,,,True,줄자,False
3공펀치,success,T렌치세트,"T렌치세트, 기어렌치세트, 스패너세트, 소켓렌치세트, 조합렌치세트",소켓렌치세트,,,,False,,
3단 사다리,success,사다리,"사다리, A형사다리, 끌세트, 편구스패너, 다림추",사다리,,,,False,사다리,True
3단 사다리(접이식),success,사다리,"사다리, A형사다리, 끌세트, 편구스패너, 다림추",사다리,,,,False,사다리,True
3단매트,success,T렌치세트,"T렌치세트, 스패너세트, 기어렌치세트, 공구세트, 다림추",다림추,,,,False,,
3단사다리,success,A형사다리,"A형사다리, 사다리, 다림추, 수평기, 끌세트",사다리,,,,False,사다리,True
3단핸드카트,success,핸드카트,"핸드카트, 정밀드라이버세트, 드라이버세트, T핸드드라이버, 전동공구세트",핸드카트,,,,False,,
4구 코드릴,success,라쳇렌치세트,"라쳇렌치세트, 편구스패너, 전선릴, 와이어스트리퍼, 볼렌치세트",전선릴,,,,False,전선릴,True
4단 A형사다리,success,A형사다리,"A형사다리, 사다리, 다림추, 수평기, 철판가위",A형사다리,,,,False,,
4단 사다리,success,사다리,"사다리, A형사다리, 끌세트, 편구스패너, 타일컷터",사다리,,,,False,사다리,True
4단 접이식 사다리,success,A형사다리,"A형사다리, 다림추, 끌세트, 수평기, 전동공구세트",A형사다리,,,,False,,
4단사다리,success,A형사다리,"A형사다리, 사다리, 다림추, 수평기, 끌세트",사다리,,,,False,사다리,True
4단접이식사다리(다목적용),success,A형사다리,"A형사다리, 다림추, 육각렌치세트, 조합렌치세트, 철판가위",A형사다리,,,,False,,
4방항 냉동라쳇,success,냉동라쳇렌치,"냉동라쳇렌치, 다이아고날플라이어, 옵셋렌치, 플라이어렌치, 앤드컷팅니퍼",냉동라쳇렌치,,,,False,냉동라쳇렌치,True
4방향 냉동라쳇,success,냉동라쳇렌치,"냉동라쳇렌치, 옵셋렌치, 다이아고날플라이어, 플라이어렌치, 굽은노즈플라이어",냉동라쳇렌치,,,,False,냉동라쳇렌치,True
4인용파라솔세트,success,소켓렌치세트,"소켓렌치세트, 기어렌치세트, 전동공구세트, T렌치세트, 스패너세트",소켓렌치세트,,,,True,,
4인치 그라인더,success,바이스그립플라이어,"바이스그립플라이어, 냉동라쳇렌치, 다이아고날플라이어, 앵글그라인더, 버니어캘리퍼스",앵글그라인더,,,4인치,False,앵글그라인더,True
4인치 절단석(A형),success,라쳇렌치세트,"라쳇렌치세트, 굽은노즈플라이어, 플라이어렌치, 옵셋렌치, 편구스패너",라쳇렌치세트,,,4인치 절단석 (A형),False,,
50m 줄자,success,클램프미터,"클램프미터, 고속절단기, 전동공구세트, 수평기, 공구세트",공구세트,,,,False,줄자,False
50m릴선(작업선),success,고속절단기,"고속절단기, 클램프미터, 전동압착기, 전동공구세트, 정밀드라이버세트",고속절단기,,,,True,전선릴,False
5단 사다리,success,사다리,"사다리, A형사다리, 다림추, 끌세트, 편구스패너",사다리,,,,False,사다리,True
6각 렌치,success,기어렌치세트,"기어렌치세트, 스패너세트, T렌치세트, 소켓렌치세트, 납볼망치",소켓렌치세트,,,,False,육각렌치,False
6각 링고리 세트,success,기어렌치세트,"기어렌치세트, 육각렌치세트, T렌치세트, 공구함세트, 조합렌치세트",육각렌치세트,,,,False,,
6각렌치세트 1개,success,기어렌치세트,"기어렌치세트, 조합렌치세트, T렌치세트, 육각렌치세트, 전동공구세트",육각렌치세트,,,,False,,
6각렌치세트 9개,success,기어렌치세트,"기어렌치세트, 조합렌치세트, 소켓렌치세트, T렌치세트, 스패너세트",소켓렌치세트,,,,False,육각렌치세트,False
6단 사다리,success,사다리,"사다리, A형사다리, 끌세트, 편구스패너, 다림추",사다리,,,,False,,
8인치 펜치,success,기어렌치세트,"기어렌치세트, 스패너세트, 공구세트, 전동공구세트, 소켓렌치세트",소켓렌치세트,,,8인치,False,펜치,False
8피스 플라이어세트,success,기어렌치세트,"기어렌치세트, 소켓렌치세트, 전동공구세트, 스패너세트, T렌치세트",기어렌치세트,,,,False,플라이어세트,False
?드펌프,success,에어펌프,"에어펌프, 고속절단기, 목공용드릴비트, 드릴비트세트, 철공용드릴비트",에어펌프,,,,False,,
?치,success,고무망치,"고무망치, 렌치, 에어건, 해머드릴, 전동드릴",렌치,,,,False,,
A형 4단 사다리,success,A형사다리,"A형사다리, 사다리, 다림추, 수평기, 전동공구세트",사다리,,,,False,A형사다리,False
A형 6단 사다리,success,A형사다리,"A형사다리, 사다리, 다림추, 수평기, 전동공구세트",사다리,,,,False,,
A형 사다리,success,A형사다리,"A형사다리, 사다리, 다림추, 수평기, 끌세트",사다리,,,,False,A형사다리,False
A형사다리(1.45M),success,클램프미터,"클램프미터, 고속절단기, 전동공구세트, A형사다리, 수평기",A형사다리,,,1.45M,False,A형사다리,True
BOMANN 전동드릴,success,전동드릴,"전동드릴, 양용드라이버, 와이어스트리퍼, 편구스패너, 타일컷터",전동드릴,보만(BOMANN),,,False,전동드릴,True
BOSCH GSB18V-21,success,SDS드릴비트,"SDS드릴비트, 전동공구세트, 정밀드라이버세트, 고속절단기, 별렌치세트",전동공구세트,보쉬(BOSCH),배터리,,False,충전해머드릴,False
BOSCH Professional 전동드라이브,success,바이스그립플라이어,"바이스그립플라이어, 버니어캘리퍼스, 앤드컷팅니퍼, 냉동라쳇렌치, 다이아고날플라이어",바이스그립플라이어,보쉬(BOSCH),전동,,False,전동드라이버,False
BOSCH 엑세서리 드릴 세트,success,전동공구세트,"전동공구세트, 공구세트, 드릴비트세트, 공구함세트, 목공용드릴비트",드릴비트세트,보쉬(BOSCH),,,False,드릴비트세트,True
BOSCH 전동드릴,success,전동드릴,"전동드릴, 편구스패너, 타일컷터, 와이어스트리퍼, 양용드라이버",전동드릴,보쉬(BOSCH),,,False,전동드릴,True
F 클램프,success,F클램프,"F클램프, 스패너세트, 스패너, 그립망치, 드릴비트",F클램프,,,,False,F클램프,True
HSS쇠톱날,success,만능렌치,"만능렌치, 빠루망치, 그립망치, 돌망치, 납볼망치",만능렌치,,,,False,,
Kamaki 전지가위(굵은 가지용),success,강력니퍼,"강력니퍼, 건타카, 카운터싱크, 원형톱, 전동타카",전지가위,카마키(Kamaki),배터리,굵은 가지용,False,전지가위,True
Kamaki 전지가위(잔 가지용),success,건타카,"건타카, 에어타카, 전동타카, 카운터싱크, 전지가위",전지가위,카마키,배터리,,False,전지가위,True
LCD전자 현미경,success,라돈측정기,"라돈측정기, LED작업등, LED손전등, 클램프미터, 육각렌치세트",라돈측정기,,,,False,,
LED 랜턴,success,LED작업등,"LED작업등, LED손전등, LED투광기, 라돈측정기, 직각자",LED손전등,,,,False,LED손전등,True
LED 작업등,success,LED작업등,"LED작업등, LED손전등, LED투광기, 전기인두, 라돈측정기",LED작업등,,,,False,LED작업등,True
LED 투광기,success,LED투광기,"LED투광기, LED손전등, LED작업등, 레이저수평기, 적외선온도계",LED투광기,,,,False,LED투광기,True
LED 포토박스,success,LED투광기,"LED투광기, LED손전등, LED작업등, 라돈측정기, 레이저수평기",LED작업등,,,,False,,
LED등,success,LED손전등,"LED손전등, LED작업등, LED투광기, 라돈측정기, 전기인두",LED작업등,,,,False,,
LED랜턴,success,손타카,"손타카, 직각자, 글루건, 니퍼, 전지가위",손타카,,,,True,LED손전등,False
LED램프,success,LED투광기,"LED투광기, LED손전등, LED작업등, 레이저수평기, 라돈측정기",LED작업등,,,,False,,
LED작업등,success,LED작업등,"LED작업등, LED손전등, LED투광기, 라돈측정기, 육각렌치세트",LED작업등,,,,False,LED작업등,True
LED작업등(충전용),success,LED작업등,"LED작업등, LED손전등, LED투광기, 목공용드릴비트, 철공용드릴비트",LED작업등,,충전식,,False,LED작업등,True
LED충전작업등,success,LED작업등,"LED작업등, LED손전등, 목공용드릴비트, 전동공구세트, 육각렌치세트",LED손전등,,충전식,,False,LED작업등,False
LED후레쉬,success,LED작업등,"LED작업등, LED손전등, 직각자, 육각렌치, 만능렌치",LED손전등,,,,False,LED손전등,True
LS 사다리 3단,success,사다리,"사다리, 편구스패너, 라쳇렌치세트, 끌세트, 전동드라이버",사다리,LS,,3단,False,사다리,True
LS사다리,success,끌세트,"끌세트, 육각렌치, 편구스패너, 소켓렌치세트, 장도리",장도리,LS,,,False,사다리,False
LS사다리(1),success,소켓렌치세트,"소켓렌치세트, 끌세트, 볼렌치세트, 편구스패너, 스패너세트",소켓렌치세트,LS,,1,False,,
LS사다리(3단),success,끌세트,"끌세트, 소켓렌치세트, 스패너세트, 전동공구세트, 기어렌치세트",끌세트,LS,,3단,True,사다리,False
L렌지세트,success,볼렌치세트,"볼렌치세트, 소켓렌치세트, 스패너세트, T렌치세트, 다이스세트",볼렌치세트,,,,True,육각렌치세트,False
L렌지셋트,success,와이어스트리퍼,"와이어스트리퍼, 편구스패너, 전선릴, 볼렌치세트, 타일컷터",볼렌치세트,,,,False,육각렌치세트,False
L렌치 세트,success,T렌치세트,"T렌치세트, 기어렌치세트, 공구함세트, 전동공구세트, 육각렌치세트",육각렌치세트,,,,False,육각렌치세트,True
L렌치세트,success,T렌치세트,"T렌치세트, 소켓렌치세트, 기어렌치세트, 스패너세트, 볼렌치세트",T렌치세트,,,,False,육각렌치세트,False
L렌치세트(9pcs),success,조합렌치세트,"조합렌치세트, 클램프미터, 전동공구세트, 육각렌치세트, T렌치세트",육각렌치세트,,,,False,육각렌치세트,True
L형 랜치세트,success,T렌치세트,"T렌치세트, 기어렌치세트, 공구함세트, 육각렌치세트, 글루스틱",T렌치세트,,,,False,,
L형 렌치세트,success,육각렌치세트,"육각렌치세트, 기어렌치세트, T렌치세트, 공구함세트, 전동공구세트",T렌치세트,,,,False,육각렌치세트,False
L형 렌치세트,success,육각렌치세트,"육각렌치세트, 기어렌치세트, T렌치세트, 공구함세트, 전동공구세트",T렌치세트,,,,False,육각렌치세트,False
L형 렌치세트(9pcs),success,육각렌치세트,"육각렌치세트, 전동공구세트, 조합렌치세트, 클램프미터, 정밀드라이버세트",조합렌치세트,,,,False,,
L형 렌치센트,success,편구스패너,"편구스패너, 볼렌치세트, 소켓렌치세트, 토크렌치, 와이어스트리퍼",소켓렌치세트,,,,False,육각렌치세트,False
N플러스 보행보조차,success,충전해머드릴,"충전해머드릴, 와이어스트리퍼, 앤드컷팅니퍼, 전동드릴, 전선릴",충전해머드릴,,,,True,,
OS-265,success,SDS드릴비트,"SDS드릴비트, 실리콘건, 충전임팩트드라이버, 정밀드라이버세트, 배터리팩",SDS드릴비트,,,,True,,
PIPE렌치,success,파이프렌치,"파이프렌치, 카운터싱크, 볼트컷터, 펜치, 장도리",파이프렌치,,,,False,파이프렌치,True
PVC 카타,success,PVC컷터,"PVC컷터, 전동공구세트, 전동압착기, 공구함세트, SDS드릴비트",PVC컷터,,,,False,,
PVC카타,success,PVC컷터,"PVC컷터, 건타카, 타카핀, 에어타카, 전동타카",PVC컷터,,,,False,PVC컷터,True
PVC카터,success,PVC컷터,"PVC컷터, 목공용드릴비트, 충전임팩트드라이버, 철공용드릴비트, 고속절단기",PVC컷터,,,,False,,
PVC커타,success,PVC컷터,"PVC컷터, SDS드릴비트, 전동공구세트, 공구함세트, 전동압착기",PVC컷터,,,,False,PVC컷터,True
PVC타카,success,PVC컷터,"PVC컷터, 목공용드릴비트, SDS드릴비트, 공구함세트, 고속절단기",PVC컷터,,,,False,,
SB 수평,success,수평기,"수평기, 센터펀치, SDS드릴비트, 직소기, 전동압착기",수평기,,,,False,수평기,True
SDS 기리,success,SDS드릴비트,"SDS드릴비트, 전지가위, 보안경, 전동압착기, 납볼망치",SDS드릴비트,,,,False,SDS드릴비트,True
SDS 앙카드릴,success,SDS드릴비트,"SDS드릴비트, 임팩트드릴, 그립망치, 전지가위, 납볼망치",SDS드릴비트,,,,False,,
SDS기리 (14×160),success,SDS드릴비트,"SDS드릴비트, 육각렌치세트, 전동공구세트, 기어렌치세트, 비트세트",SDS드릴비트,,,14×160,False,SDS드릴비트,True
SDS기리 (17×210),success,SDS드릴비트,"SDS드릴비트, 전동공구세트, 별렌치세트, 육각렌치세트, 기어렌치세트",SDS드릴비트,,,17×210,False,,
SDS척,success,SDS드릴비트,"SDS드릴비트, 전지가위, 전동압착기, 다이스세트, 수평기",SDS드릴비트,,,,False,,
T렌치 세트,success,T렌치세트,"T렌치세트, 기어렌치세트, 육각렌치세트, 공구함세트, 스패너세트",T렌치세트,,,,False,T렌치세트,True
T자,success,타카,"타카, 손타카, 장도리, 줄자, 스패너",줄자,,,,False,,
T핸드 드라이버,success,T핸드드라이버,"T핸드드라이버, 드라이버세트, 드라이버, 핸드카트, 정밀드라이버세트",T핸드드라이버,,,,False,T핸드드라이버,True
T핸드드라이버,success,T핸드드라이버,"T핸드드라이버, 드라이버세트, 드라이버, 핸드카트, 정밀드라이버세트",T핸드드라이버,,,,False,T핸드드라이버,True
T형 드라이버핸들,success,드라이버세트,"드라이버세트, 드라이버, 양용드라이버, 끌세트, 정밀드라이버세트",드라이버,,,,False,,
USB몰래카메라탐지기,success,SDS드릴비트,"SDS드릴비트, 전자산업용니퍼, 충전임팩트드라이버, 정밀드라이버세트, 배터리팩",SDS드릴비트,,,,True,,
VIP 공구세트 (20PCS),success,정밀드라이버세트,"정밀드라이버세트, 전동공구세트, 고속절단기, SDS드릴비트, 안전로프",전동공구세트,,,,False,공구세트,False
X100Ti,success,전자산업용니퍼,"전자산업용니퍼, 비트세트, 정밀드라이버세트, 전동공구세트, 실리콘건",전자산업용니퍼,,,,True,,
