standard_name,category,subcategory,aliases,power_source,common_specifications
해머 드릴,전동공구,드릴,"해머드릴,함마드릴,햄머드릴,겸용해머드릴,스킬함마드릴,유선햄머전동드릴",유선/충전식,
임팩트 드릴,전동공구,드릴,"임팩트드릴,임팩드릴,계양임팩드릴",유선/충전식,
전동 드라이버,전동공구,드릴,"전동드라이버,충전드라이버,충전식드라이버,usb충전식드라이버",충전식(무선),"3.6V,12V,18V"
앵글 그라인더,전동공구,그라인더/샌더,"그라인더,그라인다,앵글그라인더,디스크그라인더,4인치그라인더",유선/충전식,"4인치,100mm,125mm"
샌더,전동공구,그라인더/샌더,"샌더,샌더기,샌딩기,180mm샌더",유선,180mm
연마석,전동공구,그라인더/샌더,"연마석,그라인더날,절단석,디스크",,4인치
직소기,전동공구,톱/절단,"직소기,직소,지그소,직쏘",유선/충전식,
원형톱,전동공구,톱/절단,"원형톱,써큘러쏘,테이블쏘,각도절단기,각도톱",유선,
고속 절단기,전동공구,톱/절단,"고속절단기,절단기,컷팅기",유선,
열풍기,전동공구,기타전동,"열풍기,가열총,히트건",유선,
인두기,전동공구,기타전동,"인두기,전기인두,납땜기,권총인두,납인두",유선,60W
고압 세척기,전동공구,기타전동,"고압세척기,고압용세척기",유선,
에어 컴프레셔,에어공구,에어공구,"에어콤프레셔,에어컴프레셔,에아컴프레셔,콤프레샤",에어,
에어 타카,에어공구,에어공구,"에어타카,에어타커",에어,
글루건,접착공구,접착/도포,"글루건,글로건,글루건총,글루건펜,핫멜트건",유선,"20W,80W"
글루스틱,소모품,접착/도포,"글루스틱,글루건심,글로건심,핫멜트봉,막대본드,글루건알",,
실리콘 건,접착공구,접착/도포,"실리콘건,실리콘총,코킹건",,
타카,접착공구,접착/도포,"타카,손타카,건타카,타카기,타커",,
타카핀,소모품,접착/도포,"타카핀,ㄷ형타카핀,ㄷ자형타카,타카심",,
드릴 비트 세트,액세서리,드릴비트,"드릴비트세트,기리세트,기리셋트,기리셋,비트세트,드릴날세트",,
철공용 드릴 비트,액세서리,드릴비트,"철기리,철공드릴비트,철공기리,SDS기리",,
콘크리트용 드릴 비트,액세서리,드릴비트,"콘크리트기리,콘크리트드릴비트,해머드릴비트",,
목공용 드릴 비트,액세서리,드릴비트,"목기리,나무기리,목공드릴비트",,
드라이버 비트 세트,액세서리,드릴비트,"드라이버비트,비트세트,스크류드라이버비트세트,피스제거용비트",,
사다리,운반/보관,사다리,"사다리,가정용사다리,A형사다리,LS사다리,접이식사다리",,"1단,2단,3단,4단,5단,6단"
핸드카트,운반/보관,운반,"핸드카트,핸드카,3단핸드카트,접이식카트,구루마",,
공구함,운반/보관,보관,"공구함,공구박스,공구통,공구가방,공구주머니",,
공구 세트,운반/보관,세트,"공구세트,공구셋트,가정용공구세트,VIP공구세트",,"12PCS,16PCS,18PCS,20PCS,25PCS"
LED 작업등,조명,작업등,"LED작업등,led작업등,LED충전작업등,작업등",유선/충전식,
LED 랜턴,조명,랜턴,"LED랜턴,LED손전등,LED후레쉬,LED등,led손전등,손전등",배터리,
LED 투광기,조명,투광기,"LED투광기,투광기,조명등",유선,
스트리퍼,배관/전기,전선공구,"스트리퍼,스트립퍼,백터스트리퍼,와이어스트리퍼",,
전선릴,배관/전기,전선공구,"전선릴,전기릴선,코드릴,릴선,50m릴선,작업닐선,30M작업닐선",,"30m,50m"
압착기,배관/전기,전선공구,"압착기,압착펜치,크림프",,
전정 가위,원예공구,원예,"전정가위,전지가위,조경가위,정원가위",,
고지 가위,원예공구,원예,"고지가위,고전지가위",,5m
모종삽,원예공구,원예,"모종삽,삽,각삽,네모삽",,
낫,원예공구,원예,"낫,풀낫",,
도끼,원예공구,원예,도끼,,
스크레퍼,도장/마감,도장,"스크레퍼,스크래퍼,헤라",,3인치
롤러,도장/마감,도장,"롤러,페인트롤러,고무롤러",,
붓,도장/마감,도장,"붓,페인트붓,도장붓",,
보안경,안전장비,보호구,"보안경,고글,안전고글",,
안전장갑,안전장비,보호구,"안전장갑,작업장갑,목장갑",,
방진 마스크,안전장비,보호구,"방진마스크,마스크,분진마스크",,
끌,수작업공구,끌/치즐,"끌,치즐,치슬",,"19mm,22mm,38mm,50mm,세트"
리베터,수작업공구,기타,"리베터,리벳건,리베트기",,
대패,수작업공구,기타,"대패,석고대패",,
수동 펌프,수작업공구,기타,"수동펌프,에어펌프,발펌프,자전거공기주입기",,
가스 토치,수작업공구,기타,"가스토치,토치,버너",,
점프선,기타장비,기타,"점프선,점프케이블,자동차점프선",,
경광등,기타장비,기타,"경광등,비상등",,
톱,수작업공구,톱,"톱,목재톱,만능톱,톱대,톱날",,
전정톱,수작업공구,톱,"전정톱,접이식톱,접이톱",,
줄톱,수작업공구,톱,"줄톱,실톱,컷소",,
전동 직선톱,전동공구,톱/절단,"전동일자톱,전기톱,왕복톱,레시프로쏘",유선/충전식,
렌치,수작업공구,스패너/렌치,"렌치,렌치세트,볼렌치,볼렌치세트,볼렌치셋트,볼렌치육각,별렌치세트,매직렌치",,세트
목공줄,수작업공구,줄/연마,"목공줄,줄,야스리",,
스프링 청소기,배관/전기,배관,"스프링청소기,배관청소기,스프링배관청소기",,
안전모,안전장비,보호구,"안전모,안전헬멧",,
에어건,에어공구,에어공구,"에어건,에어블로건,블로어건",에어,
랜턴,조명,랜턴,"랜턴,LED랜턴,캠핑랜턴",배터리,
자전거 펌프,수작업공구,기타,"자전거펌프,자전거공기주입기,에어펌프",,
라돈 측정기,측정공구,환경측정,"라돈측정기,라돈가스측정기",,
다이아타입 플라이어,수작업공구,니퍼/펜치/플라이어,"다이아타입플라이어,다이아고날플라이어",,
펀칭기,수작업공구,기타,"펀칭기,펀치,3공펀치,홀펀치",,
송풍기,전동공구,기타전동,"송풍기,블로어,블로워,낙엽송풍기",유선/충전식,
호스,기타장비,기타,"물호스,고무호스,릴호스",,
링고리 세트,액세서리,기타,"링고리세트,6각링고리세트",,
함석 가위,수작업공구,가위/절단,"함석가위,철판가위,항공가위,금절가위",,
페인트 건,도장/마감,도장,"페인팅건,스프레이건,에어스프레이",,
플렉시블 비트홀더,액세서리,드릴비트,"플렉시블비트홀더,유연비트홀더,플렉시블",,
김장 매트,기타장비,생활,"김장매트,김장용매트",,"대형,중형"
탱크팡,수작업공구,기타,"탱크팡,뚫어뻥,하수구펌프",,
수공구 세트,수작업공구,세트,"수공구세트,기본공구세트",,
만능 관통기,수작업공구,기타,"만능관통기,관통기",,
갓다,수작업공구,기타,"갓다,암갓다,캇다,캇다기",,
면취 공구,절삭공구,절삭,"면취기,카운터싱크,챔퍼",,
탭,절삭공구,절삭,"탭,탭세트,나사탭",,
다이스,절삭공구,절삭,"다이스,다이세트",,
철직자,측정공구,줄자/측정,"철직자,스틸자,직자,눈금자",,"300mm,600mm,1000mm"
캘리퍼스,측정공구,정밀측정,"캘리퍼스,디지털캘리퍼스,노기스,버니어캘리퍼스",,"150mm,200mm"
분도기,측정공구,줄자/측정,"분도기,각도기,각도계,디지털분도기",,
온도계,측정공구,환경측정,"온도계,적외선온도계,디지털온도계",,
먹통,수작업공구,건축,"먹통,수동먹통,자동먹통,분통",,
마그네틱 픽업,수작업공구,기타,"마그네틱픽업,자석봉,마그네틱",,
케이블 컷터,배관/전기,전선공구,"케이블컷터,케이블절단기,와이어컷터",,
절연 공구,배관/전기,전선공구,"절연공구,절연드라이버,절연니퍼,절연펜치",,세트
클램프,수작업공구,고정,"클램프,F클램프,C클램프,바이스,만력기",,
테이프,소모품,접착/도포,"테이프,전기테이프,절연테이프,마스킹테이프",,
사포,소모품,연마,"사포,샌드페이퍼,연마지",,
