"구분자(PK)","공구 대분류 코드","공구 대분류","공구 중분류 코드","공구 중분류","공구 이름","공구 모델","과금기준","요금","요금(과금기준 + 요금)","수량","장소 PK","대여장소명","상세주소","위치(위도,경도)","위도","경도","웹사이트주소","전화번호","평일오픈시간","평일클로즈시간","토요일오픈시간","토요일클로즈시간","일요일오픈시간","일요일클로즈시간","공휴일오픈시간","공휴일클로즈시간","생성일시"
"15228","4","기타공구","44","기타공구","거리측정기","","1일","0","1일 1000원","1","13229","보문동주민센터","안암로3길 35","37.580383,127.0228","37.580383","127.0228","","0222415246","0900","1800","","","","","","","20230113161905"
"14279","4","기타공구","44","기타공구","거리측정기","","1일","0","1일 2000원","1","261","장위2동 공구대여소","화랑로25길 29","37.6097961,127.051575","37.6097961","127.051575","","02-2241-5684","0900","1800","","","","","","","20220624081523"
"16312","4","기타공구","44","기타공구","거짓말탐지기","","1일","0","1일 1000원","1","493","광희동 공구대여소","서울특별시 중구 광희동1가 252","37.56447,127.00504","37.56447","127.00504","","02-3396-6654","1030","1700","","","","","","","20240418110202"
"16847","4","기타공구","44","기타공구","건 타카","","1회","0","무료","1","461","응암2동 공유대여소","서울특별시 은평구 응암동 229-13","37.59458,126.92307","37.59458","126.92307","","02-351-5264","0900","1800","","","","","","","20240702083710"
"16310","4","기타공구","44","기타공구","건습식 청소기(집진형)","","1일","0","1일 2000원","1","493","광희동 공구대여소","서울특별시 중구 광희동1가 252","37.56447,127.00504","37.56447","127.00504","","02-3396-6654","1030","1700","","","","","","","20240418105343"
"17470","4","기타공구","44","기타공구","건타카","","1회","0","무료","1","13516","신설동 주민센터","천호대로 26 2층","37.5738924,127.0260332","37.5738924","127.0260332","","02-2171-6713","0900","1800","","","","","","","20250911163500"
"15680","4","기타공구","44","기타공구","건타카","","1회","0","무료","1","83","광장동 공구대여소","서울특별시 광진구 광장동 248-24","37.546892,127.103025","37.546892","127.103025","","02-450-1278","0900","1800","","","","","","","20230602180147"
"12361","4","기타공구","44","기타공구","건타카+타카핀","","1일","0","1일 1500원","2","2432","화곡6동 주민센터 공구대여소","서울특별시 강서구 화곡동 980-1","37.551864,126.8501598","37.551864","126.8501598","","02-2600-7665","0900","1800","","","","","","","20210930154304"
"15869","4","기타공구","44","기타공구","경광등","","1회","0","무료","1","13020","개포1동 주민센터 공구대여소","서울특별시 강남구 개포로 303 현대1차상가 1층","37.4824625,127.0544858","37.4824625","127.0544858","","02-3423-7670","0900","1800","","","","","","","20230725132604"
"13649","4","기타공구","44","기타공구","경량몽키","","1회","0","무료","1","495","신당동주민센터 공구도서관","서울특별시 중구 신당동 300-6","37.5620364,127.0144345","37.5620364","127.0144345","","02-3396-6713","0900","1800","","","","","","","20220616165610"
"16167","4","기타공구","44","기타공구","고무롤러","","1회","0","무료","2","119","공릉1동주민센터 공구대여소","서울특별시 노원구 공릉동 499-25","37.624874,127.073838","37.624874","127.073838","","02-2116-2495","0900","1800","","","","","","","20240213092902"
"14290","4","기타공구","44","기타공구","고무망치","","1회","0","무료","1","13020","개포1동 주민센터 공구대여소","서울특별시 강남구 개포로 303 현대1차상가 1층","37.4824625,127.0544858","37.4824625","127.0544858","","02-3423-7670","0900","1800","","","","","","","20220624092351"
"16416","4","기타공구","44","기타공구","고압 세척기","","1회","0","무료","2","492","장충동 공구대여소","서울특별시 중구 장충동1가 37-14","37.56191,127.00784","37.56191","127.00784","","02-3396-8504","0900","1800","","","","","","","20240516134949"
"15121","4","기타공구","44","기타공구","고압력 쌍발 발펌프(자동차,오토바이,자전거)","","1회","0","무료","1","379","이태원제1동주민센터 우리동네 공구함","서울특별시 용산구 이태원동 100-3","37.532474,126.9950687","37.532474","126.9950687","","02-2199-8628","0900","1800","","","","","","","20221109133957"
"10784","4","기타공구","44","기타공구","공구놀이세트","","1회","0","무료","2","106","독산2동 주민센터 공구도서관","서울 금천구 범안로 1240-7","37.4660771,126.8975502","37.4660771","126.8975502","","02-2104-5572","0900","1800","","","","","","","20201123174807"
"15596","4","기타공구","44","기타공구","공구세트","","1일","0","1일 300원","1","13320","성내1동주민센터","서울특별시 강동구 성내동 539-1","37.5304417,127.122425","37.5304417","127.122425","","02-3425-7772","0900","1800","","","","","","","20230504124353"
"15180","4","기타공구","44","기타공구","공구세트","","1회","0","무료","1","454","불광1동 공구대여소","서울특별시 은평구 불광동 613-1","37.61036,126.93208","37.61036","126.93208","","02-351-5033 ","0900","1800","","","","","","","20221124155106"
"17272","4","기타공구","44","기타공구","공구함","","1회","0","무료","1","100","개봉3동 공구대여소","서울특별시 구로구 개봉로3길 47-5","37.4859537,126.8516385","37.4859537","126.8516385","","02-2620-7369","0900","1800","","","","","","","20250616152014"
"17209","4","기타공구","44","기타공구","공구함","","1회","0","무료","1","13267","송중동주민센터","서울특별시 강북구 미아동 87-141","37.616099,127.033738","37.616099","127.033738","","02-3778-4104","0900","1800","","","","","","","20250325101046"
"15666","4","기타공구","44","기타공구","공구함(내용물 미포함)","","1회","0","무료","2","341","우리동네 공구도서관(양평2동)","서울특별시 영등포구 선유로47길 30","37.5364739,126.8939535","37.5364739","126.8939535","","02-3457-7435","0900","1800","","","","","","","20230523224546"
"16338","4","기타공구","44","기타공구","공유우산 ","","1회","0","무료","30","496","다산동주민센터 공구도서관","서울특별시 중구 신당동 432-24","37.55434,127.00828","37.55434","127.00828","","02-3396-8357","0900","1800","","","","","","","20240422191940"
"9270","4","기타공구","44","기타공구","관통기","","1회","0","무료","0","13007","개포4동 주민센터","서울특별시 강남구 개포동 1211-4","37.4788568,127.0516419","37.4788568","127.0516419","","02-3423-7854","0900","1800","","","","","","","20181120161802"
"17395","4","기타공구","44","기타공구","그라인더","","1회","0","무료","1","334","우리동네 공구도서관(신길3동)","서울특별시 영등포구 신길동 268-27","37.5073,126.90775","37.5073","126.90775","","02-2670-1265","0900","1800","","","","","","","20250811135046"
"16105","4","기타공구","44","기타공구","글루건","","1회","0","무료","1","137","방학1동 우리동네 0.9.대여점","서울시 도봉구 방학로2길 27(방학동)","37.6641887,127.0384572","37.6641887","127.0384572","","02-2091-5604","0900","1800","","","","","","","20231130134454"
"15623","4","기타공구","44","기타공구","글루건","","1일","0","1일 300원","1","13329","성내3동주민센터","강동대로53길 76","37.5260101,127.13287","37.5260101","127.13287","","0234257824","0900","1800","","","","","","","20230504150500"
"15335","4","기타공구","44","기타공구","글루건","","1회","0","무료","1","166","흑석동주민센터 공구대여소","서울특별시 동작구 흑석한강로11","37.5058617,126.966612","37.5058617","126.966612","","02-820-2546","0900","1800","","","","","","","20230303141855"
"14937","4","기타공구","44","기타공구","글루건","","1일","0","1일 10000원","1","13250","한남동주민센터","서울특별시 용산구 한남동 685-43","37.53455,127.0005","37.53455","127.0005","","02-2199-8667","0900","1800","","","","","","","20220928162018"
"13798","4","기타공구","44","기타공구","글루건","","1회","0","무료","1","288","잠실7동 주민센터","서울특별시 송파구 잠실동 85-1","37.50863,127.07714","37.50863","127.07714","","02-2147-4766","0900","1800","","","","","","","20220620143348"
"13008","4","기타공구","44","기타공구","글루건","","1회","0","","1","13173","방배3동주민센터","서초구 방배로40","37.4784409,126.9999918","37.4784409","126.9999918","","02-2155-7813","","","","","","","","","20211126154428"
"13659","4","기타공구","44","기타공구","글루건 건","","1회","0","무료","1","495","신당동주민센터 공구도서관","서울특별시 중구 신당동 300-6","37.5620364,127.0144345","37.5620364","127.0144345","","02-3396-6713","0900","1800","","","","","","","20220616170250"
"9169","4","기타공구","44","기타공구","글루건 심","","1회","0","무료","5","13005","일원본동 주민센터","서울특별시 강남구 일원동 735-3","37.483362,127.0864614","37.483362","127.0864614","","02-3423-8253","0900","1800","","","","","","","20181119112540"
"12354","4","기타공구","44","기타공구","글루건+막대본드","","1일","0","1일 500원","1","2432","화곡6동 주민센터 공구대여소","서울특별시 강서구 화곡동 980-1","37.551864,126.8501598","37.551864","126.8501598","","02-2600-7665","0900","1800","","","","","","","20210930154008"
"10614","4","기타공구","44","기타공구","글루건, 핫멜트봉","","1일","0","무료","1","13035","항동 공구대여소","서울특별시 구로구 항동 243-1","37.4790477,126.8223129","37.4790477","126.8223129","","02-2620-7595","0900","1800","","","","","","","20201123150430"
"15932","4","기타공구","44","기타공구","글루스틱","","1회","0","무료","2","13360","잠원동주민센터","나루터로 38","37.5149619,127.0140771","37.5149619","127.0140771","","02-2155-7543","0900","1800","","","","","","","20230802075828"
"17390","4","기타공구","44","기타공구","금속용 절단석","","1회","0","무료","10","342","우리동네 공구도서관(신길1동)","서울특별시 영등포구 신길동 465-1","37.51116,126.92144","37.51116","126.92144","","02-2670-1245","0900","1800","","","","","","","20250805162108"
"15312","4","기타공구","44","기타공구","기리세트(계양용)","","1일","0","1일 500원","1","251","성수1가1동 공구대여소","서울특별시 성동구 뚝섬로3길 18, 3층","37.54202,127.04968","37.54202","127.04968","","02-2286-7423","0900","1800","","","","","","","20230210173039"
"17394","4","기타공구","44","기타공구","나사못세트","","1회","0","무료","1","336","우리동네 공구도서관(신길4동)","서울특별시 영등포구 신길로42길 1","37.50845,126.91128","37.50845","126.91128","","02-2670-1297","0900","1800","","","","","","","20250811134735"
"15318","4","기타공구","44","기타공구","납 인두기& 흡입기 등","","1회","0","무료","1","13061","홍은2동주민센터 공구대여소","서울특별시 서대문구 홍은동 273-10","37.5801972,126.9342509","37.5801972","126.9342509","","02-330-8786","0900","1800","","","","","","","20230222134733"
"10197","4","기타공구","44","기타공구","낫","","1회","0","무료","3","13026","삼성2동 주민센터 공구대여소","서울특별시 강남구 삼성동 38-34","37.5112037,127.0459453","37.5112037","127.0459453","","02-3423-8208","0900","1800","","","","","","","20181127155939"
"17067","4","기타공구","44","기타공구","니퍼","","1회","0","무료","3","504","중림종합사회복지관","서울특별시 중구 중림동 156-176","37.5595228,126.9662513","37.5595228","126.9662513","","02-362-3348","0900","2000","0930","1500","","","","","20241204151709"
"15598","4","기타공구","44","기타공구","니퍼","","1일","0","1일 300원","1","13320","성내1동주민센터","서울특별시 강동구 성내동 539-1","37.5304417,127.122425","37.5304417","127.122425","","02-3425-7772","0900","1800","","","","","","","20230504124453"
"13894","4","기타공구","44","기타공구","니퍼","","1회","0","무료","1","13020","개포1동 주민센터 공구대여소","서울특별시 강남구 개포로 303 현대1차상가 1층","37.4824625,127.0544858","37.4824625","127.0544858","","02-3423-7670","0900","1800","","","","","","","20220620202647"
"16898","4","기타공구","44","기타공구","다목적 가위","","1회","0","무료","1","333","우리동네 공구도서관(문래동)","서울특별시 영등포구 문래동3가 55-16","37.51712,126.89953","37.51712","126.89953","","02-2670-1175","0900","1800","","","","","","","20240813134318"
"16317","4","기타공구","44","기타공구","다목적 가위","","1회","0","무료","1","47","우이동 공구대여소","서울특별시 강북구 삼양로139길49","37.6479523,127.0118533","37.6479523","127.0118533","","02-3778-4902","0900","1800","","","","","","","20240418172609"
"13546","4","기타공구","44","기타공구","다목적 드릴비트(육각)","","1회","0","무료","10","489","회현동 공구대여소","서울특별시 중구 회현동1가 164","37.5572864,126.9793216","37.5572864","126.9793216","","02-3396-6534","0900","1800","","","","","","","20220614164842"
"13545","4","기타공구","44","기타공구","다목적 드릴비트(육각)","","1회","0","무료","10","489","회현동 공구대여소","서울특별시 중구 회현동1가 164","37.5572864,126.9793216","37.5572864","126.9793216","","02-3396-6534","0900","1800","","","","","","","20220614164650"
"12358","4","기타공구","44","기타공구","다목적가위","","1일","0","1일 500원","1","2432","화곡6동 주민센터 공구대여소","서울특별시 강서구 화곡동 980-1","37.551864,126.8501598","37.551864","126.8501598","","02-2600-7665","0900","1800","","","","","","","20210930154148"
"16852","4","기타공구","44","기타공구","다목적드릴비트세트","","1회","0","무료","1","163","상도1동주민센터 공구대여소","서울특별시 동작구 상도동 437","37.4981019,126.9530979","37.4981019","126.9530979","","8202451","0900","1800","","","","","","","20240709165403"
"10915","4","기타공구","44","기타공구","다용도 공구세트","","1회","0","무료","3","13042","응암1동주민센터 공구대여소","서울특별시 은평구 응암동 96-3","37.6006884,126.926813","37.6006884","126.926813","","02-351-5232","0900","1800","","","","","","","20201125103846"
"16332","4","기타공구","44","기타공구","다용도 미니 조명 ","","1일","0","1일 1000원","1","496","다산동주민센터 공구도서관","서울특별시 중구 신당동 432-24","37.55434,127.00828","37.55434","127.00828","","02-3396-8357","0900","1800","","","","","","","20240422191440"
"16329","4","기타공구","44","기타공구","단일지향 미니마이크 ","","1일","0","1일 1000원","1","496","다산동주민센터 공구도서관","서울특별시 중구 신당동 432-24","37.55434,127.00828","37.55434","127.00828","","02-3396-8357","0900","1800","","","","","","","20240422191246"
"17270","4","기타공구","44","기타공구","대차","","1회","0","무료","1","100","개봉3동 공구대여소","서울특별시 구로구 개봉로3길 47-5","37.4859537,126.8516385","37.4859537","126.8516385","","02-2620-7369","0900","1800","","","","","","","20250616151645"
"13543","4","기타공구","44","기타공구","드라이버 비트","","1회","0","무료","10","489","회현동 공구대여소","서울특별시 중구 회현동1가 164","37.5572864,126.9793216","37.5572864","126.9793216","","02-3396-6534","0900","1800","","","","","","","20220614163713"
"16200","4","기타공구","44","기타공구","드라이버 십자 단용 8+","","1일","0","1일 500원","1","2431","화곡1동 주민센터 공구대여소","서울특별시 강서구 화곡동 425-13","37.5303331,126.8414902","37.5303331","126.8414902","","02-2600-7525","0900","1800","","","","","","","20240223165246"
"10635","4","기타공구","44","기타공구","드라이버비트","","1일","0","무료","10","13035","항동 공구대여소","서울특별시 구로구 항동 243-1","37.4790477,126.8223129","37.4790477","126.8223129","","02-2620-7595","0900","1800","","","","","","","20201123151209"
"14856","4","기타공구","44","기타공구","드릴기리세트","","1회","0","무료","3","108","독산4동 주민센터 공구도서관","서울특별시 금천구 독산로 232","37.4675452,126.9022074","37.4675452","126.9022074","","02-2104-5347","0900","1800","","","","","","","20220902101716"
"15315","4","기타공구","44","기타공구","디지털염도계","","1회","0","무료","1","13066","노량진2동주민센터 공구대여소","서울시 동작구 장승배기로19길 48","37.508509,126.937352","37.508509","126.937352","","02-820-2430","0900","1800","","","","","","","20230221141602"
"14446","4","기타공구","44","기타공구","라돈기","","1회","0","무료","1","13061","홍은2동주민센터 공구대여소","서울특별시 서대문구 홍은동 273-10","37.5801972,126.9342509","37.5801972","126.9342509","","02-330-8786","0900","1800","","","","","","","20220628073249"
"17439","4","기타공구","44","기타공구","라돈측정기","","1회","0","무료","1","246","금호2-3가동 공구대여소","서울특별시 성동구 금호동2가 1212","37.55321,127.02092","37.55321","127.02092","","02-2286-7364","0900","1800","","","","","","","20250902143942"
"16634","4","기타공구","44","기타공구","라돈측정기","","1회","0","무료","1","13215","삼양동 주민센터","서울특별시 강북구 미아동 762-20","37.6250518,127.0197725","37.6250518","127.0197725","","02-3778-4004","0900","1800","","","","","","","20240610145405"
"16350","4","기타공구","44","기타공구","라돈측정기","","1회","0","무료","1","494","을지로동 공구대여소","서울특별시 중구 을지로3가 95-7","37.5670173,126.9913248","37.5670173","126.9913248","","02-3396-6695","0900","1800","","","","","","","20240423151905"
"15911","4","기타공구","44","기타공구","라돈측정기","","1회","0","무료","1","13220","미아동주민센터","서울특별시 강북구 미아동 197-1","37.6270736,127.0269791","37.6270736","127.0269791","","02-3778-4054","0900","1800","","","","","","","20230728160959"
"14377","4","기타공구","44","기타공구","라돈측정기","","1일","0","1일 1000원","1","244","사근동 공구대여소","서울특별시 성동구 사근동길 37","37.56152,127.04535","37.56152","127.04535","","02-2286-7271","0900","1800","","","","","","","20220627102435"
"14084","4","기타공구","44","기타공구","라돈측정기","","1회","0","무료","1","500","동화동 공구대여소","서울특별시 중구 신당동 850","37.5600562,127.0194239","37.5600562","127.0194239","","02-3396-6864","0900","1800","","","","","","","20220622151008"
"13851","4","기타공구","44","기타공구","라돈측정기","","1일","0","1일 1000원","1","253","성수2가3동 공구대여소","서울특별시 성동구 성수동2가 299-240","37.54822,127.05525","37.54822","127.05525","","02-2286-7483","0900","1700","","","","","","","20220620154905"
"13409","4","기타공구","44","기타공구","라돈측정기","","1회","0","무료","2","102","오류2동 공구대여소","서울특별시 구로구 오류동 172-76","37.4887725,126.8395642","37.4887725","126.8395642","","02-2620-7578","0900","1800","","","","","","","20220613170556"
"16654","4","기타공구","44","기타공구","랜턴","","1회","0","무료","1","13267","송중동주민센터","서울특별시 강북구 미아동 87-141","37.616099,127.033738","37.616099","127.033738","","02-3778-4104","0900","1800","","","","","","","20240611151629"
"13671","4","기타공구","44","기타공구","레이저줄자","","1회","0","무료","1","495","신당동주민센터 공구도서관","서울특별시 중구 신당동 300-6","37.5620364,127.0144345","37.5620364","127.0144345","","02-3396-6713","0900","1800","","","","","","","20220616171056"
"14494","4","기타공구","44","기타공구","레이져거리측정기 ","","1회","0","무료","1","499","신당5동 주민센터(공구대여)","서울특별시 중구 신당동 150-7","37.5651419,127.0218499","37.5651419","127.0218499","","02-3396-6834","1300","1700","","","","","","","20220628222211"
"13646","4","기타공구","44","기타공구","로터리햄머드릴","","1회","0","무료","1","495","신당동주민센터 공구도서관","서울특별시 중구 신당동 300-6","37.5620364,127.0144345","37.5620364","127.0144345","","02-3396-6713","0900","1800","","","","","","","20220616165401"
"15599","4","기타공구","44","기타공구","롱 노우즈","","1일","0","1일 300원","1","13320","성내1동주민센터","서울특별시 강동구 성내동 539-1","37.5304417,127.122425","37.5304417","127.122425","","02-3425-7772","0900","1800","","","","","","","20230504124524"
"16334","4","기타공구","44","기타공구","룩스패드43 203스탠드 ","","1일","0","1일 2000원","1","496","다산동주민센터 공구도서관","서울특별시 중구 신당동 432-24","37.55434,127.00828","37.55434","127.00828","","02-3396-8357","0900","1800","","","","","","","20240422191608"
"12336","4","기타공구","44","기타공구","리드선","","1일","0","1일 250원","1","50","화곡4동 공구대여소","서울특별시 강서구 화곡동 809-3","37.5345658,126.8607878","37.5345658","126.8607878","","02-2600-7604","0900","1800","","","","","","","20210930153140"
"13515","4","기타공구","44","기타공구","리튬이온 밧데리","","1회","0","무료","1","491","필동 공구대여소","서울특별시 중구 필동2가 19-17","37.5603732,126.9955632","37.5603732","126.9955632","","02-3396-6595","0900","1800","","","","","","","20220614161229"
"13516","4","기타공구","44","기타공구","리튬이온 배터리 충전기","","1회","0","무료","1","491","필동 공구대여소","서울특별시 중구 필동2가 19-17","37.5603732,126.9955632","37.5603732","126.9955632","","02-3396-6595","0900","1800","","","","","","","20220614161300"
"11321","4","기타공구","44","기타공구","릴호스(20M)","","1일","0","1일 500원","1","2434","방화1동 주민센터 공구대여소","서울특별시 강서구 마곡동 733-2","37.5703847,126.8169733","37.5703847","126.8169733","","02-2600-7975","0900","1800","","","","","","","20201125174425"
"12543","4","기타공구","44","기타공구","만능작업대","","1회","0","무료","1","326","신목종합사회복지관","서울특별시 양천구 신정동 1278-1","37.51685,126.87645","37.51685","126.87645","","02-2223-8816","0900","2000","0900","1800","","","","","20211005112420"
"16855","4","기타공구","44","기타공구","망치","","1회","0","무료","1","132","쌍문2동 노해마을 공구대여점","서울특별시 도봉구 쌍문동 713-31","37.6599143,127.0397304","37.6599143","127.0397304","","02-2091-5528","0900","1800","","","","","","","20240711155441"
"13558","4","기타공구","44","기타공구","목발(대/중/소)","","1일","0","1일 1000원","3","489","회현동 공구대여소","서울특별시 중구 회현동1가 164","37.5572864,126.9793216","37.5572864","126.9793216","","02-3396-6534","0900","1800","","","","","","","20220614172453"
"15600","4","기타공구","44","기타공구","몽키 스패너","","1일","0","1일 300원","1","13320","성내1동주민센터","서울특별시 강동구 성내동 539-1","37.5304417,127.122425","37.5304417","127.122425","","02-3425-7772","0900","1800","","","","","","","20230504124552"
"15380","4","기타공구","44","기타공구","몽키스패너","","1회","0","무료","1","458","구산동주민센터 공구대여소","서울특별시 은평구 구산동 27-5","37.61176,126.91035","37.61176","126.91035","","02-351-5175","0900","1800","","","","","","","20230420093231"
"16761","4","기타공구","44","기타공구","무선전동 드라이버","","1회","0","무료","2","13212","수색동주민센터","서울특별시 은평구 수색동 417-4","37.5835188,126.8936727","37.5835188","126.8936727","","02-351-5425","0900","1800","","","","","","","20240624150224"
"15083","4","기타공구","44","기타공구","물호스","","1일","0","1일 1000원","1","13229","보문동주민센터","안암로3길 35","37.580383,127.0228","37.580383","127.0228","","0222415246","0900","1800","","","","","","","20221104140950"
"14834","4","기타공구","44","기타공구","물호스","","1일","0","1일 1000원","1","13242","삼선동 주민센터","서울특별시 성북구 삼선동4가 349-1","37.5908815,127.0146539","37.5908815","127.0146539","","02)2241-5045","0900","1800","","","","","","","20220826140030"
"14739","4","기타공구","44","기타공구","물호스","","1일","0","1일 1000원","1","13239","돈암2동 주민센터","서울특별시 성북구 돈암동 603-1","37.598039,127.0105659","37.598039","127.0105659","","02-2241-5162","0900","1800","","","","","","","20220803121541"
"16336","4","기타공구","44","기타공구","미러리스카메라","","1일","0","1일 3000원","1","496","다산동주민센터 공구도서관","서울특별시 중구 신당동 432-24","37.55434,127.00828","37.55434","127.00828","","02-3396-8357","0900","1800","","","","","","","20240422191743"
"14682","4","기타공구","44","기타공구","발 펌프","","1회","0","무료","1","369","용산2가동주민센터 우리동네 공구함","서울특별시 용산구 용산동2가 11","37.54608,126.98557","37.54608","126.98557","","02-2199-8420","0900","1800","","","","","","","20220715150841"
"14936","4","기타공구","44","기타공구","발펌프","","1일","0","1일 10000원","1","13250","한남동주민센터","서울특별시 용산구 한남동 685-43","37.53455,127.0005","37.53455","127.0005","","02-2199-8667","0900","1800","","","","","","","20220928161843"
"16322","4","기타공구","44","기타공구","방구석 방송세트","","1일","0","1일 2000원","1","496","다산동주민센터 공구도서관","서울특별시 중구 신당동 432-24","37.55434,127.00828","37.55434","127.00828","","02-3396-8357","0900","1800","","","","","","","20240422190404"
"16321","4","기타공구","44","기타공구","방구석라이브세트","","1일","0","1일 2000원","1","496","다산동주민센터 공구도서관","서울특별시 중구 신당동 432-24","37.55434,127.00828","37.55434","127.00828","","02-3396-8357","0900","1800","","","","","","","20240422190033"
"16633","4","기타공구","44","기타공구","방역분무기","","1회","0","무료","1","13215","삼양동 주민센터","서울특별시 강북구 미아동 762-20","37.6250518,127.0197725","37.6250518","127.0197725","","02-3778-4004","0900","1800","","","","","","","20240610144628"
"14702","4","기타공구","44","기타공구","방역분무기","","1회","0","무료","1","162","이문제2동 공구대여소","서울시 동대문구 신이문로 27-5","37.6033142,127.0629214","37.6033142","127.0629214","","02-2171-6503","0900","1800","","","","","","","20220719173342"
