input_name,standard_name_gt,dirty_type,llm_output,llm_raw,exact_match,nearest_name,nearest_sim,nearest_correct
bosch2(무선전동드릴),충전드릴,브랜드 혼입,보쉬 무선 전동 드릴,보쉬 무선 전동 드릴,False,전동드릴,0.533,False
bosch3(무선전동드릴),충전드릴,브랜드 혼입,보쉬 무선전동드릴,보쉬 무선전동드릴,False,전동드릴,0.615,False
BOMANN 전동드릴,전동드릴,동력원 명시,BOMANN 전동드릴,BOMANN 전동드릴,False,전동드릴,0.533,True
계양전동드릴,전동드릴,브랜드 혼입,전동드릴,전동드릴,True,전동드릴,1.0,True
전동드릴(계양 DMV-13K),전동드릴,브랜드 혼입,전동드릴,전동드릴,True,전동드릴,1.0,True
충전 전동드릴(계양),충전드릴,브랜드 혼입,전동드릴,전동드릴,False,전동드릴,1.0,False
아임삭 충전드릴,충전드릴,브랜드 혼입,충전 드릴,충전 드릴,False,충전드릴,0.889,True
아임삭충전드릴,충전드릴,브랜드 혼입,전동 드릴,전동 드릴,False,전동드릴,0.889,False
아임삭 충전 드릴(무선),충전드릴,브랜드 혼입,무선 충전 드릴,무선 충전 드릴,False,충전드릴,0.667,True
아임삭 콤보드릴,충전드릴,브랜드 혼입,콤보드릴,콤보드릴,False,해머드릴,0.5,False
충전 전동드릴(아임삭),충전드릴,브랜드 혼입,전동드릴,전동드릴,False,전동드릴,1.0,False
디월트 전동드릴(전화 문의),전동드릴,운영용 텍스트,디월트 전동드릴,디월트 전동드릴,False,전동드릴,0.667,True
디월트 DCD709L2,충전드릴,브랜드 혼입,디월트 충전식 톱질기,디월트 충전식 톱질기,False,검전기,0.286,False
해머드릴,해머드릴,오탈자,해머드릴,해머드릴,True,해머드릴,1.0,True
함마드릴,해머드릴,일본어 잔재,햄머드릴,햄머드릴,False,해머드릴,0.75,True
전동 해머드릴,해머드릴,동력원 명시,전동 햄머드릴,전동 햄머드릴,False,전동드릴,0.727,False
전동해머드릴,해머드릴,동력원 명시,전동해머드릴,전동해머드릴,False,충전해머드릴,0.833,False
전기헤머드릴,해머드릴,오탈자,전기드rill,전기드rill,False,검전기,0.4,False
해머드릴(유선),해머드릴,동력원 명시,유선 해머 드릴,유선 해머 드릴,False,해머드릴,0.667,True
전기해머드릴,해머드릴,오탈자,전기해머드릴,전기해머드릴,False,충전해머드릴,0.833,False
스킬 함마드릴,해머드릴,일본어 잔재,햄머드릴,햄머드릴,False,해머드릴,0.75,True
충전해머드릴,충전해머드릴,동력원 명시,연삭공구,연삭공구,False,공구함,0.571,False
충전 해머드릴,충전해머드릴,동력원 명시,전동 드릴,전동 드릴,False,전동드릴,0.889,False
충전 헤머드릴,충전해머드릴,동력원 명시,전동 햄머드릴,전동 햄머드릴,False,전동드릴,0.727,False
충전햄머드릴,충전해머드릴,동력원 명시,전동 햄머 드릴,전동 햄머 드릴,False,전동드릴,0.667,False
보쉬 해머드릴,해머드릴,브랜드 혼입,보쉬 해머드릴,보쉬 해머드릴,False,해머드릴,0.727,True
보쉬해머드릴,해머드릴,브랜드 혼입,보쉬 햄머드릴,보쉬 햄머드릴,False,해머드릴,0.545,True
보쉬 해머드릴(유선),해머드릴,브랜드 혼입,유선 해머드릴,유선 해머드릴,False,해머드릴,0.727,True
해머드릴(보쉬),해머드릴,브랜드 혼입,해머드릴,해머드릴,True,해머드릴,1.0,True
보쉬 충전해머드릴,충전해머드릴,브랜드 혼입,보쉬 충전해머드릴,보쉬 충전해머드릴,False,충전해머드릴,0.8,True
보쉬 충전해머드릴(무선),충전해머드릴,브랜드 혼입,보쉬 충전식 경추 모델,보쉬 충전식 경추 모델,False,보안경,0.267,False
충전해머드릴(보쉬),충전해머드릴,브랜드 혼입,충전해머드릴,충전해머드릴,True,충전해머드릴,1.0,True
보쉬 13RE,해머드릴,브랜드 혼입,보쉬 13RE,보쉬 13RE,False,보안경,0.2,False
13RE,해머드릴,기타,레벨 13,레벨 13,False,스크레퍼,0.222,False
겸용해머드릴(GBH5-38X),해머드릴,영문/약어,해머드릴,해머드릴,True,해머드릴,1.0,True
(36) 유선햄머전동드릴(콘크리트용),해머드릴,메타데이터,유선햄머전동드릴,유선햄머전동드릴,False,전동드릴,0.667,False
충전해머드릴(계양),충전해머드릴,브랜드 혼입,충전해머드릴,충전해머드릴,True,충전해머드릴,1.0,True
마끼다 충전해머드릴(무선),충전해머드릴,브랜드 혼입,충전식전동드릴,충전식전동드릴,False,충전드릴,0.727,False
마끼다 해머드릴(유선),해머드릴,브랜드 혼입,유선 해머드릴,유선 해머드릴,False,해머드릴,0.727,True
충전함마드릴(디월트),충전해머드릴,일본어 잔재,디월트 드릴,디월트 드릴,False,임팩트드릴,0.545,False
밀워키 충전해머드릴 M12V CPD,충전해머드릴,브랜드 혼입,밀워키 M12V 충전해머드릴,밀워키 M12V 충전해머드릴,False,충전해머드릴,0.571,True
계양임팩드릴,임팩트드릴,브랜드 혼입,계양 임팩트 드リル,계양 임팩트 드リル,False,임팩트드릴,0.533,True
전동드라이버,전동드라이버,동력원 명시,전동 드라이버,전동 드라이버,False,전동드라이버,0.923,True
전동 드라이버,전동드라이버,동력원 명시,전동 드라이버,전동 드라이버,False,전동드라이버,0.923,True
충전드라이버,전동드라이버,동력원 명시,전동 드라이버,전동 드라이버,False,전동드라이버,0.923,True
충전 임팩드라이버,충전임팩트드라이버,동력원 명시,임팩트 드라이버,임팩트 드라이버,False,임팩트드라이버,0.933,False
충전임팩드라이버,충전임팩트드라이버,동력원 명시,충전 임팩트 드라이버,충전 임팩트 드라이버,False,충전임팩트드라이버,0.9,True
스크류 전동 드라이버,전동드라이버,동력원 명시,전동 드라이버,전동 드라이버,False,전동드라이버,0.923,True
미니전동드라이버드릴,전동드라이버,동력원 명시,전동드라이버드릴,전동드라이버드릴,False,전동드라이버,0.857,True
3.6v 전동드라이버,전동드라이버,동력원 명시,전동드라이버,전동드라이버,True,전동드라이버,1.0,True
usb 충전식 드라이버,전동드라이버,동력원 명시,USB 충전식 드라이버,USB 충전식 드라이버,False,충전임팩트드라이버,0.571,False
보쉬 전동 드라이버,전동드라이버,브랜드 혼입,전동 드라이버,전동 드라이버,False,전동드라이버,0.923,True
전동드라이버(보쉬),전동드라이버,브랜드 혼입,전동드라이버,전동드라이버,True,전동드라이버,1.0,True
BOSCH Professional 전동드라이브,전동드라이버,브랜드 혼입,BOSCH 전동드라이브,BOSCH 전동드라이브,False,전동드라이버,0.556,True
보쉬 pushdrive,전동드라이버,브랜드 혼입,보쉬 푸시드라이브,보쉬 푸시드라이브,False,드라이버,0.462,False
아임삭 충전 임팩 드라이버,충전임팩트드라이버,브랜드 혼입,충전 임팩 드라이버,충전 임팩 드라이버,False,충전임팩트드라이버,0.842,True
밀워키 M12 BID,충전임팩트드라이버,브랜드 혼입,밀워키 M12 배터리 드릴,밀워키 M12 배터리 드릴,False,로터리해머드릴,0.381,False
보쉬 충전 임팩트 드릴/드라이버,충전임팩트드라이버,브랜드 혼입,보쉬 충전 임팩트 드라이버,보쉬 충전 임팩트 드라이버,False,충전임팩트드라이버,0.783,True
니퍼,니퍼,기타,니퍼칼,니퍼칼,False,니퍼,0.8,True
니퍼 6인치,니퍼,속성 기입,니퍼,니퍼,True,니퍼,1.0,True
니퍼(6인치),니퍼,속성 기입,니퍼,니퍼,True,니퍼,1.0,True
니퍼(7인치),니퍼,속성 기입,니퍼,니퍼,True,니퍼,1.0,True
니퍼(8인치),니퍼,속성 기입,니퍼,니퍼,True,니퍼,1.0,True
니퍼 (150mm),니퍼,영문/약어,니퍼,니퍼,True,니퍼,1.0,True
강력니퍼,강력니퍼,오탈자,니퍼,니퍼,False,니퍼,1.0,False
(5)니퍼,니퍼,메타데이터,니퍼,니퍼,True,니퍼,1.0,True
펜치,펜치,기타,니퍼,니퍼,False,니퍼,1.0,False
8인치 펜치,펜치,속성 기입,펜치,펜치,True,펜치,1.0,True
펜치(8인치),펜치,속성 기입,판봉핀치,판봉핀치,False,핀펀치,0.571,False
(15)펜치,펜치,메타데이터,세립가위,세립가위,False,철판가위,0.5,False
뺀찌,펜치,기타,핀셋,핀셋,False,핀펀치,0.4,False
ttc 펜치(6인치),펜치,영문/약어,ttc 펜치,ttc 펜치,False,펜치,0.5,True
플라이어,플라이어,오탈자,세공기,세공기,False,고압세척기,0.5,False
(46)플라이어,플라이어,메타데이터,플라이어,플라이어,True,플라이어,1.0,True
8피스 플라이어세트,플라이어세트,세트/구성품,플라이어,플라이어,False,플라이어,1.0,False
바이스그립,바이스그립플라이어,오탈자,바이스그립,바이스그립,False,바이스그립플라이어,0.714,True
바이스플라이어,바이스그립플라이어,오탈자,바이스용가위,바이스용가위,False,철판가위,0.4,False
바이스 플라이어,바이스그립플라이어,오탈자,바이스 니퍼,바이스 니퍼,False,니퍼,0.5,False
바이스플라이어(10인치),바이스그립플라이어,속성 기입,바이스용가위,바이스용가위,False,철판가위,0.4,False
(56)바이스플라이어(5인치),바이스그립플라이어,메타데이터,바이스 플라이어,바이스 플라이어,False,바이스그립플라이어,0.824,True
(4)락킹 플라이어(바이스그립),바이스그립플라이어,메타데이터,락킹 플라이어,락킹 플라이어,False,플라이어,0.727,False
락킹 플라이어,바이스그립플라이어,오탈자,락킹 플라이어,락킹 플라이어,False,플라이어,0.727,False
롱노즈,롱노즈플라이어,오탈자,긴노즈,긴노즈,False,롱노즈플라이어,0.4,True
롱로우즈,롱노즈플라이어,오탈자,롱로우,롱로우,False,안전로프,0.286,False
롱로즈,롱노즈플라이어,오탈자,롱플라이어,롱플라이어,False,플라이어,0.889,False
(16)롱노우즈 플라이어(라디오펜치),롱노즈플라이어,메타데이터,롱노우즈 플라이어,롱노우즈 플라이어,False,롱노즈플라이어,0.875,True
굽은 노즈 플라이어,굽은노즈플라이어,오탈자,굽은 노즈플라이어,굽은 노즈플라이어,False,굽은노즈플라이어,0.941,True
다이아타입 플라이어,다이아고날플라이어,오탈자,다이아타입 플라이어,다이아타입 플라이어,False,다이아고날플라이어,0.737,True
몽키스패너,몽키렌치,오탈자,몽키 스패너,몽키 스패너,False,스패너,0.667,False
몽키,몽키렌치,기타,몽키바,몽키바,False,몽키렌치,0.571,True
몽키렌치,몽키렌치,오탈자,몽키봉렌치,몽키봉렌치,False,몽키렌치,0.889,True
경량 몽키렌치,몽키렌치,오탈자,몽키렌치,몽키렌치,True,몽키렌치,1.0,True
경량몽키,몽키렌치,오탈자,경량몽키바람개비,경량몽키바람개비,False,몽키렌치,0.333,True
경랑몽키(8인치),몽키렌치,속성 기입,8인치 몽키 클램프,8인치 몽키 클램프,False,F클램프,0.429,False
몽키 8인치,몽키렌치,속성 기입,몽키 8인치,몽키 8인치,False,몽키렌치,0.6,True
몽키 10인치,몽키렌치,속성 기입,몽키 10인치 톱,몽키 10인치 톱,False,몽키렌치,0.462,True
몽키 12인치,몽키렌치,속성 기입,몽키 12인치 렌치,몽키 12인치 렌치,False,몽키렌치,0.571,True
12인치 몽키스패너,몽키렌치,속성 기입,몽키스패너,몽키스패너,False,스패너,0.75,False
.몽키스패너200mm,몽키렌치,영문/약어,몽키스패너,몽키스패너,False,스패너,0.75,False
.몽키스패너300mm,몽키렌치,영문/약어,몽키스패너,몽키스패너,False,스패너,0.75,False
몽키스패너(250mm 세신),몽키렌치,브랜드 혼입,세신스패너,세신스패너,False,스패너,0.75,False
세신몽키,몽키렌치,브랜드 혼입,세신망치,세신망치,False,망치,0.667,False
세신 몽키 스패너 8,몽키렌치,브랜드 혼입,몽키 스패너,몽키 스패너,False,스패너,0.667,False
세신 몽키 스패너 10,몽키렌치,브랜드 혼입,세신 몽키 스패너,세신 몽키 스패너,False,스패너,0.5,False
세신 몽키 스패너 12,몽키렌치,브랜드 혼입,세신 몽키 스패너,세신 몽키 스패너,False,스패너,0.5,False
파이프렌치,파이프렌치,오탈자,파이프 렌치,파이프 렌치,False,파이프렌치,0.909,True
파이프렌치(14인치),파이프렌치,속성 기입,파이프 렌치,파이프 렌치,False,파이프렌치,0.909,True
암파이프렌치 18인치,파이프렌치,속성 기입,암파이프 렌치,암파이프 렌치,False,파이프렌치,0.833,True
세신파이프렌치,파이프렌치,브랜드 혼입,파이프 렌치,파이프 렌치,False,파이프렌치,0.909,True
250 세신 파이프렌치,파이프렌치,브랜드 혼입,파이프렌치,파이프렌치,True,파이프렌치,1.0,True
PIPE렌치,파이프렌치,영문/약어,파이프렌치,파이프렌치,True,파이프렌치,1.0,True
스패너,스패너,오탈자,스패너,스패너,True,스패너,1.0,True
스패너세트,스패너세트,세트/구성품,스패너,스패너,False,스패너,1.0,False
스패너(200mm),스패너,영문/약어,스패너,스패너,True,스패너,1.0,True
스패너(300mm),스패너,영문/약어,스패너,스패너,True,스패너,1.0,True
보쉬 스패너 세트,스패너세트,브랜드 혼입,스패너 세트,스패너 세트,False,스패너세트,0.909,True
만능렌치,만능렌치,오탈자,렌치,렌치,False,렌치,1.0,False
매직렌치,만능렌치,오탈자,매직렌치,매직렌치,False,렌치,0.667,False
육각렌치,육각렌치,오탈자,육각렌치,육각렌치,True,육각렌치,1.0,True
육각렌치세트,육각렌치세트,세트/구성품,육각렌치,육각렌치,False,육각렌치,1.0,False
6각 렌치,육각렌치,기타,6각렌치,6각렌치,False,육각렌치,0.75,True
6각렌치세트 9개,육각렌치세트,세트/구성품,6각렌치,6각렌치,False,육각렌치,0.75,False
L렌치 세트,육각렌치세트,영문/약어,렌치 세트,렌치 세트,False,볼렌치세트,0.8,False
L렌치세트,육각렌치세트,영문/약어,렌치세트,렌치세트,False,볼렌치세트,0.889,False
L렌치세트(9pcs),육각렌치세트,영문/약어,L렌치세트,L렌치세트,False,볼렌치세트,0.8,False
L형 렌치세트,육각렌치세트,세트/구성품,L형 렌치,L형 렌치,False,렌치,0.571,False
L렌지세트,육각렌치세트,세트/구성품,렌지세트,렌지세트,False,세트,0.667,False
L렌지셋트,육각렌치세트,오탈자,렌지셋트,렌지셋트,False,볼렌치세트,0.444,False
L형 렌치센트,육각렌치세트,오탈자,L형 렌치,L형 렌치,False,렌치,0.571,False
접이식 육각렌치세트,육각렌치세트,세트/구성품,육각렌치세트,육각렌치세트,True,육각렌치세트,1.0,True
볼렌치세트,볼렌치세트,세트/구성품,볼렌치세트,볼렌치세트,True,볼렌치세트,1.0,True
볼렌치,볼렌치,오탈자,볼렌치,볼렌치,True,볼렌치,1.0,True
별렌치세트,별렌치세트,세트/구성품,별렌치세트,별렌치세트,True,별렌치세트,1.0,True
소켓렌치세트,소켓렌치세트,세트/구성품,소켓렌치세트,소켓렌치세트,True,소켓렌치세트,1.0,True
복스세트,소켓렌치세트,세트/구성품,수제공구,수제공구,False,공구함,0.571,False
소켓렌치세트(SMATO),소켓렌치세트,영문/약어,소켓렌치,소켓렌치,False,소켓렌치세트,0.8,True
밀워키 래치 렌치세트,라쳇렌치세트,브랜드 혼입,래치 렌치,래치 렌치,False,렌치,0.571,False
기어렌치세트,기어렌치세트,세트/구성품,기어렌치세트,기어렌치세트,True,기어렌치세트,1.0,True
4방향 냉동라쳇,냉동라쳇렌치,오탈자,냉동라쳇,냉동라쳇,False,냉동라쳇렌치,0.8,True
4방항 냉동라쳇,냉동라쳇렌치,오탈자,4방향 냉동라쳇,4방향 냉동라쳇,False,냉동라쳇렌치,0.571,True
첼라,워터펌프플라이어,기타,첼로,첼로,False,안전로프,0.333,False
첼라 300,워터펌프플라이어,기타,첼로,첼로,False,안전로프,0.333,False
300mm첼라,워터펌프플라이어,영문/약어,첼라,첼라,False,드라이버,0.333,False
T렌치 세트,T렌치세트,영문/약어,트렌치,트렌치,False,렌치,0.8,False
조합렌치 세트,조합렌치세트,세트/구성품,조합렌치,조합렌치,False,조합렌치세트,0.8,True
줄자,줄자,기타,줄자,줄자,True,줄자,1.0,True
30m 줄자,줄자,속성 기입,줄자,줄자,True,줄자,1.0,True
50m 줄자,줄자,속성 기입,줄자,줄자,True,줄자,1.0,True
줄자(7.5m),줄자,특수기호,줄자,줄자,True,줄자,1.0,True
줄자(5m),줄자,속성 기입,줄자,줄자,True,줄자,1.0,True
3M줄자,줄자,속성 기입,줄자,줄자,True,줄자,1.0,True
코메론 줄자,줄자,오탈자,줄자,줄자,True,줄자,1.0,True
타지마줄자,줄자,오탈자,타이마찰톱,타이마찰톱,False,테이블톱,0.444,False
타지마 줄자 7.5m,줄자,특수기호,타지마 줄자,타지마 줄자,False,줄자,0.5,True
타지마줄자(3m),줄자,속성 기입,줄자,줄자,True,줄자,1.0,True
고무피복줄자,줄자,오탈자,줄자,줄자,True,줄자,1.0,True
고무피복줄자(5.5M),줄자,특수기호,줄자,줄자,True,줄자,1.0,True
(39)마그네틱 줄자,줄자,메타데이터,자기 줄자,자기 줄자,False,줄자,0.571,True
수평기,수평기,오탈자,수평계,수평계,False,수평기,0.667,True
수평계,수평기,오탈자,수평계,수평계,False,수평기,0.667,True
수평자,수평기,오탈자,수평계,수평계,False,수평기,0.667,True
수평대,수평기,오탈자,수평대,수평대,False,수평기,0.667,True
수평대(450mm),수평기,영문/약어,수평대,수평대,False,수평기,0.667,True
수평대(디월트),수평기,브랜드 혼입,수평대,수평대,False,수평기,0.667,True
자석수평,수평기,오탈자,수평계,수평계,False,수평기,0.667,True
SB 수평,수평기,기타,수평계,수평계,False,수평기,0.667,True
거리측정기,레이저거리측정기,오탈자,레이저 거리 측정기,레이저 거리 측정기,False,레이저거리측정기,0.889,True
(57)레이저거리측정기,레이저거리측정기,메타데이터,레이저 거리 측정기,레이저 거리 측정기,False,레이저거리측정기,0.889,True
보쉬 GLM 40 거리측정기,레이저거리측정기,브랜드 혼입,레이저 거리 측정기,레이저 거리 측정기,False,레이저거리측정기,0.889,True
보쉬 거리측정기,레이저거리측정기,브랜드 혼입,보쉬 거리측정기,보쉬 거리측정기,False,레이저거리측정기,0.625,True
검전기,검전기,오탈자,정전기계,정전기계,False,검전기,0.571,True
검전드라이버,검전기,오탈자,드라이버,드라이버,False,드라이버,1.0,False
라돈측정기,라돈측정기,오탈자,라돈 측정기,라돈 측정기,False,라돈측정기,0.909,True
노기스,버니어캘리퍼스,오탈자,노기스,노기스,False,검전기,0.333,False
그라인더,앵글그라인더,오탈자,연삭기,연삭기,False,검전기,0.333,False
그라인다,앵글그라인더,오탈자,그라인기,그라인기,False,앵글그라인더,0.6,True
4인치 그라인더,앵글그라인더,속성 기입,연삭기,연삭기,False,검전기,0.333,False
그라인더(유선),앵글그라인더,동력원 명시,유선 그라인더,유선 그라인더,False,앵글그라인더,0.615,True
디스크 그라인더,앵글그라인더,오탈자,디스크 그라인더,디스크 그라인더,False,앵글그라인더,0.571,True
그라인더(보쉬),앵글그라인더,브랜드 혼입,연삭기,연삭기,False,검전기,0.333,False
보쉬 전동그라인더,앵글그라인더,브랜드 혼입,보쉬 전동 그라인더,보쉬 전동 그라인더,False,앵글그라인더,0.5,True
보쉬 무선그라인더,앵글그라인더,브랜드 혼입,보쉬 그라인더,보쉬 그라인더,False,앵글그라인더,0.615,True
충전 그라인더,앵글그라인더,동력원 명시,전기 그라인더,전기 그라인더,False,앵글그라인더,0.615,True
나리온 무선 충전 그라인더,앵글그라인더,동력원 명시,무선 충전 그라인더,무선 충전 그라인더,False,앵글그라인더,0.5,True
샌더기,샌더,오탈자,샌더,샌더,True,샌더,1.0,True
180mm 샌더,샌더,영문/약어,샌더,샌더,True,샌더,1.0,True
톱,톱,기타,톱,톱,True,톱,1.0,True
쇠톱,쇠톱,기타,쇠톱,쇠톱,True,쇠톱,1.0,True
쇠톱대,쇠톱,오탈자,쇠톱,쇠톱,True,쇠톱,1.0,True
(7)쇠톱,쇠톱,메타데이터,쇠톱,쇠톱,True,쇠톱,1.0,True
접톱,접톱,기타,접톱날,접톱날,False,접톱,0.8,True
집톱,접톱,기타,톱,톱,False,톱,1.0,False
(1)접톱,접톱,메타데이터,접톱날,접톱날,False,접톱,0.8,True
접이식 톱,접톱,오탈자,접이식톱,접이식톱,False,접톱,0.667,True
톱(접이식),접톱,오탈자,접이식톱,접이식톱,False,접톱,0.667,True
목공용 접톱,목공용접톱,오탈자,접톱,접톱,False,접톱,1.0,False
나무톱,목공톱,오탈자,톱,톱,False,톱,1.0,False
전정톱,전정톱,오탈자,전정톱날,전정톱날,False,전정톱,0.857,True
직소기,직소기,오탈자,직소공구,직소공구,False,직소기,0.571,True
직소,직소기,기타,톱,톱,False,톱,1.0,False
전동일자톱,왕복톱(레시프로쏘),동력원 명시,전동 일자 톱,전동 일자 톱,False,전정톱,0.4,False
고속절단기,고속절단기,오탈자,절단기,절단기,False,고속절단기,0.75,True
[보쉬]테이블쏘(10인치),테이블톱,브랜드 혼입,보쉬 테이블쏘,보쉬 테이블쏘,False,테이블톱,0.545,True
원형톱마끼다,원형톱,브랜드 혼입,원형톱마끼다,원형톱마끼다,False,원형톱,0.667,True
망치,망치,기타,망치,망치,True,망치,1.0,True
(13)망치,망치,메타데이터,망치,망치,True,망치,1.0,True
빠루망치,빠루망치,일본어 잔재,망치,망치,False,망치,1.0,False
돌망치,돌망치,오탈자,망치,망치,False,망치,1.0,False
고무망치,고무망치,오탈자,고무망치,고무망치,True,고무망치,1.0,True
(28)납볼망치,납볼망치,메타데이터,납볼망치,납볼망치,True,납볼망치,1.0,True
장도리,장도리,오탈자,장비,장비,False,장도리,0.4,True
(32)장도리,장도리,메타데이터,장도리,장도리,True,장도리,1.0,True
그립망치,그립망치,오탈자,망치,망치,False,망치,1.0,False
망치/함마/장도리,망치,일본어 잔재,망치,망치,True,망치,1.0,True
다목적가위,다목적가위,오탈자,가위,가위,False,철판가위,0.667,False
다목적 가위,다목적가위,오탈자,가위,가위,False,철판가위,0.667,False
전지가위,전지가위,오탈자,전기 가위,전기 가위,False,전지가위,0.667,True
전정가위,전지가위,오탈자,전정 가위,전정 가위,False,전지가위,0.667,True
조경가위,전지가위,오탈자,가위,가위,False,철판가위,0.667,False
Kamaki 전지가위(굵은 가지용),전지가위,영문/약어,전지가위,전지가위,True,전지가위,1.0,True
Kamaki 전지가위(잔 가지용),전지가위,영문/약어,전지가위,전지가위,True,전지가위,1.0,True
고지가위,고지가위,오탈자,가위,가위,False,철판가위,0.667,False
고지가위(5m),고지가위,속성 기입,고지 가위,고지 가위,False,고지가위,0.889,True
볼트컷터,볼트컷터,오탈자,볼 Cutter,볼 Cutter,False,볼렌치,0.182,False
볼트커터,볼트컷터,오탈자,볼톱,볼톱,False,톱,0.667,False
볼트카타,볼트컷터,오탈자,볼트 커터,볼트 커터,False,볼트컷터,0.667,True
강력절단기,볼트컷터,오탈자,절단기,절단기,False,고속절단기,0.75,False
강력절단기(45cm),볼트컷터,영문/약어,절단기,절단기,False,고속절단기,0.75,False
커터칼,커터칼,오탈자,칼 Cutter,칼 Cutter,False,커터칼,0.182,True
PVC카타,PVC컷터,영문/약어,PVC 카타,PVC 카타,False,PVC컷터,0.545,True
PVC커타,PVC컷터,영문/약어,PVC커터,PVC커터,False,PVC컷터,0.8,True
pvc파이프커터,PVC컷터,영문/약어,PVC파이프절단기,PVC파이프절단기,False,파이프렌치,0.429,False
함석가위,철판가위,오탈자,함석 가위,함석 가위,False,철판가위,0.444,True
글루건,글루건,오탈자,핫멜트기계,핫멜트기계,False,세트,0.286,False
글로건,글루건,오탈자,글로건 → 글러브,글로건 → 글러브,False,글루건,0.333,True
글루건(80W),글루건,속성 기입,열풍기,열풍기,False,열풍기,1.0,False
글루건(20W)(RG-20),글루건,속성 기입,열풍기,열풍기,False,열풍기,1.0,False
(34)글루건(소형),글루건,메타데이터,열풍기,열풍기,False,열풍기,1.0,False
글루건&글루스틱,글루건,특수기호,핫멜트기,핫멜트기,False,세트,0.333,False
글루건(&심),글루건,특수기호,핫멜트기,핫멜트기,False,세트,0.333,False
글루건심,글루스틱,오탈자,핫멜트글루건,핫멜트글루건,False,글루건,0.667,False
